#        Energy grid [eV]               DOS
#
               -75.144180                 2.556744
               -75.134180                 2.569118
               -75.124180                 2.578127
               -75.114179                 2.583722
               -75.104179                 2.585876
               -75.094179                 2.584575
               -75.084179                 2.579827
               -75.074179                 2.571657
               -75.064178                 2.560109
               -75.054178                 2.545243
               -75.044178                 2.527138
               -75.034178                 2.505886
               -75.024178                 2.481597
               -75.014178                 2.454394
               -75.004177                 2.424411
               -74.994177                 2.391795
               -74.984177                 2.356702
               -74.974177                 2.319297
               -74.964177                 2.279750
               -74.954176                 2.238238
               -74.944176                 2.194940
               -74.934176                 2.150037
               -74.924176                 2.103712
               -74.914176                 2.056147
               -74.904175                 2.007521
               -74.894175                 1.958011
               -74.884175                 1.907788
               -74.874175                 1.857019
               -74.864175                 1.805865
               -74.854175                 1.754479
               -74.844174                 1.703008
               -74.834174                 1.651591
               -74.824174                 1.600357
               -74.814174                 1.549428
               -74.804174                 1.498917
               -74.794173                 1.448928
               -74.784173                 1.399554
               -74.774173                 1.350884
               -74.764173                 1.302994
               -74.754173                 1.255954
               -74.744173                 1.209825
               -74.734172                 1.164659
               -74.724172                 1.120503
               -74.714172                 1.077396
               -74.704172                 1.035368
               -74.694172                 0.994446
               -74.684171                 0.954650
               -74.674171                 0.915992
               -74.664171                 0.878483
               -74.654171                 0.842126
               -74.644171                 0.806921
               -74.634171                 0.772864
               -74.624170                 0.739949
               -74.614170                 0.708163
               -74.604170                 0.677494
               -74.594170                 0.647925
               -74.584170                 0.619438
               -74.574169                 0.592014
               -74.564169                 0.565630
               -74.554169                 0.540264
               -74.544169                 0.515890
               -74.534169                 0.492484
               -74.524169                 0.470020
               -74.514168                 0.448471
               -74.504168                 0.427811
               -74.494168                 0.408012
               -74.484168                 0.389046
               -74.474168                 0.370888
               -74.464167                 0.353509
               -74.454167                 0.336882
               -74.444167                 0.320981
               -74.434167                 0.305780
               -74.424167                 0.291253
               -74.414166                 0.277373
               -74.404166                 0.264117
               -74.394166                 0.251461
               -74.384166                 0.239379
               -74.374166                 0.227850
               -74.364166                 0.216850
               -74.354165                 0.206358
               -74.344165                 0.196353
               -74.334165                 0.186813
               -74.324165                 0.177720
               -74.314165                 0.169054
               -74.304164                 0.160796
               -74.294164                 0.152929
               -74.284164                 0.145436
               -74.274164                 0.138299
               -74.264164                 0.131503
               -74.254164                 0.125032
               -74.244163                 0.118872
               -74.234163                 0.113008
               -74.224163                 0.107428
               -74.214163                 0.102117
               -74.204163                 0.097064
               -74.194162                 0.092256
               -74.184162                 0.087682
               -74.174162                 0.083331
               -74.164162                 0.079192
               -74.154162                 0.075256
               -74.144162                 0.071513
               -74.134161                 0.067954
               -74.124161                 0.064569
               -74.114161                 0.061351
               -74.104161                 0.058291
               -74.094161                 0.055382
               -74.084160                 0.052617
               -74.074160                 0.049989
               -74.064160                 0.047491
               -74.054160                 0.045116
               -74.044160                 0.042859
               -74.034159                 0.040714
               -74.024159                 0.038676
               -74.014159                 0.036739
               -74.004159                 0.034898
               -73.994159                 0.033149
               -73.984159                 0.031487
               -73.974158                 0.029908
               -73.964158                 0.028408
               -73.954158                 0.026982
               -73.944158                 0.025628
               -73.934158                 0.024341
               -73.924157                 0.023119
               -73.914157                 0.021958
               -73.904157                 0.020855
               -73.894157                 0.019807
               -73.884157                 0.018811
               -73.874157                 0.017866
               -73.864156                 0.016967
               -73.854156                 0.016114
               -73.844156                 0.015304
               -73.834156                 0.014534
               -73.824156                 0.013803
               -73.814155                 0.013108
               -73.804155                 0.012449
               -73.794155                 0.011822
               -73.784155                 0.011227
               -73.774155                 0.010662
               -73.764155                 0.010125
               -73.754154                 0.009615
               -73.744154                 0.009131
               -73.734154                 0.008671
               -73.724154                 0.008235
               -73.714154                 0.007820
               -73.704153                 0.007426
               -73.694153                 0.007052
               -73.684153                 0.006697
               -73.674153                 0.006359
               -73.664153                 0.006039
               -73.654153                 0.005735
               -73.644152                 0.005446
               -73.634152                 0.005171
               -73.624152                 0.004911
               -73.614152                 0.004663
               -73.604152                 0.004428
               -73.594151                 0.004205
               -73.584151                 0.003993
               -73.574151                 0.003792
               -73.564151                 0.003601
               -73.554151                 0.003419
               -73.544150                 0.003247
               -73.534150                 0.003083
               -73.524150                 0.002928
               -73.514150                 0.002780
               -73.504150                 0.002640
               -73.494150                 0.002507
               -73.484149                 0.002380
               -73.474149                 0.002260
               -73.464149                 0.002146
               -73.454149                 0.002038
               -73.444149                 0.001935
               -73.434148                 0.001838
               -73.424148                 0.001745
               -73.414148                 0.001657
               -73.404148                 0.001573
               -73.394148                 0.001494
               -73.384148                 0.001419
               -73.374147                 0.001347
               -73.364147                 0.001279
               -73.354147                 0.001215
               -73.344147                 0.001154
               -73.334147                 0.001095
               -73.324146                 0.001040
               -73.314146                 0.000988
               -73.304146                 0.000938
               -73.294146                 0.000891
               -73.284146                 0.000846
               -73.274146                 0.000803
               -73.264145                 0.000762
               -73.254145                 0.000724
               -73.244145                 0.000687
               -73.234145                 0.000653
               -73.224145                 0.000620
               -73.214144                 0.000589
               -73.204144                 0.000559
               -73.194144                 0.000531
               -73.184144                 0.000504
               -73.174144                 0.000479
               -73.164144                 0.000454
               -73.154143                 0.000431
               -73.144143                 0.000410
               -73.134143                 0.000389
               -73.124143                 0.000369
               -73.114143                 0.000351
               -73.104142                 0.000333
               -73.094142                 0.000316
               -73.084142                 0.000300
               -73.074142                 0.000285
               -73.064142                 0.000271
               -73.054141                 0.000257
               -73.044141                 0.000244
               -73.034141                 0.000232
               -73.024141                 0.000220
               -73.014141                 0.000209
               -73.004141                 0.000199
               -72.994140                 0.000189
               -72.984140                 0.000179
               -72.974140                 0.000170
               -72.964140                 0.000161
               -72.954140                 0.000153
               -72.944139                 0.000146
               -72.934139                 0.000138
               -72.924139                 0.000131
               -72.914139                 0.000125
               -72.904139                 0.000118
               -72.894139                 0.000112
               -72.884138                 0.000107
               -72.874138                 0.000101
               -72.864138                 0.000096
               -72.854138                 0.000091
               -72.844138                 0.000087
               -72.834137                 0.000082
               -72.824137                 0.000078
               -72.814137                 0.000074
               -72.804137                 0.000071
               -72.794137                 0.000067
               -72.784137                 0.000064
               -72.774136                 0.000060
               -72.764136                 0.000057
               -72.754136                 0.000054
               -72.744136                 0.000052
               -72.734136                 0.000049
               -72.724135                 0.000047
               -72.714135                 0.000044
               -72.704135                 0.000042
               -72.694135                 0.000040
               -72.684135                 0.000038
               -72.674135                 0.000036
               -72.664134                 0.000034
               -72.654134                 0.000032
               -72.644134                 0.000031
               -72.634134                 0.000029
               -72.624134                 0.000028
               -72.614133                 0.000026
               -72.604133                 0.000025
               -72.594133                 0.000024
