#        Energy grid [eV]               EELS_x                   EELS_y                   EELS_z
#
                 0.000000                      NaN                      NaN                      NaN
                 0.010010                 0.000022                 0.000022                 0.000022
                 0.020020                 0.000043                 0.000043                 0.000043
                 0.030031                 0.000065                 0.000065                 0.000065
                 0.040041                 0.000087                 0.000087                 0.000087
                 0.050051                 0.000109                 0.000109                 0.000109
                 0.060061                 0.000130                 0.000131                 0.000130
                 0.070071                 0.000152                 0.000152                 0.000152
                 0.080082                 0.000174                 0.000174                 0.000174
                 0.090092                 0.000196                 0.000196                 0.000196
                 0.100102                 0.000218                 0.000218                 0.000218
                 0.110112                 0.000239                 0.000240                 0.000239
                 0.120122                 0.000261                 0.000261                 0.000261
                 0.130133                 0.000283                 0.000283                 0.000283
                 0.140143                 0.000305                 0.000305                 0.000305
                 0.150153                 0.000327                 0.000327                 0.000327
                 0.160163                 0.000349                 0.000349                 0.000349
                 0.170173                 0.000371                 0.000371                 0.000371
                 0.180183                 0.000393                 0.000393                 0.000393
                 0.190194                 0.000415                 0.000415                 0.000415
                 0.200204                 0.000437                 0.000437                 0.000437
                 0.210214                 0.000459                 0.000459                 0.000459
                 0.220224                 0.000481                 0.000481                 0.000481
                 0.230234                 0.000503                 0.000503                 0.000503
                 0.240245                 0.000525                 0.000526                 0.000525
                 0.250255                 0.000547                 0.000548                 0.000547
                 0.260265                 0.000570                 0.000570                 0.000570
                 0.270275                 0.000592                 0.000592                 0.000592
                 0.280285                 0.000614                 0.000615                 0.000614
                 0.290296                 0.000637                 0.000637                 0.000637
                 0.300306                 0.000659                 0.000660                 0.000659
                 0.310316                 0.000682                 0.000682                 0.000682
                 0.320326                 0.000704                 0.000705                 0.000704
                 0.330336                 0.000727                 0.000727                 0.000727
                 0.340347                 0.000749                 0.000750                 0.000749
                 0.350357                 0.000772                 0.000772                 0.000772
                 0.360367                 0.000795                 0.000795                 0.000795
                 0.370377                 0.000818                 0.000818                 0.000818
                 0.380387                 0.000841                 0.000841                 0.000841
                 0.390398                 0.000863                 0.000864                 0.000863
                 0.400408                 0.000886                 0.000887                 0.000886
                 0.410418                 0.000910                 0.000910                 0.000910
                 0.420428                 0.000933                 0.000933                 0.000933
                 0.430438                 0.000956                 0.000956                 0.000956
                 0.440449                 0.000979                 0.000980                 0.000979
                 0.450459                 0.001003                 0.001003                 0.001003
                 0.460469                 0.001026                 0.001026                 0.001026
                 0.470479                 0.001049                 0.001050                 0.001049
                 0.480489                 0.001073                 0.001074                 0.001073
                 0.490499                 0.001097                 0.001097                 0.001097
                 0.500510                 0.001121                 0.001121                 0.001121
                 0.510520                 0.001144                 0.001145                 0.001144
                 0.520530                 0.001168                 0.001169                 0.001168
                 0.530540                 0.001192                 0.001193                 0.001192
                 0.540550                 0.001216                 0.001217                 0.001216
                 0.550561                 0.001241                 0.001241                 0.001241
                 0.560571                 0.001265                 0.001266                 0.001265
                 0.570581                 0.001290                 0.001290                 0.001290
                 0.580591                 0.001314                 0.001315                 0.001314
                 0.590601                 0.001339                 0.001339                 0.001339
                 0.600612                 0.001363                 0.001364                 0.001363
                 0.610622                 0.001388                 0.001389                 0.001388
                 0.620632                 0.001413                 0.001414                 0.001413
                 0.630642                 0.001438                 0.001439                 0.001438
                 0.640652                 0.001464                 0.001464                 0.001464
                 0.650663                 0.001489                 0.001490                 0.001489
                 0.660673                 0.001514                 0.001515                 0.001514
                 0.670683                 0.001540                 0.001541                 0.001540
                 0.680693                 0.001566                 0.001567                 0.001566
                 0.690703                 0.001592                 0.001592                 0.001592
                 0.700714                 0.001618                 0.001618                 0.001618
                 0.710724                 0.001644                 0.001645                 0.001644
                 0.720734                 0.001670                 0.001671                 0.001670
                 0.730744                 0.001697                 0.001697                 0.001697
                 0.740754                 0.001723                 0.001724                 0.001723
                 0.750765                 0.001750                 0.001751                 0.001750
                 0.760775                 0.001777                 0.001778                 0.001777
                 0.770785                 0.001804                 0.001805                 0.001804
                 0.780795                 0.001831                 0.001832                 0.001831
                 0.790805                 0.001858                 0.001859                 0.001858
                 0.800816                 0.001886                 0.001887                 0.001886
                 0.810826                 0.001914                 0.001915                 0.001914
                 0.820836                 0.001942                 0.001943                 0.001942
                 0.830846                 0.001970                 0.001971                 0.001970
                 0.840856                 0.001998                 0.001999                 0.001998
                 0.850866                 0.002027                 0.002028                 0.002027
                 0.860877                 0.002055                 0.002056                 0.002055
                 0.870887                 0.002084                 0.002085                 0.002084
                 0.880897                 0.002113                 0.002114                 0.002113
                 0.890907                 0.002142                 0.002143                 0.002142
                 0.900917                 0.002172                 0.002173                 0.002172
                 0.910928                 0.002202                 0.002203                 0.002202
                 0.920938                 0.002231                 0.002233                 0.002231
                 0.930948                 0.002262                 0.002263                 0.002262
                 0.940958                 0.002292                 0.002293                 0.002292
                 0.950968                 0.002323                 0.002324                 0.002323
                 0.960979                 0.002353                 0.002355                 0.002353
                 0.970989                 0.002384                 0.002386                 0.002384
                 0.980999                 0.002416                 0.002417                 0.002416
                 0.991009                 0.002447                 0.002449                 0.002447
                 1.001019                 0.002479                 0.002480                 0.002479
                 1.011030                 0.002511                 0.002513                 0.002511
                 1.021040                 0.002544                 0.002545                 0.002544
                 1.031050                 0.002576                 0.002578                 0.002576
                 1.041060                 0.002609                 0.002611                 0.002609
                 1.051070                 0.002643                 0.002644                 0.002643
                 1.061081                 0.002676                 0.002677                 0.002676
                 1.071091                 0.002710                 0.002711                 0.002710
                 1.081101                 0.002744                 0.002745                 0.002744
                 1.091111                 0.002779                 0.002780                 0.002779
                 1.101121                 0.002813                 0.002815                 0.002813
