#        Energy grid [eV]               Re(eps)_x                Re(eps)_y                Re(eps)_z
#
                 0.000000                 5.319756                 5.316472                 5.319511
                 0.010010                 5.319772                 5.316488                 5.319527
                 0.020020                 5.319821                 5.316537                 5.319576
                 0.030031                 5.319903                 5.316619                 5.319657
                 0.040041                 5.320017                 5.316733                 5.319772
                 0.050051                 5.320164                 5.316880                 5.319918
                 0.060061                 5.320343                 5.317059                 5.320098
                 0.070071                 5.320555                 5.317271                 5.320310
                 0.080082                 5.320800                 5.317516                 5.320555
                 0.090092                 5.321077                 5.317793                 5.320832
                 0.100102                 5.321387                 5.318103                 5.321143
                 0.110112                 5.321730                 5.318446                 5.321486
                 0.120122                 5.322106                 5.318821                 5.321861
                 0.130133                 5.322514                 5.319230                 5.322270
                 0.140143                 5.322956                 5.319671                 5.322711
                 0.150153                 5.323430                 5.320144                 5.323185
                 0.160163                 5.323937                 5.320651                 5.323693
                 0.170173                 5.324476                 5.321191                 5.324233
                 0.180183                 5.325049                 5.321764                 5.324806
                 0.190194                 5.325655                 5.322369                 5.325412
                 0.200204                 5.326294                 5.323008                 5.326051
                 0.210214                 5.326966                 5.323680                 5.326723
                 0.220224                 5.327671                 5.324385                 5.327428
                 0.230234                 5.328410                 5.325123                 5.328167
                 0.240245                 5.329181                 5.325894                 5.328939
                 0.250255                 5.329986                 5.326699                 5.329744
                 0.260265                 5.330825                 5.327537                 5.330583
                 0.270275                 5.331696                 5.328408                 5.331455
                 0.280285                 5.332602                 5.329313                 5.332360
                 0.290296                 5.333541                 5.330252                 5.333300
                 0.300306                 5.334513                 5.331224                 5.334273
                 0.310316                 5.335519                 5.332230                 5.335279
                 0.320326                 5.336559                 5.333269                 5.336320
                 0.330336                 5.337633                 5.334343                 5.337394
                 0.340347                 5.338741                 5.335451                 5.338502
                 0.350357                 5.339883                 5.336592                 5.339644
                 0.360367                 5.341059                 5.337768                 5.340821
                 0.370377                 5.342270                 5.338978                 5.342032
                 0.380387                 5.343514                 5.340222                 5.343277
                 0.390398                 5.344793                 5.341500                 5.344556
                 0.400408                 5.346107                 5.342814                 5.345870
                 0.410418                 5.347455                 5.344161                 5.347219
                 0.420428                 5.348838                 5.345544                 5.348602
                 0.430438                 5.350256                 5.346961                 5.350021
                 0.440449                 5.351709                 5.348413                 5.351474
                 0.450459                 5.353197                 5.349901                 5.352962
                 0.460469                 5.354719                 5.351423                 5.354486
                 0.470479                 5.356278                 5.352981                 5.356045
                 0.480489                 5.357871                 5.354574                 5.357639
                 0.490499                 5.359501                 5.356203                 5.359269
                 0.500510                 5.361166                 5.357867                 5.360934
                 0.510520                 5.362866                 5.359567                 5.362635
                 0.520530                 5.364603                 5.361303                 5.364373
                 0.530540                 5.366376                 5.363075                 5.366146
                 0.540550                 5.368185                 5.364884                 5.367956
                 0.550561                 5.370030                 5.366728                 5.369802
                 0.560571                 5.371912                 5.368609                 5.371684
                 0.570581                 5.373830                 5.370527                 5.373603
                 0.580591                 5.375786                 5.372482                 5.375560
                 0.590601                 5.377778                 5.374474                 5.377553
