#        Energy grid [eV]               Im(eps)_x                Im(eps)_y                Im(eps)_z
#
                 0.000000                 Infinity                 Infinity                 Infinity
                 0.010010             45885.065500             45861.984072             45885.073373
                 0.020020             22759.727474             22748.278717             22759.731380
                 0.030031             14974.293968             14966.761494             14974.296538
                 0.040041             11028.369288             11022.821721             11028.371181
                 0.050051              8622.940371              8618.602800              8622.941852
                 0.060061              6992.290372              6988.773062              6992.291573
                 0.070071              5808.545986              5805.624131              5808.546984
                 0.080082              4907.825775              4905.357007              4907.826619
                 0.090092              4198.981178              4196.868978              4198.981900
                 0.100102              3627.123200              3625.298660              3627.123824
                 0.110112              3157.073583              3155.485490              3157.074127
                 0.120122              2765.116520              2763.725592              2765.116996
                 0.130133              2434.578014              2433.353357              2434.578435
                 0.140143              2153.314900              2152.231726              2153.315272
                 0.150153              1912.218287              1911.256391              1912.218619
                 0.160163              1704.284153              1703.426854              1704.284449
                 0.170173              1524.014817              1523.248198              1524.015082
                 0.180183              1367.020673              1366.333027              1367.020912
                 0.190194              1229.747094              1229.128499              1229.747309
                 0.200204              1109.281908              1108.723911              1109.282103
                 0.210214              1003.216192              1002.711549              1003.216368
                 0.220224               909.541246               909.083724               909.541407
                 0.230234               826.570763               826.154977               826.570910
                 0.240245               752.880932               752.502215               752.881066
                 0.250255               687.263609               686.917899               687.263732
                 0.260265               628.689191               628.372945               628.689304
                 0.270275               576.276837               575.986957               576.276942
                 0.280285               529.270350               529.004115               529.270447
                 0.290296               487.018457               486.773476               487.018547
                 0.300306               448.958597               448.732762               448.958681
                 0.310316               414.603486               414.394932               414.603564
                 0.320326               383.529937               383.337014               383.530010
                 0.330336               355.369511               355.190754               355.369580
                 0.340347               329.800666               329.634770               329.800730
                 0.350357               306.542137               306.387941               306.542197
                 0.360367               285.347347               285.203813               285.347404
                 0.370377               265.999657               265.865856               265.999711
                 0.380387               248.308335               248.183432               248.308386
                 0.390398               232.105108               231.988356               232.105156
                 0.400408               217.241227               217.131953               217.241273
                 0.410418               203.584945               203.482541               203.584989
                 0.420428               191.019350               190.923266               191.019392
                 0.430438               179.440502               179.350243               179.440542
                 0.440449               168.755829               168.670944               168.755868
                 0.450459               158.882735               158.802817               158.882772
                 0.460469               149.747399               149.672076               149.747435
                 0.470479               141.283731               141.212666               141.283766
                 0.480489               133.432463               133.365348               133.432497
                 0.490499               126.140364               126.076917               126.140397
                 0.500510               119.359541               119.299505               119.359573
                 0.510520               113.046847               112.989986               113.046878
                 0.520530               107.163344               107.109443               107.163375
                 0.530540               101.673847               101.622708               101.673877
                 0.540550                96.546512                96.497952                96.546541
                 0.550561                91.752480                91.706331                91.752508
                 0.560571                87.265561                87.221670                87.265590
                 0.570581                83.061958                83.020181                83.061986
                 0.580591                79.120014                79.080220                79.120041
                 0.590601                75.419999                75.382067                75.420026
                 0.600612                71.943916                71.907732                71.943943
                 0.610622                68.675325                68.640786                68.675352
                 0.620632                65.599195                65.566204                65.599222
                 0.630642                62.701764                62.670230                62.701790
                 0.640652                59.970417                59.940257                59.970443
                 0.650663                57.393581                57.364717                57.393607
                 0.660673                54.960623                54.932984                54.960649
                 0.670683                52.661768                52.635285                52.661793
                 0.680693                50.488014                50.462624                50.488040
                 0.690703                48.431068                48.406714                48.431094
                 0.700714                46.483282                46.459908                46.483308
                 0.710724                44.637592                44.615146                44.637617
                 0.720734                42.887469                42.865904                42.887496
                 0.730744                41.226878                41.206148                41.226904
                 0.740754                39.650225                39.630288                39.650251
                 0.750765                38.152329                38.133147                38.152356
                 0.760775                36.728386                36.709920                36.728413
                 0.770785                35.373933                35.356148                35.373959
                 0.780795                34.084824                34.067688                34.084851
                 0.790805                32.857205                32.840686                32.857232
                 0.800816                31.687488                31.671558                31.687515
                 0.810826                30.572331                30.556962                30.572359
                 0.820836                29.508620                29.493787                29.508648
                 0.830846                28.493450                28.479127                28.493478
                 0.840856                27.524107                27.510272                27.524135
                 0.850866                26.598059                26.584690                26.598087
                 0.860877                25.712935                25.700012                25.712964
                 0.870887                24.866520                24.854023                24.866550
                 0.880897                24.056740                24.044650                24.056769
                 0.890907                23.281650                23.269951                23.281680
                 0.900917                22.539428                22.528102                22.539458
                 0.910928                21.828366                21.817398                21.828396
                 0.920938                21.146858                21.136233                21.146888
                 0.930948                20.493397                20.483102                20.493429
                 0.940958                19.866569                19.856589                19.866601
                 0.950968                19.265040                19.255363                19.265072
                 0.960979                18.687558                18.678172                18.687591
                 0.970989                18.132944                18.123836                18.132977
                 0.980999                17.600084                17.591245                17.600118
                 0.991009                17.087933                17.079352                17.087967
                 1.001019                16.595502                16.587169                16.595536
                 1.011030                16.121859                16.113764                16.121893
                 1.021040                15.666123                15.658258                15.666158
                 1.031050                15.227464                15.219820                15.227500
                 1.041060                14.805096                14.797665                14.805132
                 1.051070                14.398276                14.391050                14.398313
                 1.061081                14.006301                13.999272                14.006339
                 1.071091                13.628507                13.621668                13.628545
                 1.081101                13.264262                13.257607                13.264301
                 1.091111                12.912971                12.906493                12.913011
                 1.101121                12.574069                12.567762                12.574109
                 1.111132                12.247018                12.240875                12.247058
                 1.121142                11.931310                11.925327                11.931351
                 1.131152                11.626462                11.620633                11.626504
                 1.141162                11.332016                11.326335                11.332058
                 1.151172                11.047536                11.041998                11.047579
                 1.161182                10.772608                10.767209                10.772652
                 1.171193                10.506839                10.501574                10.506884
                 1.181203                10.249855                10.244720                10.249900
                 1.191213                10.001299                 9.996289                10.001345
                 1.201223                 9.760833                 9.755944                 9.760880
                 1.211233                 9.528133                 9.523363                 9.528181
                 1.221244                 9.302893                 9.298237                 9.302942
                 1.231254                 9.084820                 9.080273                 9.084870
                 1.241264                 8.873634                 8.869194                 8.873685
                 1.251274                 8.669069                 8.664733                 8.669121
                 1.261284                 8.470871                 8.466635                 8.470924
                 1.271295                 8.278798                 8.274658                 8.278851
                 1.281305                 8.092617                 8.088572                 8.092672
                 1.291315                 7.912109                 7.908155                 7.912164
                 1.301325                 7.737062                 7.733196                 7.737118
                 1.311335                 7.567273                 7.563494                 7.567331
                 1.321346                 7.402551                 7.398855                 7.402610
                 1.331356                 7.242711                 7.239096                 7.242771
                 1.341366                 7.087577                 7.084040                 7.087637
                 1.351376                 6.936979                 6.933519                 6.937040
                 1.361386                 6.790756                 6.787370                 6.790818
                 1.371397                 6.648753                 6.645439                 6.648817
                 1.381407                 6.510823                 6.507579                 6.510888
                 1.391417                 6.376824                 6.373648                 6.376890
                 1.401427                 6.246618                 6.243509                 6.246686
                 1.411437                 6.120077                 6.117032                 6.120146
                 1.421448                 5.997075                 5.994092                 5.997146
                 1.431458                 5.877493                 5.874571                 5.877564
                 1.441468                 5.761214                 5.758352                 5.761287
                 1.451478                 5.648130                 5.645325                 5.648204
                 1.461488                 5.538134                 5.535385                 5.538210
                 1.471498                 5.431124                 5.428430                 5.431202
                 1.481509                 5.327003                 5.324362                 5.327082
                 1.491519                 5.225678                 5.223088                 5.225758
                 1.501529                 5.127057                 5.124518                 5.127139
                 1.511539                 5.031055                 5.028564                 5.031138
                 1.521549                 4.937587                 4.935145                 4.937673
                 1.531560                 4.846575                 4.844180                 4.846663
                 1.541570                 4.757942                 4.755592                 4.758031
                 1.551580                 4.671612                 4.669306                 4.671703
                 1.561590                 4.587516                 4.585253                 4.587608
                 1.571600                 4.505584                 4.503363                 4.505678
                 1.581611                 4.425750                 4.423571                 4.425847
                 1.591621                 4.347952                 4.345813                 4.348050
                 1.601631                 4.272127                 4.270027                 4.272228
                 1.611641                 4.198218                 4.196156                 4.198321
                 1.621651                 4.126167                 4.124142                 4.126272
                 1.631662                 4.055919                 4.053931                 4.056026
                 1.641672                 3.987423                 3.985470                 3.987532
                 1.651682                 3.920626                 3.918709                 3.920738
                 1.661692                 3.855482                 3.853598                 3.855596
                 1.671702                 3.791941                 3.790090                 3.792058
                 1.681713                 3.729959                 3.728140                 3.730078
                 1.691723                 3.669492                 3.667705                 3.669614
                 1.701733                 3.610497                 3.608742                 3.610622
                 1.711743                 3.552935                 3.551209                 3.553062
                 1.721753                 3.496764                 3.495068                 3.496895
                 1.731764                 3.441948                 3.440281                 3.442082
                 1.741774                 3.388450                 3.386811                 3.388587
                 1.751784                 3.336234                 3.334623                 3.336374
                 1.761794                 3.285267                 3.283683                 3.285410
                 1.771804                 3.235514                 3.233957                 3.235661
                 1.781814                 3.186945                 3.185414                 3.187095
                 1.791825                 3.139529                 3.138023                 3.139683
                 1.801835                 3.093236                 3.091755                 3.093393
                 1.811845                 3.048037                 3.046581                 3.048198
                 1.821855                 3.003905                 3.002473                 3.004070
                 1.831865                 2.960813                 2.959404                 2.960982
                 1.841876                 2.918736                 2.917349                 2.918909
                 1.851886                 2.877647                 2.876284                 2.877825
                 1.861896                 2.837524                 2.836183                 2.837706
                 1.871906                 2.798343                 2.797023                 2.798530
                 1.881916                 2.760082                 2.758783                 2.760273
                 1.891927                 2.722718                 2.721440                 2.722914
                 1.901937                 2.686232                 2.684974                 2.686433
                 1.911947                 2.650602                 2.649365                 2.650809
                 1.921957                 2.615810                 2.614593                 2.616022
                 1.931967                 2.581837                 2.580638                 2.582054
                 1.941978                 2.548663                 2.547484                 2.548887
                 1.951988                 2.516273                 2.515113                 2.516503
                 1.961998                 2.484649                 2.483508                 2.484885
                 1.972008                 2.453775                 2.452652                 2.454017
                 1.982018                 2.423635                 2.422529                 2.423884
                 1.992029                 2.394214                 2.393126                 2.394470
                 2.002039                 2.365498                 2.364427                 2.365760
                 2.012049                 2.337472                 2.336418                 2.337742
                 2.022059                 2.310123                 2.309086                 2.310401
                 2.032069                 2.283438                 2.282417                 2.283724
                 2.042080                 2.257405                 2.256400                 2.257699
                 2.052090                 2.232011                 2.231022                 2.232314
                 2.062100                 2.207245                 2.206273                 2.207557
                 2.072110                 2.183097                 2.182140                 2.183418
                 2.082120                 2.159555                 2.158614                 2.159886
                 2.092130                 2.136610                 2.135684                 2.136951
                 2.102141                 2.114252                 2.113341                 2.114604
                 2.112151                 2.092472                 2.091575                 2.092835
                 2.122161                 2.071261                 2.070379                 2.071635
                 2.132171                 2.050611                 2.049743                 2.050997
                 2.142181                 2.030514                 2.029660                 2.030912
                 2.152192                 2.010962                 2.010123                 2.011373
                 2.162202                 1.991949                 1.991124                 1.992374
                 2.172212                 1.973468                 1.972657                 1.973907
                 2.182222                 1.955513                 1.954716                 1.955966
                 2.192232                 1.938078                 1.937295                 1.938547
                 2.202243                 1.921158                 1.920389                 1.921643
                 2.212253                 1.904749                 1.903993                 1.905251
                 2.222263                 1.888845                 1.888103                 1.889364
                 2.232273                 1.873443                 1.872714                 1.873981
                 2.242283                 1.858539                 1.857824                 1.859096
                 2.252294                 1.844130                 1.843428                 1.844708
                 2.262304                 1.830214                 1.829526                 1.830813
                 2.272314                 1.816789                 1.816113                 1.817410
                 2.282324                 1.803852                 1.803190                 1.804497
                 2.292334                 1.791403                 1.790754                 1.792072
                 2.302345                 1.779441                 1.778805                 1.780136
                 2.312355                 1.767965                 1.767343                 1.768688
                 2.322365                 1.756977                 1.756368                 1.757729
                 2.332375                 1.746477                 1.745882                 1.747259
                 2.342385                 1.736467                 1.735885                 1.737281
                 2.352396                 1.726948                 1.726380                 1.727796
                 2.362406                 1.717924                 1.717369                 1.718808
                 2.372416                 1.709398                 1.708857                 1.710319
                 2.382426                 1.701374                 1.700846                 1.702335
                 2.392436                 1.693856                 1.693342                 1.694860
                 2.402447                 1.686851                 1.686351                 1.687899
                 2.412457                 1.680364                 1.679878                 1.681459
                 2.422467                 1.674403                 1.673931                 1.675548
                 2.432477                 1.668975                 1.668518                 1.670173
                 2.442487                 1.664090                 1.663648                 1.665345
                 2.452497                 1.659757                 1.659330                 1.661071
                 2.462508                 1.655987                 1.655575                 1.657365
                 2.472518                 1.652792                 1.652396                 1.654238
                 2.482528                 1.650186                 1.649806                 1.651704
                 2.492538                 1.648183                 1.647819                 1.649777
                 2.502548                 1.646798                 1.646450                 1.648473
                 2.512559                 1.646048                 1.645717                 1.647810
                 2.522569                 1.645951                 1.645638                 1.647806
                 2.532579                 1.646529                 1.646234                 1.648481
                 2.542589                 1.647802                 1.647525                 1.649858
                 2.552599                 1.649793                 1.649535                 1.651961
                 2.562610                 1.652528                 1.652289                 1.654814
                 2.572620                 1.656033                 1.655815                 1.658444
                 2.582630                 1.660337                 1.660140                 1.662882
                 2.592640                 1.665472                 1.665297                 1.668159
                 2.602650                 1.671469                 1.671318                 1.674307
                 2.612661                 1.678365                 1.678238                 1.681361
                 2.622671                 1.686196                 1.686096                 1.689360
                 2.632681                 1.695003                 1.694929                 1.698343
                 2.642691                 1.704825                 1.704781                 1.708351
                 2.652701                 1.715708                 1.715696                 1.719427
                 2.662712                 1.727697                 1.727719                 1.731617
                 2.672722                 1.740840                 1.740899                 1.744967
                 2.682732                 1.755187                 1.755286                 1.759525
                 2.692742                 1.770788                 1.770931                 1.775341
                 2.702752                 1.787697                 1.787888                 1.792465
                 2.712763                 1.805968                 1.806211                 1.810947
                 2.722773                 1.825654                 1.825955                 1.830837
                 2.732783                 1.846810                 1.847176                 1.852186
                 2.742793                 1.869492                 1.869929                 1.875043
                 2.752803                 1.893753                 1.894268                 1.899455
                 2.762813                 1.919647                 1.920246                 1.925468
                 2.772824                 1.947224                 1.947917                 1.953128
                 2.782834                 1.976534                 1.977328                 1.982476
                 2.792844                 2.007622                 2.008526                 2.013553
                 2.802854                 2.040533                 2.041554                 2.046397
                 2.812864                 2.075305                 2.076451                 2.081043
                 2.822875                 2.111974                 2.113252                 2.117528
                 2.832885                 2.150571                 2.151986                 2.155882
                 2.842895                 2.191121                 2.192677                 2.196138
                 2.852905                 2.233647                 2.235343                 2.238322
                 2.862915                 2.278161                 2.279995                 2.282460
                 2.872926                 2.324670                 2.326636                 2.328570
                 2.882936                 2.373174                 2.375261                 2.376665
                 2.892946                 2.423659                 2.425855                 2.426746
                 2.902956                 2.476103                 2.478389                 2.478804
                 2.912966                 2.530465                 2.532822                 2.532812
                 2.922977                 2.586690                 2.589094                 2.588726
                 2.932987                 2.644699                 2.647127                 2.646476
                 2.942997                 2.704392                 2.706819                 2.705970
                 2.953007                 2.765642                 2.768044                 2.767083
