#        Energy grid [eV]               Re(eps)_x                Re(eps)_y                Re(eps)_z
#
                 0.000000             -2378.476688             -2377.280858             -2378.477342
                 0.010010             -2372.094450             -2370.901830             -2372.095103
                 0.020020             -2353.151151             -2351.968060             -2353.151801
                 0.030031             -2322.241038             -2321.073496             -2322.241683
                 0.040041             -2280.303510             -2279.157064             -2280.304148
                 0.050051             -2228.554146             -2227.433731             -2228.554775
                 0.060061             -2168.401528             -2167.311371             -2168.402146
                 0.070071             -2101.359801             -2100.303368             -2101.360408
                 0.080082             -2028.965997             -2027.945980             -2028.966591
                 0.090092             -1952.708968             -1951.727311             -1952.709549
                 0.100102             -1873.974018             -1873.031966             -1873.974585
                 0.110112             -1794.004590             -1793.102765             -1794.005144
                 0.120122             -1713.880218             -1713.018697             -1713.880757
                 0.130133             -1634.508431             -1633.686837             -1634.508957
                 0.140143             -1556.627625             -1555.845207             -1556.628138
                 0.150153             -1480.817728             -1480.073444             -1480.818227
                 0.160163             -1407.515782             -1406.808371             -1407.516269
                 0.170173             -1337.034056             -1336.362099             -1337.034530
                 0.180183             -1269.578838             -1268.940812             -1269.579300
                 0.190194             -1205.268656             -1204.662981             -1205.269107
                 0.200204             -1144.151090             -1143.576158             -1144.151530
                 0.210214             -1086.217733             -1085.671943             -1086.218163
                 0.220224             -1031.417137             -1030.898913             -1031.417557
                 0.230234              -979.665740              -979.173548              -979.666151
                 0.240245              -930.856909              -930.389269              -930.857312
                 0.250255              -884.868281              -884.423775              -884.868676
                 0.260265              -841.567621              -841.144896              -841.568008
                 0.270275              -800.817423              -800.415196              -800.817803
                 0.280285              -762.478445              -762.095504              -762.478818
                 0.290296              -726.412387              -726.047588              -726.412754
                 0.300306              -692.483859              -692.136127              -692.484219
                 0.310316              -660.561790              -660.230115              -660.562145
                 0.320326              -630.520394              -630.203831              -630.520743
                 0.330336              -602.239786              -601.937448              -602.240129
                 0.340347              -575.606336              -575.317396              -575.606675
                 0.350357              -550.512821              -550.236504              -550.513156
                 0.360367              -526.858420              -526.594001              -526.858750
                 0.370377              -504.548606              -504.295409              -504.548932
                 0.380387              -483.494956              -483.252349              -483.495277
                 0.390398              -463.614909              -463.382302              -463.615226
                 0.400408              -444.831487              -444.608329              -444.831801
                 0.410418              -427.073001              -426.858775              -427.073311
                 0.420428              -410.272740              -410.066966              -410.273047
                 0.430438              -394.368670              -394.170896              -394.368974
                 0.440449              -379.303124              -379.112927              -379.303425
                 0.450459              -365.022513              -364.839500              -365.022811
                 0.460469              -351.477043              -351.300843              -351.477338
