#        Energy grid [eV]               JDOS/w^2
#
                 0.000000                 Infinity
                 0.010010                 0.006052
                 0.020020                 0.003030
                 0.030031                 0.002024
                 0.040041                 0.001523
                 0.050051                 0.001223
                 0.060061                 0.001024
                 0.070071                 0.000883
                 0.080082                 0.000778
                 0.090092                 0.000697
                 0.100102                 0.000632
                 0.110112                 0.000580
                 0.120122                 0.000537
                 0.130133                 0.000501
                 0.140143                 0.000471
                 0.150153                 0.000445
                 0.160163                 0.000423
                 0.170173                 0.000404
                 0.180183                 0.000387
                 0.190194                 0.000372
                 0.200204                 0.000360
                 0.210214                 0.000348
                 0.220224                 0.000338
                 0.230234                 0.000330
                 0.240245                 0.000322
                 0.250255                 0.000316
                 0.260265                 0.000310
                 0.270275                 0.000305
                 0.280285                 0.000300
                 0.290296                 0.000296
                 0.300306                 0.000293
                 0.310316                 0.000291
                 0.320326                 0.000288
                 0.330336                 0.000287
                 0.340347                 0.000285
                 0.350357                 0.000284
                 0.360367                 0.000284
                 0.370377                 0.000284
                 0.380387                 0.000284
                 0.390398                 0.000284
                 0.400408                 0.000285
                 0.410418                 0.000286
                 0.420428                 0.000288
                 0.430438                 0.000290
                 0.440449                 0.000292
                 0.450459                 0.000294
                 0.460469                 0.000297
                 0.470479                 0.000299
                 0.480489                 0.000303
                 0.490499                 0.000306
                 0.500510                 0.000310
                 0.510520                 0.000314
                 0.520530                 0.000318
                 0.530540                 0.000322
                 0.540550                 0.000327
                 0.550561                 0.000332
                 0.560571                 0.000338
                 0.570581                 0.000343
                 0.580591                 0.000349
                 0.590601                 0.000356
                 0.600612                 0.000362
                 0.610622                 0.000369
                 0.620632                 0.000377
                 0.630642                 0.000384
                 0.640652                 0.000392
                 0.650663                 0.000400
                 0.660673                 0.000409
                 0.670683                 0.000418
                 0.680693                 0.000427
                 0.690703                 0.000437
                 0.700714                 0.000448
                 0.710724                 0.000458
                 0.720734                 0.000469
                 0.730744                 0.000481
                 0.740754                 0.000493
                 0.750765                 0.000505
                 0.760775                 0.000518
                 0.770785                 0.000532
                 0.780795                 0.000546
                 0.790805                 0.000560
                 0.800816                 0.000576
                 0.810826                 0.000591
                 0.820836                 0.000608
                 0.830846                 0.000625
                 0.840856                 0.000642
                 0.850866                 0.000661
                 0.860877                 0.000680
                 0.870887                 0.000699
                 0.880897                 0.000720
                 0.890907                 0.000741
                 0.900917                 0.000764
                 0.910928                 0.000787
                 0.920938                 0.000811
                 0.930948                 0.000835
                 0.940958                 0.000861
                 0.950968                 0.000888
                 0.960979                 0.000916
                 0.970989                 0.000945
                 0.980999                 0.000975
                 0.991009                 0.001006
                 1.001019                 0.001038
                 1.011030                 0.001072
                 1.021040                 0.001107
                 1.031050                 0.001143
                 1.041060                 0.001181
                 1.051070                 0.001220
                 1.061081                 0.001261
                 1.071091                 0.001303
                 1.081101                 0.001347
                 1.091111                 0.001393
                 1.101121                 0.001441
                 1.111132                 0.001490
                 1.121142                 0.001541
                 1.131152                 0.001595
                 1.141162                 0.001650
                 1.151172                 0.001708
                 1.161182                 0.001768
                 1.171193                 0.001830
                 1.181203                 0.001895
                 1.191213                 0.001962
                 1.201223                 0.002032
                 1.211233                 0.002105
                 1.221244                 0.002181
                 1.231254                 0.002260
                 1.241264                 0.002342
                 1.251274                 0.002427
                 1.261284                 0.002516
                 1.271295                 0.002608
                 1.281305                 0.002704
                 1.291315                 0.002803
                 1.301325                 0.002907
                 1.311335                 0.003015
                 1.321346                 0.003128
                 1.331356                 0.003245
                 1.341366                 0.003366
                 1.351376                 0.003493
                 1.361386                 0.003625
                 1.371397                 0.003762
                 1.381407                 0.003905
                 1.391417                 0.004053
                 1.401427                 0.004208
                 1.411437                 0.004369
                 1.421448                 0.004537
                 1.431458                 0.004711
                 1.441468                 0.004893
                 1.451478                 0.005082
                 1.461488                 0.005279
                 1.471498                 0.005485
                 1.481509                 0.005698
                 1.491519                 0.005921
                 1.501529                 0.006153
                 1.511539                 0.006394
                 1.521549                 0.006646
                 1.531560                 0.006908
                 1.541570                 0.007181
                 1.551580                 0.007465
                 1.561590                 0.007761
                 1.571600                 0.008070
                 1.581611                 0.008391
                 1.591621                 0.008726
                 1.601631                 0.009075
                 1.611641                 0.009439
                 1.621651                 0.009818
                 1.631662                 0.010213
                 1.641672                 0.010625
                 1.651682                 0.011054
                 1.661692                 0.011502
                 1.671702                 0.011968
                 1.681713                 0.012454
                 1.691723                 0.012960
                 1.701733                 0.013489
                 1.711743                 0.014039
                 1.721753                 0.014613
                 1.731764                 0.015211
                 1.741774                 0.015835
                 1.751784                 0.016486
                 1.761794                 0.017164
                 1.771804                 0.017871
                 1.781814                 0.018608
                 1.791825                 0.019377
                 1.801835                 0.020179
                 1.811845                 0.021015
                 1.821855                 0.021887
                 1.831865                 0.022796
                 1.841876                 0.023744
                 1.851886                 0.024733
                 1.861896                 0.025765
                 1.871906                 0.026840
                 1.881916                 0.027963
                 1.891927                 0.029133
                 1.901937                 0.030353
                 1.911947                 0.031627
                 1.921957                 0.032955
                 1.931967                 0.034340
                 1.941978                 0.035785
                 1.951988                 0.037292
                 1.961998                 0.038864
                 1.972008                 0.040504
                 1.982018                 0.042214
                 1.992029                 0.043999
                 2.002039                 0.045860
                 2.012049                 0.047802
                 2.022059                 0.049827
                 2.032069                 0.051939
                 2.042080                 0.054143
                 2.052090                 0.056441
                 2.062100                 0.058838
                 2.072110                 0.061339
                 2.082120                 0.063947
                 2.092130                 0.066667
                 2.102141                 0.069504
                 2.112151                 0.072462
                 2.122161                 0.075548
                 2.132171                 0.078766
                 2.142181                 0.082122
                 2.152192                 0.085621
                 2.162202                 0.089269
                 2.172212                 0.093073
                 2.182222                 0.097040
                 2.192232                 0.101174
                 2.202243                 0.105485
                 2.212253                 0.109978
                 2.222263                 0.114661
                 2.232273                 0.119542
                 2.242283                 0.124628
                 2.252294                 0.129928
                 2.262304                 0.135450
                 2.272314                 0.141202
                 2.282324                 0.147195
                 2.292334                 0.153436
                 2.302345                 0.159936
                 2.312355                 0.166704
                 2.322365                 0.173751
                 2.332375                 0.181086
                 2.342385                 0.188720
                 2.352396                 0.196664
                 2.362406                 0.204929
                 2.372416                 0.213526
                 2.382426                 0.222468
                 2.392436                 0.231766
                 2.402447                 0.241431
                 2.412457                 0.251477
                 2.422467                 0.261915
                 2.432477                 0.272758
                 2.442487                 0.284019
                 2.452497                 0.295712
                 2.462508                 0.307848
                 2.472518                 0.320440
                 2.482528                 0.333503
                 2.492538                 0.347049
                 2.502548                 0.361091
                 2.512559                 0.375642
                 2.522569                 0.390716
                 2.532579                 0.406324
                 2.542589                 0.422479
                 2.552599                 0.439194
                 2.562610                 0.456481
                 2.572620                 0.474351
                 2.582630                 0.492815
                 2.592640                 0.511884
                 2.602650                 0.531569
                 2.612661                 0.551878
                 2.622671                 0.572821
                 2.632681                 0.594406
                 2.642691                 0.616640
                 2.652701                 0.639529
                 2.662712                 0.663079
                 2.672722                 0.687294
                 2.682732                 0.712178
                 2.692742                 0.737733
                 2.702752                 0.763960
                 2.712763                 0.790858
                 2.722773                 0.818425
                 2.732783                 0.846659
                 2.742793                 0.875556
                 2.752803                 0.905108
                 2.762813                 0.935310
                 2.772824                 0.966151
                 2.782834                 0.997621
                 2.792844                 1.029708
                 2.802854                 1.062398
                 2.812864                 1.095677
                 2.822875                 1.129527
                 2.832885                 1.163931
                 2.842895                 1.198868
                 2.852905                 1.234319
                 2.862915                 1.270259
                 2.872926                 1.306667
                 2.882936                 1.343517
                 2.892946                 1.380785
                 2.902956                 1.418442
                 2.912966                 1.456463
                 2.922977                 1.494819
                 2.932987                 1.533482
                 2.942997                 1.572423
                 2.953007                 1.611613
                 2.963017                 1.651023
                 2.973028                 1.690624
                 2.983038                 1.730387
                 2.993048                 1.770284
                 3.003058                 1.810287
                 3.013068                 1.850369
                 3.023079                 1.890503
                 3.033089                 1.930663
                 3.043099                 1.970825
                 3.053109                 2.010964
                 3.063119                 2.051059
                 3.073129                 2.091088
                 3.083140                 2.131030
                 3.093150                 2.170866
                 3.103160                 2.210579
                 3.113170                 2.250151
                 3.123180                 2.289567
                 3.133191                 2.328813
                 3.143201                 2.367876
                 3.153211                 2.406742
                 3.163221                 2.445401
                 3.173231                 2.483843
                 3.183242                 2.522056
                 3.193252                 2.560033
                 3.203262                 2.597765
                 3.213272                 2.635244
                 3.223282                 2.672462
                 3.233293                 2.709412
                 3.243303                 2.746087
                 3.253313                 2.782480
                 3.263323                 2.818584
                 3.273333                 2.854392
                 3.283344                 2.889897
                 3.293354                 2.925091
                 3.303364                 2.959968
                 3.313374                 2.994518
                 3.323384                 3.028735
                 3.333395                 3.062609
                 3.343405                 3.096131
                 3.353415                 3.129293
                 3.363425                 3.162083
                 3.373435                 3.194494
                 3.383445                 3.226513
                 3.393456                 3.258130
                 3.403466                 3.289335
                 3.413476                 3.320116
                 3.423486                 3.350462
                 3.433496                 3.380362
                 3.443507                 3.409804
                 3.453517                 3.438778
                 3.463527                 3.467272
                 3.473537                 3.495276
                 3.483547                 3.522780
                 3.493558                 3.549774
                 3.503568                 3.576249
                 3.513578                 3.602198
                 3.523588                 3.627614
                 3.533598                 3.652489
                 3.543609                 3.676818
                 3.553619                 3.700599
                 3.563629                 3.723828
                 3.573639                 3.746503
                 3.583649                 3.768626
                 3.593660                 3.790196
                 3.603670                 3.811218
                 3.613680                 3.831695
                 3.623690                 3.851635
                 3.633700                 3.871044
                 3.643711                 3.889931
                 3.653721                 3.908307
                 3.663731                 3.926185
                 3.673741                 3.943577
                 3.683751                 3.960500
                 3.693761                 3.976968
                 3.703772                 3.993000
                 3.713782                 4.008613
                 3.723792                 4.023829
                 3.733802                 4.038667
                 3.743812                 4.053149
                 3.753823                 4.067298
                 3.763833                 4.081135
                 3.773843                 4.094685
                 3.783853                 4.107970
                 3.793863                 4.121015
                 3.803874                 4.133844
                 3.813884                 4.146481
                 3.823894                 4.158948
                 3.833904                 4.171270
                 3.843914                 4.183468
                 3.853925                 4.195565
                 3.863935                 4.207582
                 3.873945                 4.219539
                 3.883955                 4.231455
                 3.893965                 4.243348
                 3.903976                 4.255235
                 3.913986                 4.267129
                 3.923996                 4.279045
                 3.934006                 4.290994
                 3.944016                 4.302986
                 3.954027                 4.315029
                 3.964037                 4.327130
                 3.974047                 4.339292
                 3.984057                 4.351517
                 3.994067                 4.363807
                 4.004078                 4.376159
                 4.014088                 4.388570
                 4.024098                 4.401035
                 4.034108                 4.413546
                 4.044118                 4.426095
                 4.054128                 4.438670
                 4.064139                 4.451260
                 4.074149                 4.463852
                 4.084159                 4.476430
                 4.094169                 4.488979
                 4.104179                 4.501482
                 4.114190                 4.513922
                 4.124200                 4.526281
                 4.134210                 4.538540
                 4.144220                 4.550680
                 4.154230                 4.562682
                 4.164241                 4.574529
                 4.174251                 4.586201
                 4.184261                 4.597681
                 4.194271                 4.608951
                 4.204281                 4.619995
                 4.214292                 4.630798
                 4.224302                 4.641345
                 4.234312                 4.651622
                 4.244322                 4.661619
                 4.254332                 4.671324
                 4.264343                 4.680727
                 4.274353                 4.689822
                 4.284363                 4.698602
                 4.294373                 4.707061
                 4.304383                 4.715197
                 4.314394                 4.723007
                 4.324404                 4.730491
                 4.334414                 4.737650
                 4.344424                 4.744484
                 4.354434                 4.750998
                 4.364444                 4.757194
                 4.374455                 4.763079
                 4.384465                 4.768657
                 4.394475                 4.773934
                 4.404485                 4.778917
                 4.414495                 4.783614
                 4.424506                 4.788031
                 4.434516                 4.792176
