#        Energy grid [eV]               Re(eps)                  Im(eps)               refractive_index          extinct_coeff             reflectivity
#
                 0.000000             -2378.078296                 Infinity                 Infinity                 Infinity                      NaN
                 0.010010             -2371.697128             45877.374315               147.592243               155.419327                 0.987231
                 0.020020             -2352.757004             22755.912524               101.302663               112.316457                 0.982444
                 0.030031             -2321.852072             14971.784000                80.090264                93.468190                 0.979078
                 0.040041             -2279.921574             11026.520730                67.006861                82.279043                 0.976478
                 0.050051             -2228.180884              8621.495008                57.777986                74.608823                 0.974382
                 0.060061             -2168.038349              6991.118336                50.752010                68.875285                 0.972648
                 0.070071             -2101.007859              5807.572367                45.138253                64.330939                 0.971191
                 0.080082             -2028.626189              4907.003134                40.504175                60.574041                 0.969951
                 0.090092             -1952.381943              4198.277352                36.590055                57.369104                 0.968888
                 0.100102             -1873.660189              3626.515228                33.228583                54.569212                 0.967968
                 0.110112             -1793.704166              3156.544400                30.305782                52.078254                 0.967168
                 0.120122             -1713.593224              2764.653036                27.740342                49.830912                 0.966468
                 0.130133             -1634.234742              2434.169936                25.471974                47.781337                 0.965853
                 0.140143             -1556.366990              2152.953966                23.454493                45.896408                 0.965310
                 0.150153             -1480.569800              1911.897766                21.651539                44.151545                 0.964829
                 0.160163             -1407.280141              1703.998485                20.033823                42.528040                 0.964401
                 0.170173             -1336.810228              1523.759366                18.577311                41.011300                 0.964018
                 0.180183             -1269.366317              1366.791537                17.261972                39.589670                 0.963675
                 0.190194             -1205.066915              1229.540967                16.070902                38.253638                 0.963366
                 0.200204             -1143.959593              1109.095974                14.989696                36.995278                 0.963087
                 0.210214             -1086.035946              1003.048036                14.005974                35.807866                 0.962834
                 0.220224             -1031.244536               909.388792                13.109024                34.685603                 0.962603
                 0.230234              -979.501813               826.432217                12.289532                33.623421                 0.962393
                 0.240245              -930.701163               752.754738                11.539359                32.616836                 0.962200
                 0.250255              -884.720244               687.148414                10.851364                31.661844                 0.962023
                 0.260265              -841.426842               628.583813                10.219266                30.754841                 0.961859
                 0.270275              -800.683474               576.180246                 9.637519                29.892562                 0.961707
                 0.280285              -762.350922               529.181637                 9.101215                29.072032                 0.961567
                 0.290296              -726.290910               486.936827                 8.606003                28.290532                 0.961435
                 0.300306              -692.368068               448.883347                 8.148015                27.545566                 0.961313
