#        Energy grid [eV]               Im(eps)_x                Im(eps)_y                Im(eps)_z
#
                 0.000000                 0.000000                -0.000000                 0.000000
                 0.010010                 0.000635                 0.000635                 0.000636
                 0.020020                 0.001271                 0.001270                 0.001271
                 0.030031                 0.001907                 0.001906                 0.001907
                 0.040041                 0.002542                 0.002541                 0.002543
                 0.050051                 0.003178                 0.003177                 0.003179
                 0.060061                 0.003814                 0.003813                 0.003816
                 0.070071                 0.004451                 0.004449                 0.004452
                 0.080082                 0.005088                 0.005086                 0.005089
                 0.090092                 0.005725                 0.005723                 0.005727
                 0.100102                 0.006362                 0.006360                 0.006365
                 0.110112                 0.007001                 0.006998                 0.007003
                 0.120122                 0.007639                 0.007636                 0.007642
                 0.130133                 0.008278                 0.008275                 0.008281
                 0.140143                 0.008918                 0.008915                 0.008921
                 0.150153                 0.009559                 0.009555                 0.009562
                 0.160163                 0.010200                 0.010196                 0.010204
                 0.170173                 0.010842                 0.010838                 0.010846
                 0.180183                 0.011485                 0.011481                 0.011489
                 0.190194                 0.012129                 0.012125                 0.012133
                 0.200204                 0.012774                 0.012769                 0.012778
                 0.210214                 0.013419                 0.013414                 0.013424
                 0.220224                 0.014066                 0.014061                 0.014071
                 0.230234                 0.014714                 0.014709                 0.014719
                 0.240245                 0.015363                 0.015357                 0.015368
                 0.250255                 0.016013                 0.016007                 0.016018
                 0.260265                 0.016664                 0.016658                 0.016670
                 0.270275                 0.017317                 0.017311                 0.017323
                 0.280285                 0.017971                 0.017965                 0.017977
                 0.290296                 0.018627                 0.018620                 0.018633
                 0.300306                 0.019284                 0.019277                 0.019290
                 0.310316                 0.019942                 0.019935                 0.019949
                 0.320326                 0.020602                 0.020595                 0.020609
                 0.330336                 0.021264                 0.021256                 0.021271
                 0.340347                 0.021927                 0.021919                 0.021934
                 0.350357                 0.022592                 0.022584                 0.022600
                 0.360367                 0.023259                 0.023250                 0.023267
                 0.370377                 0.023927                 0.023919                 0.023935
                 0.380387                 0.024598                 0.024589                 0.024606
                 0.390398                 0.025270                 0.025261                 0.025279
                 0.400408                 0.025944                 0.025935                 0.025953
                 0.410418                 0.026621                 0.026612                 0.026630
                 0.420428                 0.027300                 0.027290                 0.027309
                 0.430438                 0.027980                 0.027971                 0.027990
                 0.440449                 0.028663                 0.028653                 0.028673
                 0.450459                 0.029349                 0.029338                 0.029359
                 0.460469                 0.030036                 0.030026                 0.030047
                 0.470479                 0.030727                 0.030716                 0.030737
                 0.480489                 0.031419                 0.031408                 0.031430
                 0.490499                 0.032114                 0.032103                 0.032126
                 0.500510                 0.032812                 0.032801                 0.032824
                 0.510520                 0.033512                 0.033501                 0.033524
                 0.520530                 0.034216                 0.034204                 0.034228
                 0.530540                 0.034921                 0.034909                 0.034934
                 0.540550                 0.035630                 0.035618                 0.035643
                 0.550561                 0.036342                 0.036329                 0.036355
                 0.560571                 0.037057                 0.037044                 0.037070
                 0.570581                 0.037774                 0.037761                 0.037788
