# Imaginary part of diagonal electron self-energy Im[sigma(ibnd, jbnd, ik)] in Ry
#   ik  ibnd  jbnd       Total          DW   Total_Fan   Upper_Fan   Lower_Fan
     1     1     1   0.0001030   0.0000000   0.0001030   0.0000000   0.0001030
     1     2     1   0.0000000   0.0000000   0.0000000  -0.0000012   0.0000012
     1     3     1  -0.0000000  -0.0000000  -0.0000000   0.0000001  -0.0000001
     1     4     1   0.0000000   0.0000000  -0.0000000   0.0000008  -0.0000008
     1     5     1   0.0000000   0.0000000   0.0000000   0.0000000  -0.0000000
     1     6     1  -0.0000000  -0.0000000  -0.0000000   0.0000000  -0.0000000
     1     7     1   0.0000000   0.0000000   0.0000000  -0.0000000   0.0000000
     1     8     1   0.0000000   0.0000000  -0.0000000  -0.0000032   0.0000032
     1     1     2   0.0000000  -0.0000000   0.0000000   0.0000012  -0.0000012
     1     2     2  -0.0006081   0.0000000  -0.0006081   0.0000000  -0.0006081
     1     3     2   0.0000000  -0.0000000   0.0000000   0.0000097  -0.0000097
     1     4     2  -0.0000001  -0.0000000  -0.0000001  -0.0000345   0.0000344
     1     5     2  -0.0000000  -0.0000000  -0.0000000  -0.0000274   0.0000274
     1     6     2   0.0000000  -0.0000000   0.0000000   0.0000565  -0.0000565
     1     7     2   0.0000001   0.0000000   0.0000001   0.0000451  -0.0000450
     1     8     2   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000
     1     1     3  -0.0000000   0.0000000  -0.0000000  -0.0000001   0.0000001
     1     2     3  -0.0000000   0.0000000  -0.0000000  -0.0000097   0.0000097
     1     3     3  -0.0006081   0.0000000  -0.0006081   0.0000000  -0.0006081
     1     4     3  -0.0000001   0.0000000  -0.0000001  -0.0000164   0.0000163
     1     5     3  -0.0000001  -0.0000000  -0.0000001   0.0000379  -0.0000379
     1     6     3  -0.0000002   0.0000000  -0.0000002  -0.0000250   0.0000248
     1     7     3   0.0000003   0.0000000   0.0000003   0.0000470  -0.0000467
     1     8     3  -0.0000000  -0.0000000  -0.0000000  -0.0000000  -0.0000000
