# Real part of diagonal electron self-energy Re[sigma(ibnd, jbnd, ik)] in Ry
#   ik  ibnd  jbnd       Total          DW   Total_Fan   Upper_Fan   Lower_Fan
     1     1     1  -0.0042216   0.0043668  -0.0085885  -0.0033173  -0.0052712
     1     2     1  -0.0000000  -0.0000000  -0.0000000  -0.0000011   0.0000011
     1     3     1   0.0000000  -0.0000000   0.0000000   0.0000013  -0.0000013
     1     4     1   0.0000000   0.0000000   0.0000000   0.0000006  -0.0000006
     1     5     1  -0.0000000  -0.0000000  -0.0000000  -0.0000000  -0.0000000
     1     6     1  -0.0000000  -0.0000000  -0.0000000   0.0000000  -0.0000000
     1     7     1  -0.0000000   0.0000000  -0.0000000   0.0000000  -0.0000000
     1     8     1  -0.0000000  -0.0000000  -0.0000000  -0.0000031   0.0000030
     1     1     2   0.0000000  -0.0000000   0.0000000  -0.0000011   0.0000011
     1     2     2   0.0087996   0.0827887  -0.0739891  -0.0692129  -0.0047763
     1     3     2   0.0000000   0.0000000   0.0000000  -0.0000026   0.0000027
     1     4     2  -0.0000001  -0.0000000  -0.0000001  -0.0000065   0.0000064
     1     5     2  -0.0000002   0.0000000  -0.0000002  -0.0000177   0.0000175
     1     6     2   0.0000003   0.0000000   0.0000003   0.0000468  -0.0000465
     1     7     2   0.0000002   0.0000000   0.0000002   0.0000034  -0.0000032
     1     8     2  -0.0000000  -0.0000000  -0.0000000  -0.0000000  -0.0000000
     1     1     3   0.0000000  -0.0000000   0.0000000   0.0000013  -0.0000013
     1     2     3  -0.0000000   0.0000000  -0.0000000  -0.0000026   0.0000026
     1     3     3   0.0087996   0.0827887  -0.0739891  -0.0692087  -0.0047804
     1     4     3  -0.0000001  -0.0000000  -0.0000001   0.0000011  -0.0000012
     1     5     3   0.0000003   0.0000000   0.0000003   0.0000577  -0.0000574
     1     6     3  -0.0000000   0.0000000  -0.0000000   0.0000149  -0.0000149
     1     7     3   0.0000001  -0.0000000   0.0000001  -0.0000426   0.0000426
     1     8     3   0.0000000  -0.0000000   0.0000000  -0.0000000   0.0000000
     1     1     4  -0.0000000   0.0000000  -0.0000000   0.0000006  -0.0000006
     1     2     4   0.0000001  -0.0000000   0.0000001  -0.0000065   0.0000066
     1     3     4   0.0000000  -0.0000000   0.0000000   0.0000011  -0.0000011
     1     4     4   0.0087997   0.0827887  -0.0739890  -0.0691677  -0.0048212
     1     5     4   0.0000001  -0.0000000   0.0000001   0.0000246  -0.0000245
     1     6     4   0.0000001   0.0000000   0.0000001   0.0000085  -0.0000084
     1     7     4  -0.0000004  -0.0000000  -0.0000004  -0.0000203   0.0000199
     1     8     4  -0.0000000  -0.0000000  -0.0000000  -0.0000000  -0.0000000
     1     1     5  -0.0000000  -0.0000000  -0.0000000  -0.0000000  -0.0000000
     1     2     5   0.0000000   0.0000000  -0.0000000  -0.0000177   0.0000177
     1     3     5   0.0000000   0.0000000   0.0000000   0.0000577  -0.0000577
     1     4     5   0.0000001  -0.0000000   0.0000001   0.0000246  -0.0000245
     1     5     5  -0.0173538   0.0742103  -0.0915641  -0.0646545  -0.0269095
     1     6     5  -0.0000002  -0.0000000  -0.0000001  -0.0000273   0.0000271
     1     7     5  -0.0000001   0.0000000  -0.0000001  -0.0000316   0.0000315
     1     8     5  -0.0000001  -0.0000000  -0.0000001  -0.0000056   0.0000055
     1     1     6  -0.0000000  -0.0000000  -0.0000000   0.0000000  -0.0000000
     1     2     6  -0.0000001   0.0000000  -0.0000001   0.0000468  -0.0000469
     1     3     6   0.0000001   0.0000000   0.0000001   0.0000149  -0.0000148
     1     4     6  -0.0000001   0.0000000  -0.0000001   0.0000085  -0.0000086
