# Imaginary part of diagonal electron self-energy Im[sigma(ibnd, jbnd, ik)] in Ry
#   ik  ibnd  jbnd       Total          DW   Total_Fan   Upper_Fan   Lower_Fan
     1     1     1   0.0001389   0.0000000   0.0001389   0.0000000   0.0001389
     1     2     1   0.0000184   0.0000000   0.0000184   0.0000000   0.0000184
     1     3     1   0.0000159   0.0000000   0.0000159   0.0000000   0.0000159
     1     4     1  -0.0000164   0.0000000  -0.0000164   0.0000000  -0.0000164
     1     5     1   0.0000000   0.0000000   0.0000000   0.0000000   0.0000000
     1     6     1  -0.0000011   0.0000000  -0.0000011   0.0000000  -0.0000011
     1     7     1   0.0000002   0.0000000   0.0000002   0.0000000   0.0000002
     1     8     1   0.0000068   0.0000000   0.0000068   0.0000000   0.0000068
     1     1     2  -0.0000182   0.0000000  -0.0000182   0.0000000  -0.0000182
     1     2     2  -0.0006563   0.0000000  -0.0006563   0.0000000  -0.0006563
     1     3     2   0.0000056   0.0000000   0.0000056   0.0000000   0.0000056
     1     4     2   0.0000257   0.0000000   0.0000257   0.0000000   0.0000257
     1     5     2  -0.0000052   0.0000000  -0.0000052   0.0000000  -0.0000052
     1     6     2   0.0000457   0.0000000   0.0000457   0.0000000   0.0000457
     1     7     2   0.0000235   0.0000000   0.0000235   0.0000000   0.0000235
     1     8     2  -0.0000017   0.0000000  -0.0000017   0.0000000  -0.0000017
     1     1     3  -0.0000154   0.0000000  -0.0000154   0.0000000  -0.0000154
     1     2     3  -0.0000054   0.0000000  -0.0000054   0.0000000  -0.0000054
     1     3     3  -0.0006562   0.0000000  -0.0006562   0.0000000  -0.0006562
     1     4     3   0.0000231   0.0000000   0.0000231   0.0000000   0.0000231
     1     5     3   0.0000785   0.0000000   0.0000785   0.0000000   0.0000785
     1     6     3  -0.0000908   0.0000000  -0.0000908   0.0000000  -0.0000908
     1     7     3  -0.0000246   0.0000000  -0.0000246   0.0000000  -0.0000246
     1     8     3  -0.0000002   0.0000000  -0.0000002   0.0000000  -0.0000002
     1     1     4   0.0000166   0.0000000   0.0000166   0.0000000   0.0000166
     1     2     4  -0.0000258   0.0000000  -0.0000258   0.0000000  -0.0000258
     1     3     4  -0.0000230   0.0000000  -0.0000230   0.0000000  -0.0000230
     1     4     4  -0.0006564   0.0000000  -0.0006564   0.0000000  -0.0006564
     1     5     4   0.0000147   0.0000000   0.0000147   0.0000000   0.0000147
     1     6     4  -0.0000051   0.0000000  -0.0000051   0.0000000  -0.0000051
     1     7     4   0.0001109   0.0000000   0.0001109   0.0000000   0.0001109
     1     8     4  -0.0000028   0.0000000  -0.0000028   0.0000000  -0.0000028
     1     1     5   0.0000002   0.0000000   0.0000002   0.0000000   0.0000002
     1     2     5   0.0000045   0.0000000   0.0000045   0.0000000   0.0000045
     1     3     5  -0.0000785   0.0000000  -0.0000785   0.0000000  -0.0000785
     1     4     5  -0.0000144   0.0000000  -0.0000144   0.0000000  -0.0000144
     1     5     5  -0.0041057   0.0000000  -0.0041057   0.0000000  -0.0041057
     1     6     5   0.0000136   0.0000000   0.0000136   0.0000000   0.0000136
     1     7     5   0.0000212   0.0000000   0.0000212   0.0000000   0.0000212
     1     8     5  -0.0000106   0.0000000  -0.0000106   0.0000000  -0.0000106
     1     1     6   0.0000010   0.0000000   0.0000010   0.0000000   0.0000010
