# Real part of diagonal electron self-energy Re[sigma(ibnd, jbnd, ik)] in Ry
#   ik  ibnd  jbnd       Total          DW   Total_Fan   Upper_Fan   Lower_Fan
     1     1     1  -0.0055604   0.0000000  -0.0055604   0.0000000  -0.0055604
     1     2     1   0.0000007   0.0000000   0.0000007   0.0000000   0.0000007
     1     3     1  -0.0000266   0.0000000  -0.0000266   0.0000000  -0.0000266
     1     4     1  -0.0000097   0.0000000  -0.0000097   0.0000000  -0.0000097
     1     5     1  -0.0000000   0.0000000  -0.0000000   0.0000000  -0.0000000
     1     6     1   0.0000047   0.0000000   0.0000047   0.0000000   0.0000047
     1     7     1  -0.0000063   0.0000000  -0.0000063   0.0000000  -0.0000063
     1     8     1  -0.0000011   0.0000000  -0.0000011   0.0000000  -0.0000011
     1     1     2   0.0000004   0.0000000   0.0000004   0.0000000   0.0000004
     1     2     2  -0.0053251   0.0000000  -0.0053251   0.0000000  -0.0053251
     1     3     2   0.0000518   0.0000000   0.0000518   0.0000000   0.0000518
     1     4     2  -0.0000145   0.0000000  -0.0000145   0.0000000  -0.0000145
     1     5     2  -0.0000805   0.0000000  -0.0000805   0.0000000  -0.0000805
     1     6     2  -0.0000201   0.0000000  -0.0000201   0.0000000  -0.0000201
     1     7     2  -0.0000028   0.0000000  -0.0000028   0.0000000  -0.0000028
     1     8     2  -0.0000018   0.0000000  -0.0000018   0.0000000  -0.0000018
     1     1     3  -0.0000270   0.0000000  -0.0000270   0.0000000  -0.0000270
     1     2     3   0.0000518   0.0000000   0.0000518   0.0000000   0.0000518
     1     3     3  -0.0052536   0.0000000  -0.0052536   0.0000000  -0.0052536
     1     4     3   0.0000098   0.0000000   0.0000098   0.0000000   0.0000098
     1     5     3  -0.0000113   0.0000000  -0.0000113   0.0000000  -0.0000113
     1     6     3   0.0000045   0.0000000   0.0000045   0.0000000   0.0000045
     1     7     3   0.0000230   0.0000000   0.0000230   0.0000000   0.0000230
     1     8     3   0.0000013   0.0000000   0.0000013   0.0000000   0.0000013
     1     1     4  -0.0000095   0.0000000  -0.0000095   0.0000000  -0.0000095
     1     2     4  -0.0000144   0.0000000  -0.0000144   0.0000000  -0.0000144
     1     3     4   0.0000099   0.0000000   0.0000099   0.0000000   0.0000099
     1     4     4  -0.0053591   0.0000000  -0.0053591   0.0000000  -0.0053591
     1     5     4   0.0000535   0.0000000   0.0000535   0.0000000   0.0000535
     1     6     4   0.0000230   0.0000000   0.0000230   0.0000000   0.0000230
     1     7     4   0.0000630   0.0000000   0.0000630   0.0000000   0.0000630
     1     8     4   0.0000051   0.0000000   0.0000051   0.0000000   0.0000051
     1     1     5   0.0000004   0.0000000   0.0000004   0.0000000   0.0000004
     1     2     5  -0.0000807   0.0000000  -0.0000807   0.0000000  -0.0000807
     1     3     5  -0.0000108   0.0000000  -0.0000108   0.0000000  -0.0000108
     1     4     5   0.0000537   0.0000000   0.0000537   0.0000000   0.0000537
     1     5     5  -0.0283165   0.0000000  -0.0283165   0.0000000  -0.0283165
     1     6     5   0.0000036   0.0000000   0.0000036   0.0000000   0.0000036
     1     7     5  -0.0000396   0.0000000  -0.0000396   0.0000000  -0.0000396
     1     8     5   0.0000529   0.0000000   0.0000529   0.0000000   0.0000529
     1     1     6   0.0000048   0.0000000   0.0000048   0.0000000   0.0000048
     1     2     6  -0.0000192   0.0000000  -0.0000192   0.0000000  -0.0000192
     1     3     6   0.0000037   0.0000000   0.0000037   0.0000000   0.0000037
     1     4     6   0.0000231   0.0000000   0.0000231   0.0000000   0.0000231
     1     5     6   0.0000023   0.0000000   0.0000023   0.0000000   0.0000023
     1     6     6  -0.0283944   0.0000000  -0.0283944   0.0000000  -0.0283944
     1     7     6  -0.0000052   0.0000000  -0.0000052   0.0000000  -0.0000052
     1     8     6  -0.0000109   0.0000000  -0.0000109   0.0000000  -0.0000109
     1     1     7  -0.0000064   0.0000000  -0.0000064   0.0000000  -0.0000064
     1     2     7  -0.0000026   0.0000000  -0.0000026   0.0000000  -0.0000026
     1     3     7   0.0000227   0.0000000   0.0000227   0.0000000   0.0000227
     1     4     7   0.0000641   0.0000000   0.0000641   0.0000000   0.0000641
     1     5     7  -0.0000410   0.0000000  -0.0000410   0.0000000  -0.0000410
     1     6     7  -0.0000055   0.0000000  -0.0000055   0.0000000  -0.0000055
     1     7     7  -0.0284120   0.0000000  -0.0284120   0.0000000  -0.0284120
     1     8     7  -0.0000118   0.0000000  -0.0000118   0.0000000  -0.0000118
     1     1     8   0.0000013   0.0000000   0.0000013   0.0000000   0.0000013
     1     2     8  -0.0000017   0.0000000  -0.0000017   0.0000000  -0.0000017
     1     3     8   0.0000012   0.0000000   0.0000012   0.0000000   0.0000012
     1     4     8   0.0000044   0.0000000   0.0000044   0.0000000   0.0000044
     1     5     8  -0.0000481   0.0000000  -0.0000481   0.0000000  -0.0000481
     1     6     8  -0.0000101   0.0000000  -0.0000101   0.0000000  -0.0000101
     1     7     8   0.0000167   0.0000000   0.0000167   0.0000000   0.0000167
     1     8     8   0.0209346   0.0000000   0.0209346   0.0000000   0.0209346
     2     1     1  -0.0085734   0.0000000  -0.0085734   0.0000000  -0.0085734
     2     2     1   0.0000285   0.0000000   0.0000285   0.0000000   0.0000285
     2     3     1   0.0000333   0.0000000   0.0000333   0.0000000   0.0000333
     2     4     1  -0.0000107   0.0000000  -0.0000107   0.0000000  -0.0000107
     2     5     1  -0.0041203   0.0000000  -0.0041203   0.0000000  -0.0041203
     2     6     1  -0.0000257   0.0000000  -0.0000257   0.0000000  -0.0000257
     2     7     1   0.0000051   0.0000000   0.0000051   0.0000000   0.0000051
     2     8     1  -0.0000165   0.0000000  -0.0000165   0.0000000  -0.0000165
     2     1     2  -0.0000053   0.0000000  -0.0000053   0.0000000  -0.0000053
     2     2     2  -0.0081975   0.0000000  -0.0081975   0.0000000  -0.0081975
     2     3     2  -0.0000190   0.0000000  -0.0000190   0.0000000  -0.0000190
     2     4     2   0.0000089   0.0000000   0.0000089   0.0000000   0.0000089
     2     5     2  -0.0000022   0.0000000  -0.0000022   0.0000000  -0.0000022
     2     6     2   0.0022445   0.0000000   0.0022445   0.0000000   0.0022445
     2     7     2   0.0000076   0.0000000   0.0000076   0.0000000   0.0000076
     2     8     2  -0.0000088   0.0000000  -0.0000088   0.0000000  -0.0000088
     2     1     3  -0.0000226   0.0000000  -0.0000226   0.0000000  -0.0000226
     2     2     3   0.0000104   0.0000000   0.0000104   0.0000000   0.0000104
     2     3     3  -0.0088837   0.0000000  -0.0088837   0.0000000  -0.0088837
     2     4     3   0.0000511   0.0000000   0.0000511   0.0000000   0.0000511
     2     5     3  -0.0000290   0.0000000  -0.0000290   0.0000000  -0.0000290
     2     6     3  -0.0000442   0.0000000  -0.0000442   0.0000000  -0.0000442
     2     7     3   0.0006241   0.0000000   0.0006241   0.0000000   0.0006241
     2     8     3   0.0008351   0.0000000   0.0008351   0.0000000   0.0008351
     2     1     4  -0.0000072   0.0000000  -0.0000072   0.0000000  -0.0000072
     2     2     4  -0.0000059   0.0000000  -0.0000059   0.0000000  -0.0000059
     2     3     4  -0.0000321   0.0000000  -0.0000321   0.0000000  -0.0000321
     2     4     4  -0.0088898   0.0000000  -0.0088898   0.0000000  -0.0088898
     2     5     4  -0.0000027   0.0000000  -0.0000027   0.0000000  -0.0000027
     2     6     4   0.0000142   0.0000000   0.0000142   0.0000000   0.0000142
     2     7     4  -0.0003269   0.0000000  -0.0003269   0.0000000  -0.0003269
     2     8     4   0.0010954   0.0000000   0.0010954   0.0000000   0.0010954
     2     1     5  -0.0034021   0.0000000  -0.0034021   0.0000000  -0.0034021
     2     2     5  -0.0000010   0.0000000  -0.0000010   0.0000000  -0.0000010
     2     3     5   0.0000247   0.0000000   0.0000247   0.0000000   0.0000247
     2     4     5   0.0000064   0.0000000   0.0000064   0.0000000   0.0000064
     2     5     5  -0.0116025   0.0000000  -0.0116025   0.0000000  -0.0116025
     2     6     5   0.0000434   0.0000000   0.0000434   0.0000000   0.0000434
     2     7     5   0.0000115   0.0000000   0.0000115   0.0000000   0.0000115
     2     8     5   0.0000040   0.0000000   0.0000040   0.0000000   0.0000040
     2     1     6  -0.0000192   0.0000000  -0.0000192   0.0000000  -0.0000192
     2     2     6  -0.0068174   0.0000000  -0.0068174   0.0000000  -0.0068174
     2     3     6   0.0000314   0.0000000   0.0000314   0.0000000   0.0000314
     2     4     6   0.0000042   0.0000000   0.0000042   0.0000000   0.0000042
     2     5     6   0.0000107   0.0000000   0.0000107   0.0000000   0.0000107
     2     6     6  -0.0132831   0.0000000  -0.0132831   0.0000000  -0.0132831
     2     7     6   0.0000735   0.0000000   0.0000735   0.0000000   0.0000735
     2     8     6   0.0000479   0.0000000   0.0000479   0.0000000   0.0000479
     2     1     7   0.0000200   0.0000000   0.0000200   0.0000000   0.0000200
     2     2     7  -0.0000192   0.0000000  -0.0000192   0.0000000  -0.0000192
     2     3     7   0.0008454   0.0000000   0.0008454   0.0000000   0.0008454
     2     4     7  -0.0006864   0.0000000  -0.0006864   0.0000000  -0.0006864
     2     5     7   0.0000055   0.0000000   0.0000055   0.0000000   0.0000055
     2     6     7  -0.0000829   0.0000000  -0.0000829   0.0000000  -0.0000829
     2     7     7  -0.0062453   0.0000000  -0.0062453   0.0000000  -0.0062453
     2     8     7  -0.0000193   0.0000000  -0.0000193   0.0000000  -0.0000193
     2     1     8  -0.0000095   0.0000000  -0.0000095   0.0000000  -0.0000095
     2     2     8  -0.0000113   0.0000000  -0.0000113   0.0000000  -0.0000113
     2     3     8   0.0001934   0.0000000   0.0001934   0.0000000   0.0001934
     2     4     8   0.0003459   0.0000000   0.0003459   0.0000000   0.0003459
     2     5     8   0.0000016   0.0000000   0.0000016   0.0000000   0.0000016
     2     6     8  -0.0000405   0.0000000  -0.0000405   0.0000000  -0.0000405
     2     7     8   0.0000548   0.0000000   0.0000548   0.0000000   0.0000548
     2     8     8  -0.0063452   0.0000000  -0.0063452   0.0000000  -0.0063452
