#units:
# Ry = 2.1799e-18J = 13.606eV
# a0 = 5.2918e-11m,
# tau = 4.8378e-17s
# TIME: same as input trajectory
# J: Ry*a0/tau
# J_el: number * a0/tau
# J_cm: number * a0/tau
# STEP TIME J[1] J[2] J[3] J_el[1] J_el[2] J_el[3] J_cm1[1] J_cm1[2] J_cm1[3] J_cm2[1] J_cm2[2] J_cm2[3] 
    111  0.805488E-02 -0.192707706589E-02  0.436917885296E-02 -0.220026364615E-02 -0.149808911374E-04  0.276843365282E-02 -0.224549113773E-02 -0.120960904317E-02  0.586700443378E-02 -0.431203022011E-02  0.756005651979E-04 -0.366687777111E-03  0.269501888757E-03
    114  0.827258E-02 -0.177150426516E-02  0.468313311312E-02 -0.233542317840E-02  0.149638814037E-03  0.349469156936E-02 -0.282172625884E-02 -0.910200311321E-03  0.697488228105E-02 -0.520065252011E-02  0.568875194576E-04 -0.435930142566E-03  0.325040782507E-03
    117  0.849028E-02 -0.153478169698E-02  0.489250265436E-02 -0.226960030132E-02  0.301336200209E-03  0.410800101236E-02 -0.325361243449E-02 -0.574591698450E-03  0.792430858230E-02 -0.581462955856E-02  0.359119811531E-04 -0.495269286394E-03  0.363414347410E-03
    120  0.870798E-02 -0.131316771796E-02  0.505477824655E-02 -0.204947041718E-02  0.450545630883E-03  0.471662264317E-02 -0.361549528316E-02 -0.237023907284E-03  0.887779477118E-02 -0.625779206259E-02  0.148139942052E-04 -0.554862173199E-03  0.391112003912E-03
    123  0.892568E-02 -0.117781080928E-02  0.506720441596E-02 -0.175451423745E-02  0.570129079279E-03  0.526508130133E-02 -0.391293689609E-02  0.250035781094E-04  0.970049643214E-02 -0.658028907779E-02 -0.156272363183E-05 -0.606281027009E-03  0.411268067362E-03
    126  0.914338E-02 -0.107504271865E-02  0.493848596495E-02 -0.143810925587E-02  0.637196702883E-03  0.563896307722E-02 -0.411275867373E-02  0.202587383998E-03  0.102434115641E-01 -0.677872451517E-02 -0.126617114999E-04 -0.640213222756E-03  0.423670282198E-03
    129  0.936108E-02 -0.949417648387E-03  0.472788810898E-02 -0.107578820102E-02  0.701817101799E-03  0.594181474298E-02 -0.424140179530E-02  0.395516707792E-03  0.106618907482E-01 -0.684109416578E-02 -0.247197942370E-04 -0.666368171761E-03  0.427568385362E-03
    132  0.957878E-02 -0.850296610310E-03  0.450138380486E-02 -0.766470046633E-03  0.750284409150E-03  0.617427285761E-02 -0.429344177246E-02  0.561571824480E-03  0.109898695840E-01 -0.681310059669E-02 -0.350982390300E-04 -0.686866849000E-03  0.425818787293E-03
    135  0.979648E-02 -0.786307104518E-03  0.423027094248E-02 -0.501044463237E-03  0.764842203353E-03  0.627695862204E-02 -0.426499871537E-02  0.661104174700E-03  0.111181915158E-01 -0.668850808615E-02 -0.413190109188E-04 -0.694886969736E-03  0.418031755384E-03
    138  0.100142E-01 -0.719727084164E-03  0.397054216138E-02 -0.289897183795E-03  0.762843643315E-03  0.625428464264E-02 -0.413509877399E-02  0.738918235163E-03  0.110834778091E-01 -0.644154485815E-02 -0.461823896977E-04 -0.692717363070E-03  0.402596553635E-03
    141  0.102319E-01 -0.680722152015E-03  0.371414236714E-02 -0.138520612201E-03  0.754890788812E-03  0.618250714615E-02 -0.394829548895E-02  0.795035549309E-03  0.109650187074E-01 -0.611450958761E-02 -0.496897218318E-04 -0.685313669214E-03  0.382156849226E-03
    144  0.104496E-01 -0.654747090332E-03  0.350908079898E-02 -0.853206727152E-04  0.726292550098E-03  0.602045189589E-02 -0.370982615277E-02  0.810384924429E-03  0.107331243133E-01 -0.575951380123E-02 -0.506490577768E-04 -0.670820269581E-03  0.359969612577E-03
