#        Frequency (eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.268653458944401E-02  -.350232423602275E-09  0.372226735486379E+03  -.485256628413397E-04
     0.100000000000000E-01  0.268604474933976E-02  0.336731471768545E-04  0.372236116072023E+03  0.466647531621167E+01
     0.200000000000000E-01  0.268457521720222E-02  0.673475426790652E-04  0.372264125533541E+03  0.933893523325574E+01
     0.300000000000000E-01  0.268212595569739E-02  0.101023734505487E-03  0.372310373596150E+03  0.140232729398558E+02
     0.400000000000000E-01  0.267869690259603E-02  0.134702621146734E-03  0.372374206654123E+03  0.187254413275105E+02
     0.500000000000000E-01  0.267428797076341E-02  0.168385101482547E-03  0.372454703038750E+03  0.234514097413857E+02
     0.600000000000000E-01  0.266889904815737E-02  0.202072074911718E-03  0.372550666367261E+03  0.282071688753274E+02
     0.700000000000000E-01  0.266252999779992E-02  0.235764441482217E-03  0.372660616953916E+03  0.329987351470812E+02
     0.800000000000000E-01  0.265518065776904E-02  0.269463102021554E-03  0.372782781247663E+03  0.378321544039943E+02
     0.900000000000000E-01  0.264685084117600E-02  0.303168958267421E-03  0.372915079267534E+03  0.427135047978451E+02
     0.100000000000000E+00  0.263754033613661E-02  0.336882912998683E-03  0.373055109997843E+03  0.476488986512350E+02
     0.110000000000000E+00  0.262724890575117E-02  0.370605870166740E-03  0.373200134702850E+03  0.526444831188729E+02
     0.120000000000000E+00  0.261597628806376E-02  0.404338735027331E-03  0.373347058127231E+03  0.577064394268932E+02
     0.130000000000000E+00  0.260372219604132E-02  0.438082414272814E-03  0.373492407542327E+03  0.628409804461764E+02
     0.140000000000000E+00  0.259048631751790E-02  0.471837816164983E-03  0.373632309617427E+03  0.680543463311873E+02
     0.150000000000000E+00  0.257626831517299E-02  0.505605850668459E-03  0.373762465088725E+03  0.733527979194339E+02
     0.160000000000000E+00  0.256106782647503E-02  0.539387429584720E-03  0.373878121232127E+03  0.787426075579290E+02
     0.170000000000000E+00  0.254488446363610E-02  0.573183466686809E-03  0.373974042150807E+03  0.842300469800541E+02
     0.180000000000000E+00  0.252771781356476E-02  0.606994877854775E-03  0.374044476923396E+03  0.898213718176789E+02
     0.190000000000000E+00  0.250956743781139E-02  0.640822581211898E-03  0.374083125692381E+03  0.955228022894132E+02
     0.200000000000000E+00  0.249043287250328E-02  0.674667497261751E-03  0.374083103815761E+03  0.101340499559662E+03
     0.210000000000000E+00  0.247031362829253E-02  0.708530549026158E-03  0.374036904256186E+03  0.107280537213349E+03
     0.220000000000000E+00  0.244920919028924E-02  0.742412662184077E-03  0.373936358455376E+03  0.113348867246203E+03
     0.230000000000000E+00  0.242711901798853E-02  0.776314765211505E-03  0.373772596017797E+03  0.119551279920555E+03
     0.240000000000000E+00  0.240404254520821E-02  0.810237789522402E-03  0.373536003623776E+03  0.125893356790384E+03
     0.250000000000000E+00  0.237997918000432E-02  0.844182669610756E-03  0.373216183713575E+03  0.132380416163427E+03
     0.260000000000000E+00  0.235492830460038E-02  0.878150343193782E-03  0.372801913610469E+03  0.139017450230140E+03
     0.270000000000000E+00  0.232888927530173E-02  0.912141751356350E-03  0.372281105915917E+03  0.145809053074466E+03
     0.280000000000000E+00  0.230186142241040E-02  0.946157838696700E-03  0.371640771184847E+03  0.152759338773582E+03
     0.290000000000000E+00  0.227384405013675E-02  0.980199553473467E-03  0.370866984096435E+03  0.159871848813692E+03
     0.300000000000000E+00  0.224483643650764E-02  0.101426784775413E-02  0.369944854565244E+03  0.167149448095804E+03
     0.310000000000000E+00  0.221483783326826E-02  0.104836367756488E-02  0.368858505492105E+03  0.174594208889854E+03
     0.320000000000000E+00  0.218384746578248E-02  0.108248800304207E-02  0.367591059129779E+03  0.182207282224695E+03
     0.330000000000000E+00  0.215186453292959E-02  0.111664178858514E-02  0.366124634334050E+03  0.189988756388519E+03
     0.340000000000000E+00  0.211888820699913E-02  0.115082600301129E-02  0.364440357277215E+03  0.197937502467545E+03
     0.350000000000000E+00  0.208491763357432E-02  0.118504161971177E-02  0.362518388511132E+03  0.206051007185372E+03
     0.360000000000000E+00  0.204995193142321E-02  0.121928961681003E-02  0.360337969562535E+03  0.214325193725386E+03
     0.370000000000000E+00  0.201399019237469E-02  0.125357097732166E-02  0.357877492517285E+03  0.222754231750923E+03
     0.380000000000000E+00  0.197703148119766E-02  0.128788668931620E-02  0.355114596265208E+03  0.231330338470283E+03
     0.390000000000000E+00  0.193907483547517E-02  0.132223774608102E-02  0.352026293219486E+03  0.240043573353746E+03
     0.400000000000000E+00  0.190011926547340E-02  0.135662514628716E-02  0.348589130350697E+03  0.248881629984583E+03
     0.410000000000000E+00  0.186016375400522E-02  0.139104989415739E-02  0.344779388250506E+03  0.257829629515602E+03
     0.420000000000000E+00  0.181920725629481E-02  0.142551299963634E-02  0.340573321618920E+03  0.266869921289729E+03
     0.430000000000000E+00  0.177724869982954E-02  0.146001547856302E-02  0.335947444006925E+03  0.275981897345510E+03
     0.440000000000000E+00  0.173428698421774E-02  0.149455835284563E-02  0.330878858792055E+03  0.285141828709942E+03
     0.450000000000000E+00  0.169032098103705E-02  0.152914265063878E-02  0.325345637181269E+03  0.294322732542726E+03
     0.460000000000000E+00  0.164534953367679E-02  0.156376940652328E-02  0.319327242482420E+03  0.303494280238172E+03
     0.470000000000000E+00  0.159937145717859E-02  0.159843966168847E-02  0.312804997948056E+03  0.312622757427840E+03
     0.480000000000000E+00  0.155238553807291E-02  0.163315446411726E-02  0.305762593176106E+03  0.321671087341818E+03
     0.490000000000000E+00  0.150439053421014E-02  0.166791486877390E-02  0.298186621385893E+03  0.330598929047443E+03
     0.500000000000000E+00  0.145538517458876E-02  0.170272193779464E-02  0.290067136949823E+03  0.339362861558146E+03
     0.510000000000000E+00  0.140536815917769E-02  0.173757674068126E-02  0.281398219470934E+03  0.347916663565162E+03
     0.520000000000000E+00  0.135433815873132E-02  0.177248035449778E-02  0.272178527623421E+03  0.356211696479531E+03
     0.530000000000000E+00  0.130229381460256E-02  0.180743386407013E-02  0.262411823135637E+03  0.364197395510533E+03
     0.540000000000000E+00  0.124923373856300E-02  0.184243836218911E-02  0.252107442951597E+03  0.371821869638048E+03
