#        Frequency (eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.222381178785971E+00  -.164189116755849E-09  0.449678343041090E+01  -.332007818158071E-08
     0.100000000000000E-01  0.222380854519342E+00  0.140934459283140E-03  0.449678818133484E+01  0.284985149561120E-02
     0.200000000000000E-01  0.222379881746239E+00  0.281872132897021E-03  0.449680243342891E+01  0.569981098638011E-02
     0.300000000000000E-01  0.222378260544612E+00  0.422815905718713E-03  0.449682618473371E+01  0.854997980243839E-02
     0.400000000000000E-01  0.222375991044364E+00  0.563768824665553E-03  0.449685943198397E+01  0.114004625443133E-01
     0.500000000000000E-01  0.222373073427339E+00  0.704733933429566E-03  0.449690217060892E+01  0.142513637379604E-01
     0.600000000000000E-01  0.222369507927302E+00  0.845714271398582E-03  0.449695439473288E+01  0.171027878098174E-01
     0.700000000000000E-01  0.222365294829920E+00  0.986712872574117E-03  0.449701609717595E+01  0.199548390617809E-01
     0.800000000000000E-01  0.222360434472720E+00  0.112773276448524E-02  0.449708726945516E+01  0.228076216460902E-01
     0.900000000000000E-01  0.222354927245060E+00  0.126877696709757E-02  0.449716790178545E+01  0.256612395400950E-01
     0.100000000000000E+00  0.222348773588078E+00  0.140984849171676E-02  0.449725798308114E+01  0.285157965208947E-01
     0.110000000000000E+00  0.222341973994647E+00  0.155095033988549E-02  0.449735750095738E+01  0.313713961398236E-01
     0.120000000000000E+00  0.222334529009309E+00  0.169208550227341E-02  0.449746644173203E+01  0.342281416967730E-01
     0.130000000000000E+00  0.222326439228215E+00  0.183325695755913E-02  0.449758479042764E+01  0.370861362143258E-01
     0.140000000000000E+00  0.222317705299045E+00  0.197446767130366E-02  0.449771253077368E+01  0.399454824116887E-01
     0.150000000000000E+00  0.222308327920927E+00  0.211572059481438E-02  0.449784964520902E+01  0.428062826784073E-01
     0.160000000000000E+00  0.222298307844340E+00  0.225701866399910E-02  0.449799611488481E+01  0.456686390478476E-01
     0.170000000000000E+00  0.222287645871017E+00  0.239836479820931E-02  0.449815191966744E+01  0.485326531704235E-01
     0.180000000000000E+00  0.222276342853820E+00  0.253976189907197E-02  0.449831703814206E+01  0.513984262865658E-01
     0.190000000000000E+00  0.222264399696628E+00  0.268121284930944E-02  0.449849144761604E+01  0.542660591994019E-01
     0.200000000000000E+00  0.222251817354185E+00  0.282272051154652E-02  0.449867512412328E+01  0.571356522471550E-01
     0.210000000000000E+00  0.222238596831954E+00  0.296428772710448E-02  0.449886804242853E+01  0.600073052752282E-01
     0.220000000000000E+00  0.222224739185957E+00  0.310591731478103E-02  0.449907017603209E+01  0.628811176079716E-01
     0.230000000000000E+00  0.222210245522587E+00  0.324761206961617E-02  0.449928149717515E+01  0.657571880201243E-01
     0.240000000000000E+00  0.222195116998411E+00  0.338937476164301E-02  0.449950197684546E+01  0.686356147079140E-01
     0.250000000000000E+00  0.222179354819966E+00  0.353120813462337E-02  0.449973158478331E+01  0.715164952598045E-01
     0.260000000000000E+00  0.222162960243514E+00  0.367311490476757E-02  0.449997028948835E+01  0.743999266268937E-01
     0.270000000000000E+00  0.222145934574799E+00  0.381509775943812E-02  0.450021805822659E+01  0.772860050929372E-01
     0.280000000000000E+00  0.222128279168784E+00  0.395715935583687E-02  0.450047485703798E+01  0.801748262440022E-01
     0.290000000000000E+00  0.222109995429339E+00  0.409930231967534E-02  0.450074065074498E+01  0.830664849377549E-01
     0.300000000000000E+00  0.222091084808939E+00  0.424152924382800E-02  0.450101540296122E+01  0.859610752723552E-01
     0.310000000000000E+00  0.222071548808329E+00  0.438384268696823E-02  0.450129907610095E+01  0.888586905549690E-01
     0.320000000000000E+00  0.222051388976145E+00  0.452624517218685E-02  0.450159163138948E+01  0.917594232699094E-01
     0.330000000000000E+00  0.222030606908529E+00  0.466873918559295E-02  0.450189302887399E+01  0.946633650463817E-01
     0.340000000000000E+00  0.222009204248719E+00  0.481132717489729E-02  0.450220322743506E+01  0.975706066258450E-01
     0.350000000000000E+00  0.221987182686577E+00  0.495401154797785E-02  0.450252218479944E+01  0.100481237829015E+00
     0.360000000000000E+00  0.221964543958133E+00  0.509679467142798E-02  0.450284985755301E+01  0.103395347522464E+00
     0.370000000000000E+00  0.221941289845052E+00  0.523967886908691E-02  0.450318620115515E+01  0.106313023584883E+00
     0.380000000000000E+00  0.221917422174096E+00  0.538266642055326E-02  0.450353116995372E+01  0.109234352872969E+00
     0.390000000000000E+00  0.221892942816540E+00  0.552575955968129E-02  0.450388471720099E+01  0.112159421186967E+00
     0.400000000000000E+00  0.221867853687547E+00  0.566896047306074E-02  0.450424679507073E+01  0.115088313235888E+00
     0.410000000000000E+00  0.221842156745503E+00  0.581227129848025E-02  0.450461735467626E+01  0.118021112602403E+00
     0.420000000000000E+00  0.221815853991328E+00  0.595569412337517E-02  0.450499634608937E+01  0.120957901707423E+00
     0.430000000000000E+00  0.221788947467714E+00  0.609923098326014E-02  0.450538371836071E+01  0.123898761774419E+00
     0.440000000000000E+00  0.221761439258352E+00  0.624288386014721E-02  0.450577941954098E+01  0.126843772793455E+00
     0.450000000000000E+00  0.221733331487081E+00  0.638665468095029E-02  0.450618339670365E+01  0.129793013485005E+00
     0.460000000000000E+00  0.221704626317017E+00  0.653054531587655E-02  0.450659559596863E+01  0.132746561263543E+00
     0.470000000000000E+00  0.221675325949611E+00  0.667455757680605E-02  0.450701596252746E+01  0.135704492200957E+00
     0.480000000000000E+00  0.221645432623660E+00  0.681869321566043E-02  0.450744444066975E+01  0.138666880989815E+00
     0.490000000000000E+00  0.221614948614274E+00  0.696295392276177E-02  0.450788097381098E+01  0.141633800906509E+00
     0.500000000000000E+00  0.221583876231779E+00  0.710734132518312E-02  0.450832550452166E+01  0.144605323774314E+00
     0.510000000000000E+00  0.221552217820557E+00  0.725185698509184E-02  0.450877797455822E+01  0.147581519926426E+00
     0.520000000000000E+00  0.221519975757839E+00  0.739650239808724E-02  0.450923832489515E+01  0.150562458168983E+00
     0.530000000000000E+00  0.221487152452433E+00  0.754127899153420E-02  0.450970649575869E+01  0.153548205744142E+00
