#        Frequency (eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.157033889952874E-01  -.139791527853568E-09  0.636805214657866E+02  -.566883835895913E-06
     0.100000000000000E+00  0.155951405577536E-01  0.120153561871760E-02  0.637441524432661E+02  0.491120098353134E+01
     0.200000000000000E+00  0.152696631231043E-01  0.242279110475646E-02  0.638811094481460E+02  0.101358217588154E+02
     0.300000000000000E+00  0.147248289908705E-01  0.368471349672878E-02  0.639104853903808E+02  0.159928395940239E+02
     0.400000000000000E+00  0.139573532737860E-01  0.501082597861420E-02  0.634667224166087E+02  0.227851724624560E+02
     0.500000000000000E+00  0.129633111594780E-01  0.642882265933865E-02  0.619136722864453E+02  0.307045024547566E+02
     0.600000000000000E+00  0.117391600310550E-01  0.797253125816220E-02  0.582967203670394E+02  0.395916253075215E+02
     0.700000000000000E+00  0.102836852300381E-01  0.968431543243456E-02  0.515369231150213E+02  0.485331677019003E+02
     0.800000000000000E+00  0.860159303131480E-02  0.116177952084697E-01  0.411637138343272E+02  0.555980265058138E+02
     0.900000000000000E+00  0.670986447845134E-02  0.138402017219247E-01  0.283627095617255E+02  0.585027645454392E+02
     0.100000000000000E+01  0.464813803110165E-02  0.164323502856127E-01  0.159386232478006E+02  0.563470874844469E+02
     0.110000000000000E+01  0.249313866326195E-02  0.194818466036358E-01  0.646295889617419E+01  0.505027560946536E+02
     0.120000000000000E+01  0.372169203618267E-03  0.230632892182430E-01  0.699495408155689E+00  0.433476621608778E+02
     0.130000000000000E+01  -.153820107957636E-02  0.272043311196361E-01  -.207181397749460E+01  0.366417071281579E+02
     0.140000000000000E+01  -.304258176263295E-02  0.318546612396922E-01  -.297133872726938E+01  0.311087740510337E+02
     0.150000000000000E+01  -.397463282191257E-02  0.368871886359227E-01  -.288757095462028E+01  0.267985444883021E+02
     0.160000000000000E+01  -.422398615272024E-02  0.421320270735620E-01  -.235588650430572E+01  0.234987214429493E+02
     0.170000000000000E+01  -.372834262616539E-02  0.474058687328593E-01  -.164882129540895E+01  0.209647593398602E+02
     0.180000000000000E+01  -.245871650916896E-02  0.525138160538977E-01  -.889631812688183E+00  0.190009548449298E+02
     0.190000000000000E+01  -.424212611214170E-03  0.572380899911055E-01  -.129476053863393E+00  0.174699238702844E+02
     0.200000000000000E+01  0.230356539973664E-02  0.613383031436759E-01  0.611399305207172E+00  0.162800656447253E+02
     0.210000000000000E+01  0.556354196672526E-02  0.645766809399464E-01  0.132430578006923E+01  0.153713717516531E+02
     0.220000000000000E+01  0.909680140511793E-02  0.667655027030717E-01  0.200353122348303E+01  0.147048136328322E+02
