#        Frequency (eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.233958477631992E+00  0.172040885397053E-15  0.427426272440088E+01  0.314307030447608E-14
     0.100000000000000E-01  0.233957979152784E+00  0.537400861688383E-04  0.427427160577837E+01  0.981799061674856E-03
     0.200000000000000E-01  0.233956483717004E+00  0.107486809464006E-03  0.427429824998146E+01  0.196374417280020E-02
     0.300000000000000E-01  0.233953991330285E+00  0.161246812269318E-03  0.427434265721982E+01  0.294598149022578E-02
     0.400000000000000E-01  0.233950502002298E+00  0.215026747487624E-03  0.427440482783730E+01  0.392865738568162E-02
     0.500000000000000E-01  0.233946015747169E+00  0.268833283812856E-03  0.427448476230315E+01  0.491191855346602E-02
     0.600000000000000E-01  0.233940532584105E+00  0.322673111016633E-03  0.427458246119954E+01  0.589591211842060E-02
     0.700000000000000E-01  0.233934052538151E+00  0.376552945254411E-03  0.427469792520598E+01  0.688078574429312E-02
     0.800000000000000E-01  0.233926575641152E+00  0.430479534396019E-03  0.427483115507978E+01  0.786668774258161E-02
     0.900000000000000E-01  0.233918101932897E+00  0.484459663385325E-03  0.427498215163270E+01  0.885376718195315E-02
     0.100000000000000E+00  0.233908631462432E+00  0.538500159633711E-03  0.427515091570419E+01  0.984217399833171E-02
     0.110000000000000E+00  0.233898164289595E+00  0.592607898451982E-03  0.427533744813021E+01  0.108320591057422E-01
     0.120000000000000E+00  0.233886700486710E+00  0.646789808525188E-03  0.427554174970855E+01  0.118235745080023E-01
     0.130000000000000E+00  0.233874240140522E+00  0.701052877434781E-03  0.427576382115950E+01  0.128168734113443E-01
     0.140000000000000E+00  0.233860783354318E+00  0.755404157232320E-03  0.427600366308260E+01  0.138121103380525E-01
     0.150000000000000E+00  0.233846330250282E+00  0.809850770068881E-03  0.427626127590856E+01  0.148094412411935E-01
     0.160000000000000E+00  0.233830880972067E+00  0.864399913884030E-03  0.427653665984691E+01  0.158090236205164E-01
     0.170000000000000E+00  0.233814435687615E+00  0.919058868158130E-03  0.427682981482842E+01  0.168110166395913E-01
     0.180000000000000E+00  0.233796994592225E+00  0.973834999731423E-03  0.427714074044260E+01  0.178155812442539E-01
