#        Frequency (eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.174011269589538E+00  0.184671498429172E-14  0.574675423240588E+01  0.609881025353077E-13
     0.100000000000000E-01  0.174010772056674E+00  0.526060667130850E-04  0.574677013834497E+01  0.173733481961725E-02
     0.200000000000000E-01  0.174009279452452E+00  0.105217818283257E-03  0.574681785663141E+01  0.347491604383803E-02
     0.300000000000000E-01  0.174006791760040E+00  0.157840943828882E-03  0.574689738867046E+01  0.521299024446351E-02
     0.400000000000000E-01  0.174003308951567E+00  0.210481140986094E-03  0.574700873679730E+01  0.695180432755362E-02
     0.500000000000000E-01  0.173998830988389E+00  0.263144120181538E-03  0.574715190426649E+01  0.869160570106801E-02
     0.600000000000000E-01  0.173993357821491E+00  0.315835608916579E-03  0.574732689523685E+01  0.104326424429494E-01
     0.700000000000000E-01  0.173986889391968E+00  0.368561356069240E-03  0.574753371475246E+01  0.121751634698783E-01
     0.800000000000000E-01  0.173979425631646E+00  0.421327136218294E-03  0.574777236871900E+01  0.139194187068665E-01
     0.900000000000000E-01  0.173970966463815E+00  0.474138753993901E-03  0.574804286387541E+01  0.156656592578526E-01
     0.100000000000000E+00  0.173961511804063E+00  0.527002048459194E-03  0.574834520776146E+01  0.174141375774715E-01
     0.110000000000000E+00  0.173951061561264E+00  0.579922897527181E-03  0.574867940867987E+01  0.191651076441539E-01
     0.120000000000000E+00  0.173939615638666E+00  0.632907222417298E-03  0.574904547565411E+01  0.209188251347276E-01
     0.130000000000000E+00  0.173927173935123E+00  0.685960992155935E-03  0.574944341838082E+01  0.226755476006758E-01
     0.140000000000000E+00  0.173913736346464E+00  0.739090228125239E-03  0.574987324717697E+01  0.244355346462180E-01
     0.150000000000000E+00  0.173899302766992E+00  0.792301008664400E-03  0.575033497292183E+01  0.261990481083683E-01
     0.160000000000000E+00  0.173883873091142E+00  0.845599473727619E-03  0.575082860699291E+01  0.279663522391294E-01
     0.170000000000000E+00  0.173867447215285E+00  0.898991829602912E-03  0.575135416119617E+01  0.297377138899727E-01
     0.180000000000000E+00  0.173850025039690E+00  0.952484353695771E-03  0.575191164769004E+01  0.315134026987598E-01
     0.190000000000000E+00  0.173831606470665E+00  0.100608339938169E-02  0.575250107890274E+01  0.332936912792435E-01
     0.200000000000000E+00  0.173812191422860E+00  0.105979540093138E-02  0.575312246744303E+01  0.350788554132989E-01
     0.210000000000000E+00  0.173791779821755E+00  0.111362687851256E-02  0.575377582600370E+01  0.368691742460161E-01
     0.220000000000000E+00  0.173770371606365E+00  0.116758444327175E-02  0.575446116725712E+01  0.386649304837806E-01
     0.230000000000000E+00  0.173747966732115E+00  0.122167480249975E-02  0.575517850374362E+01  0.404664105954813E-01
     0.240000000000000E+00  0.173724565173951E+00  0.127590476488395E-02  0.575592784775090E+01  0.422739050169444E-01
     0.250000000000000E+00  0.173700166929680E+00  0.133028124585068E-02  0.575670921118464E+01  0.440877083587090E-01
     0.260000000000000E+00  0.173674772023545E+00  0.138481127300041E-02  0.575752260542982E+01  0.459081196172407E-01
     0.270000000000000E+00  0.173648380510043E+00  0.143950199163829E-02  0.575836804120254E+01  0.477354423896739E-01
     0.280000000000000E+00  0.173620992478033E+00  0.149436067040253E-02  0.575924552839058E+01  0.495699850921393E-01
     0.290000000000000E+00  0.173592608055112E+00  0.154939470699240E-02  0.576015507588363E+01  0.514120611817532E-01
     0.300000000000000E+00  0.173563227412294E+00  0.160461163399739E-02  0.576109669139145E+01  0.532619893822960E-01
     0.310000000000000E+00  0.173532850769009E+00  0.166001912482874E-02  0.576207038124974E+01  0.551200939136071E-01
     0.320000000000000E+00  0.173501478398444E+00  0.171562499975372E-02  0.576307615021272E+01  0.569867047246905E-01
     0.330000000000000E+00  0.173469110633222E+00  0.177143723203300E-02  0.576411400123211E+01  0.588621577305170E-01
     0.340000000000000E+00  0.173435747871492E+00  0.182746395415999E-02  0.576518393522068E+01  0.607467950524506E-01
     0.350000000000000E+00  0.173401390583383E+00  0.188371346420136E-02  0.576628595080103E+01  0.626409652622470E-01
     0.360000000000000E+00  0.173366039317906E+00  0.194019423223603E-02  0.576742004403720E+01  0.645450236294789E-01
     0.370000000000000E+00  0.173329694710308E+00  0.199691490688988E-02  0.576858620814858E+01  0.664593323722402E-01
     0.380000000000000E+00  0.173292357489885E+00  0.205388432196198E-02  0.576978443320565E+01  0.683842609109468E-01
     0.390000000000000E+00  0.173254028488324E+00  0.211111150313691E-02  0.577101470580553E+01  0.703201861249612E-01
     0.400000000000000E+00  0.173214708648565E+00  0.216860567477688E-02  0.577227700872678E+01  0.722674926117637E-01
     0.410000000000000E+00  0.173174399034240E+00  0.222637626678547E-02  0.577357132056186E+01  0.742265729482953E-01
     0.420000000000000E+00  0.173133100839717E+00  0.228443292153349E-02  0.577489761532597E+01  0.761978279540497E-01
     0.430000000000000E+00  0.173090815400771E+00  0.234278550083558E-02  0.577625586204139E+01  0.781816669554315E-01
     0.440000000000000E+00  0.173047544205957E+00  0.240144409296434E-02  0.577764602429441E+01  0.801785080507550E-01
     0.450000000000000E+00  0.173003288908671E+00  0.246041901968630E-02  0.577906805976548E+01  0.821887783752756E-01
     0.460000000000000E+00  0.172958051339994E+00  0.251972084330199E-02  0.578052191972869E+01  0.842129143654175E-01
     0.470000000000000E+00  0.172911833522334E+00  0.257936037366939E-02  0.578200754852033E+01  0.862513620213524E-01
     0.480000000000000E+00  0.172864637683908E+00  0.263934867518713E-02  0.578352488297444E+01  0.883045771669205E-01
     0.490000000000000E+00  0.172816466274147E+00  0.269969707371065E-02  0.578507385182267E+01  0.903730257057227E-01
     0.500000000000000E+00  0.172767321980029E+00  0.276041716337077E-02  0.578665437505785E+01  0.924571838721372E-01
     0.510000000000000E+00  0.172717207743448E+00  0.282152081326013E-02  0.578826636325739E+01  0.945575384757441E-01
