#       Energy(Ry)            Total                 X                  Y                   Z
      0.40000000E+00      0.14265145E+00      0.71386307E-01      0.71265124E-01      0.15269824E-07
      0.40020000E+00      0.14333400E+00      0.71727851E-01      0.71606137E-01      0.15342020E-07
      0.40040000E+00      0.14402110E+00      0.72071669E-01      0.71949420E-01      0.15414690E-07
      0.40060000E+00      0.14471279E+00      0.72417781E-01      0.72294993E-01      0.15487839E-07
      0.40080000E+00      0.14540910E+00      0.72766206E-01      0.72642876E-01      0.15561471E-07
      0.40100000E+00      0.14611007E+00      0.73116965E-01      0.72993090E-01      0.15635589E-07
      0.40120000E+00      0.14681575E+00      0.73470078E-01      0.73345655E-01      0.15710199E-07
      0.40140000E+00      0.14752617E+00      0.73825567E-01      0.73700592E-01      0.15785303E-07
      0.40160000E+00      0.14824139E+00      0.74183451E-01      0.74057921E-01      0.15860908E-07
      0.40180000E+00      0.14896143E+00      0.74543753E-01      0.74417664E-01      0.15937017E-07
      0.40200000E+00      0.14968635E+00      0.74906493E-01      0.74779843E-01      0.16013634E-07
      0.40220000E+00      0.15041619E+00      0.75271693E-01      0.75144478E-01      0.16090764E-07
      0.40240000E+00      0.15115098E+00      0.75639376E-01      0.75511592E-01      0.16168411E-07
      0.40260000E+00      0.15189079E+00      0.76009563E-01      0.75881207E-01      0.16246580E-07
      0.40280000E+00      0.15263564E+00      0.76382277E-01      0.76253345E-01      0.16325276E-07
      0.40300000E+00      0.15338559E+00      0.76757540E-01      0.76628029E-01      0.16404503E-07
      0.40320000E+00      0.15414067E+00      0.77135375E-01      0.77005281E-01      0.16484266E-07
      0.40340000E+00      0.15490095E+00      0.77515806E-01      0.77385126E-01      0.16564569E-07
      0.40360000E+00      0.15566646E+00      0.77898855E-01      0.77767585E-01      0.16645418E-07
      0.40380000E+00      0.15643725E+00      0.78284547E-01      0.78152683E-01      0.16726818E-07
      0.40400000E+00      0.15721337E+00      0.78672905E-01      0.78540444E-01      0.16808772E-07
      0.40420000E+00      0.15799486E+00      0.79063953E-01      0.78930892E-01      0.16891287E-07
      0.40440000E+00      0.15878178E+00      0.79457717E-01      0.79324050E-01      0.16974367E-07
      0.40460000E+00      0.15957418E+00      0.79854220E-01      0.79719945E-01      0.17058018E-07
      0.40480000E+00      0.16037211E+00      0.80253488E-01      0.80118601E-01      0.17142244E-07
      0.40500000E+00      0.16117561E+00      0.80655547E-01      0.80520043E-01      0.17227050E-07
      0.40520000E+00      0.16198473E+00      0.81060421E-01      0.80924297E-01      0.17312443E-07
      0.40540000E+00      0.16279954E+00      0.81468136E-01      0.81331388E-01      0.17398426E-07
      0.40560000E+00      0.16362008E+00      0.81878719E-01      0.81741344E-01      0.17485007E-07
      0.40580000E+00      0.16444640E+00      0.82292197E-01      0.82154189E-01      0.17572189E-07
      0.40600000E+00      0.16527856E+00      0.82708595E-01      0.82569952E-01      0.17659979E-07
      0.40620000E+00      0.16611662E+00      0.83127942E-01      0.82988659E-01      0.17748382E-07
      0.40640000E+00      0.16696062E+00      0.83550264E-01      0.83410337E-01      0.17837404E-07
      0.40660000E+00      0.16781062E+00      0.83975589E-01      0.83835014E-01      0.17927050E-07
      0.40680000E+00      0.16866668E+00      0.84403946E-01      0.84262719E-01      0.18017326E-07
      0.40700000E+00      0.16952886E+00      0.84835362E-01      0.84693479E-01      0.18108238E-07
      0.40720000E+00      0.17039721E+00      0.85269867E-01      0.85127323E-01      0.18199792E-07
      0.40740000E+00      0.17127179E+00      0.85707489E-01      0.85564280E-01      0.18291994E-07
      0.40760000E+00      0.17215266E+00      0.86148258E-01      0.86004380E-01      0.18384850E-07
      0.40780000E+00      0.17303987E+00      0.86592203E-01      0.86447652E-01      0.18478365E-07
      0.40800000E+00      0.17393350E+00      0.87039355E-01      0.86894127E-01      0.18572547E-07
      0.40820000E+00      0.17483360E+00      0.87489744E-01      0.87343834E-01      0.18667401E-07
      0.40840000E+00      0.17574022E+00      0.87943401E-01      0.87796805E-01      0.18762934E-07
      0.40860000E+00      0.17665345E+00      0.88400357E-01      0.88253070E-01      0.18859151E-07
      0.40880000E+00      0.17757332E+00      0.88860643E-01      0.88712661E-01      0.18956060E-07
      0.40900000E+00      0.17849992E+00      0.89324292E-01      0.89175610E-01      0.19053667E-07
      0.40920000E+00      0.17943330E+00      0.89791336E-01      0.89641949E-01      0.19151979E-07
      0.40940000E+00      0.18037354E+00      0.90261806E-01      0.90111710E-01      0.19251001E-07
      0.40960000E+00      0.18132068E+00      0.90735737E-01      0.90584928E-01      0.19350742E-07
      0.40980000E+00      0.18227482E+00      0.91213162E-01      0.91061634E-01      0.19451208E-07
      0.41000000E+00      0.18323600E+00      0.91694114E-01      0.91541864E-01      0.19552405E-07
