#       Energy(Ry)            Total                 X                  Y                   Z
      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00
      0.20000000E-03      0.42832770E-06      0.14256538E-06      0.14290718E-06      0.14285513E-06
      0.40000000E-03      0.85717039E-06      0.28530217E-06      0.28598619E-06      0.28588203E-06
      0.60000000E-03      0.12865288E-05      0.42821061E-06      0.42923725E-06      0.42908092E-06
      0.80000000E-03      0.17164036E-05      0.57129093E-06      0.57266059E-06      0.57245204E-06
      0.10000000E-02      0.21467955E-05      0.71454337E-06      0.71625646E-06      0.71599563E-06
      0.12000000E-02      0.25777051E-05      0.85796815E-06      0.86002509E-06      0.85971191E-06
      0.14000000E-02      0.30091333E-05      0.10015655E-05      0.10039667E-05      0.10036011E-05
      0.16000000E-02      0.34410808E-05      0.11453357E-05      0.11480816E-05      0.11476635E-05
      0.18000000E-02      0.38735481E-05      0.12892789E-05      0.12923699E-05      0.12918993E-05
      0.20000000E-02      0.43065361E-05      0.14333955E-05      0.14368319E-05      0.14363087E-05
      0.22000000E-02      0.47400454E-05      0.15776855E-05      0.15814678E-05      0.15808920E-05
      0.24000000E-02      0.51740767E-05      0.17221493E-05      0.17262779E-05      0.17256495E-05
      0.26000000E-02      0.56086308E-05      0.18667871E-05      0.18712625E-05      0.18705812E-05
      0.28000000E-02      0.60437084E-05      0.20115992E-05      0.20164216E-05      0.20156876E-05
      0.30000000E-02      0.64793102E-05      0.21565857E-05      0.21617557E-05      0.21609688E-05
      0.32000000E-02      0.69154368E-05      0.23017469E-05      0.23072649E-05      0.23064251E-05
      0.34000000E-02      0.73520891E-05      0.24470831E-05      0.24529494E-05      0.24520566E-05
      0.36000000E-02      0.77892677E-05      0.25925944E-05      0.25988096E-05      0.25978637E-05
      0.38000000E-02      0.82269734E-05      0.27382812E-05      0.27448456E-05      0.27438466E-05
      0.40000000E-02      0.86652069E-05      0.28841437E-05      0.28910577E-05      0.28900055E-05
      0.42000000E-02      0.91039688E-05      0.30301820E-05      0.30374461E-05      0.30363407E-05
      0.44000000E-02      0.95432599E-05      0.31763965E-05      0.31840110E-05      0.31828524E-05
      0.46000000E-02      0.99830810E-05      0.33227874E-05      0.33307528E-05      0.33295408E-05
      0.48000000E-02      0.10423433E-04      0.34693549E-05      0.34776716E-05      0.34764062E-05
      0.50000000E-02      0.10864316E-04      0.36160993E-05      0.36247677E-05      0.36234489E-05
      0.52000000E-02      0.11305731E-04      0.37630208E-05      0.37720414E-05      0.37706690E-05
      0.54000000E-02      0.11747679E-04      0.39101197E-05      0.39194928E-05      0.39180668E-05
      0.56000000E-02      0.12190161E-04      0.40573961E-05      0.40671222E-05      0.40656426E-05
      0.58000000E-02      0.12633177E-04      0.42048504E-05      0.42149299E-05      0.42133966E-05
      0.60000000E-02      0.13076728E-04      0.43524828E-05      0.43629161E-05      0.43613290E-05
      0.62000000E-02      0.13520815E-04      0.45002935E-05      0.45110811E-05      0.45094402E-05
      0.64000000E-02      0.13965438E-04      0.46482828E-05      0.46594250E-05      0.46577302E-05
      0.66000000E-02      0.14410598E-04      0.47964509E-05      0.48079482E-05      0.48061994E-05
      0.68000000E-02      0.14856297E-04      0.49447980E-05      0.49566508E-05      0.49548481E-05
      0.70000000E-02      0.15302534E-04      0.50933245E-05      0.51055332E-05      0.51036764E-05
      0.72000000E-02      0.15749311E-04      0.52420305E-05      0.52545956E-05      0.52526847E-05
      0.74000000E-02      0.16196628E-04      0.53909163E-05      0.54038382E-05      0.54018731E-05
      0.76000000E-02      0.16644485E-04      0.55399821E-05      0.55532613E-05      0.55512419E-05
      0.78000000E-02      0.17092885E-04      0.56892282E-05      0.57028651E-05      0.57007914E-05
      0.80000000E-02      0.17541827E-04      0.58386549E-05      0.58526498E-05      0.58505218E-05
      0.82000000E-02      0.17991312E-04      0.59882624E-05      0.60026158E-05      0.60004333E-05
      0.84000000E-02      0.18441340E-04      0.61380509E-05      0.61527633E-05      0.61505263E-05
      0.86000000E-02      0.18891914E-04      0.62880207E-05      0.63030924E-05      0.63008009E-05
      0.88000000E-02      0.19343033E-04      0.64381720E-05      0.64536035E-05      0.64512574E-05
      0.90000000E-02      0.19794698E-04      0.65885051E-05      0.66042969E-05      0.66018960E-05
      0.92000000E-02      0.20246910E-04      0.67390202E-05      0.67551726E-05      0.67527171E-05
      0.94000000E-02      0.20699670E-04      0.68897176E-05      0.69062312E-05      0.69037208E-05
      0.96000000E-02      0.21152978E-04      0.70405976E-05      0.70574726E-05      0.70549074E-05
      0.98000000E-02      0.21606835E-04      0.71916603E-05      0.72088973E-05      0.72062772E-05
      0.10000000E-01      0.22061242E-04      0.73429061E-05      0.73605055E-05      0.73578304E-05
      0.10200000E-01      0.22516200E-04      0.74943352E-05      0.75122974E-05      0.75095672E-05
      0.10400000E-01      0.22971709E-04      0.76459477E-05      0.76642732E-05      0.76614880E-05
      0.10600000E-01      0.23427770E-04      0.77977441E-05      0.78164333E-05      0.78135929E-05
      0.10800000E-01      0.23884385E-04      0.79497246E-05      0.79687779E-05      0.79658822E-05
      0.11000000E-01      0.24341553E-04      0.81018893E-05      0.81213072E-05      0.81183563E-05
      0.11200000E-01      0.24799275E-04      0.82542386E-05      0.82740215E-05      0.82710152E-05
      0.11400000E-01      0.25257553E-04      0.84067727E-05      0.84269211E-05      0.84238593E-05
      0.11600000E-01      0.25716387E-04      0.85594919E-05      0.85800061E-05      0.85768889E-05
      0.11800000E-01      0.26175777E-04      0.87123964E-05      0.87332769E-05      0.87301042E-05
      0.12000000E-01      0.26635726E-04      0.88654864E-05      0.88867337E-05      0.88835054E-05
      0.12200000E-01      0.27096232E-04      0.90187623E-05      0.90403768E-05      0.90370928E-05
      0.12400000E-01      0.27557297E-04      0.91722243E-05      0.91942065E-05      0.91908667E-05
      0.12600000E-01      0.28018923E-04      0.93258726E-05      0.93482229E-05      0.93448273E-05
      0.12800000E-01      0.28481109E-04      0.94797075E-05      0.95024263E-05      0.94989749E-05
      0.13000000E-01      0.28943856E-04      0.96337293E-05      0.96568171E-05      0.96533098E-05
      0.13200000E-01      0.29407166E-04      0.97879382E-05      0.98113954E-05      0.98078321E-05
      0.13400000E-01      0.29871038E-04      0.99423345E-05      0.99661615E-05      0.99625422E-05
      0.13600000E-01      0.30335474E-04      0.10096918E-04      0.10121116E-04      0.10117440E-04
      0.13800000E-01      0.30800475E-04      0.10251690E-04      0.10276258E-04      0.10272527E-04
      0.14000000E-01      0.31266041E-04      0.10406650E-04      0.10431589E-04      0.10427802E-04
      0.14200000E-01      0.31732173E-04      0.10561798E-04      0.10587109E-04      0.10583265E-04
      0.14400000E-01      0.32198872E-04      0.10717136E-04      0.10742819E-04      0.10738918E-04
      0.14600000E-01      0.32666139E-04      0.10872662E-04      0.10898717E-04      0.10894760E-04
      0.14800000E-01      0.33133974E-04      0.11028377E-04      0.11054805E-04      0.11050792E-04
      0.15000000E-01      0.33602378E-04      0.11184281E-04      0.11211083E-04      0.11207013E-04
      0.15200000E-01      0.34071352E-04      0.11340376E-04      0.11367552E-04      0.11363425E-04
      0.15400000E-01      0.34540897E-04      0.11496660E-04      0.11524210E-04      0.11520027E-04
      0.15600000E-01      0.35011014E-04      0.11653135E-04      0.11681060E-04      0.11676820E-04
      0.15800000E-01      0.35481703E-04      0.11809800E-04      0.11838100E-04      0.11833803E-04
      0.16000000E-01      0.35952965E-04      0.11966656E-04      0.11995332E-04      0.11990978E-04
      0.16200000E-01      0.36424801E-04      0.12123703E-04      0.12152755E-04      0.12148344E-04
      0.16400000E-01      0.36897212E-04      0.12280941E-04      0.12310370E-04      0.12305902E-04
      0.16600000E-01      0.37370199E-04      0.12438371E-04      0.12468176E-04      0.12463652E-04
      0.16800000E-01      0.37843762E-04      0.12595992E-04      0.12626176E-04      0.12621594E-04
      0.17000000E-01      0.38317902E-04      0.12753806E-04      0.12784367E-04      0.12779728E-04
      0.17200000E-01      0.38792620E-04      0.12911812E-04      0.12942752E-04      0.12938056E-04
      0.17400000E-01      0.39267916E-04      0.13070011E-04      0.13101330E-04      0.13096576E-04
