#       Energy(Ry)            Total                 X                  Y                   Z
      0.40000000E+00      0.96423289E-01      0.12178391E-11      0.11460452E-04      0.96411828E-01
      0.40020000E+00      0.97764920E-01      0.12308349E-11      0.11491886E-04      0.97753428E-01
      0.40040000E+00      0.99133893E-01      0.12440781E-11      0.11523432E-04      0.99122369E-01
      0.40060000E+00      0.10053094E+00      0.12575755E-11      0.11555090E-04      0.10051939E+00
      0.40080000E+00      0.10195683E+00      0.12713337E-11      0.11586862E-04      0.10194525E+00
      0.40100000E+00      0.10341235E+00      0.12853598E-11      0.11618748E-04      0.10340073E+00
      0.40120000E+00      0.10489830E+00      0.12996610E-11      0.11650748E-04      0.10488665E+00
      0.40140000E+00      0.10641553E+00      0.13142449E-11      0.11682863E-04      0.10640385E+00
      0.40160000E+00      0.10796492E+00      0.13291192E-11      0.11715094E-04      0.10795320E+00
      0.40180000E+00      0.10954735E+00      0.13442920E-11      0.11747440E-04      0.10953560E+00
      0.40200000E+00      0.11116376E+00      0.13597716E-11      0.11779903E-04      0.11115198E+00
      0.40220000E+00      0.11281512E+00      0.13755665E-11      0.11812483E-04      0.11280331E+00
      0.40240000E+00      0.11450242E+00      0.13916857E-11      0.11845180E-04      0.11449058E+00
      0.40260000E+00      0.11622670E+00      0.14081384E-11      0.11877995E-04      0.11621482E+00
      0.40280000E+00      0.11798901E+00      0.14249342E-11      0.11910930E-04      0.11797710E+00
      0.40300000E+00      0.11979048E+00      0.14420828E-11      0.11943983E-04      0.11977854E+00
      0.40320000E+00      0.12163226E+00      0.14595947E-11      0.11977156E-04      0.12162028E+00
      0.40340000E+00      0.12351552E+00      0.14774803E-11      0.12010449E-04      0.12350351E+00
      0.40360000E+00      0.12544150E+00      0.14957507E-11      0.12043864E-04      0.12542946E+00
      0.40380000E+00      0.12741149E+00      0.15144173E-11      0.12077400E-04      0.12739941E+00
      0.40400000E+00      0.12942680E+00      0.15334919E-11      0.12111057E-04      0.12941469E+00
      0.40420000E+00      0.13148882E+00      0.15529868E-11      0.12144838E-04      0.13147668E+00
      0.40440000E+00      0.13359897E+00      0.15729148E-11      0.12178742E-04      0.13358680E+00
      0.40460000E+00      0.13575874E+00      0.15932889E-11      0.12212769E-04      0.13574653E+00
      0.40480000E+00      0.13796965E+00      0.16141230E-11      0.12246921E-04      0.13795740E+00
      0.40500000E+00      0.14023331E+00      0.16354314E-11      0.12281198E-04      0.14022103E+00
      0.40520000E+00      0.14255138E+00      0.16572286E-11      0.12315600E-04      0.14253906E+00
      0.40540000E+00      0.14492557E+00      0.16795303E-11      0.12350128E-04      0.14491322E+00
      0.40560000E+00      0.14735768E+00      0.17023522E-11      0.12384784E-04      0.14734530E+00
      0.40580000E+00      0.14984957E+00      0.17257110E-11      0.12419566E-04      0.14983715E+00
      0.40600000E+00      0.15240318E+00      0.17496240E-11      0.12454477E-04      0.15239072E+00
      0.40620000E+00      0.15502051E+00      0.17741090E-11      0.12489516E-04      0.15500802E+00
      0.40640000E+00      0.15770366E+00      0.17991848E-11      0.12524684E-04      0.15769114E+00
      0.40660000E+00      0.16045481E+00      0.18248707E-11      0.12559982E-04      0.16044225E+00
      0.40680000E+00      0.16327622E+00      0.18511870E-11      0.12595410E-04      0.16326363E+00
      0.40700000E+00      0.16617026E+00      0.18781548E-11      0.12630969E-04      0.16615763E+00
      0.40720000E+00      0.16913938E+00      0.19057958E-11      0.12666661E-04      0.16912671E+00
      0.40740000E+00      0.17218614E+00      0.19341330E-11      0.12702484E-04      0.17217344E+00
      0.40760000E+00      0.17531322E+00      0.19631901E-11      0.12738440E-04      0.17530048E+00
      0.40780000E+00      0.17852339E+00      0.19929919E-11      0.12774530E-04      0.17851061E+00
      0.40800000E+00      0.18181955E+00      0.20235642E-11      0.12810754E-04      0.18180674E+00
      0.40820000E+00      0.18520473E+00      0.20549341E-11      0.12847113E-04      0.18519189E+00
      0.40840000E+00      0.18868209E+00      0.20871296E-11      0.12883607E-04      0.18866921E+00
      0.40860000E+00      0.19225491E+00      0.21201801E-11      0.12920238E-04      0.19224199E+00
      0.40880000E+00      0.19592664E+00      0.21541163E-11      0.12957005E-04      0.19591369E+00
      0.40900000E+00      0.19970087E+00      0.21889700E-11      0.12993910E-04      0.19968787E+00
      0.40920000E+00      0.20358134E+00      0.22247748E-11      0.13030953E-04      0.20356831E+00
      0.40940000E+00      0.20757197E+00      0.22615655E-11      0.13068135E-04      0.20755891E+00
      0.40960000E+00      0.21167687E+00      0.22993786E-11      0.13105457E-04      0.21166377E+00
      0.40980000E+00      0.21590031E+00      0.23382523E-11      0.13142918E-04      0.21588717E+00
      0.41000000E+00      0.22024678E+00      0.23782266E-11      0.13180520E-04      0.22023360E+00
      0.41020000E+00      0.22472096E+00      0.24193431E-11      0.13218264E-04      0.22470774E+00
      0.41040000E+00      0.22932775E+00      0.24616456E-11      0.13256151E-04      0.22931450E+00
      0.41060000E+00      0.23407230E+00      0.25051799E-11      0.13294180E-04      0.23405901E+00
      0.41080000E+00      0.23895999E+00      0.25499938E-11      0.13332352E-04      0.23894666E+00
      0.41100000E+00      0.24399645E+00      0.25961377E-11      0.13370669E-04      0.24398308E+00
      0.41120000E+00      0.24918759E+00      0.26436640E-11      0.13409131E-04      0.24917418E+00
      0.41140000E+00      0.25453960E+00      0.26926280E-11      0.13447739E-04      0.25452615E+00
      0.41160000E+00      0.26005898E+00      0.27430876E-11      0.13486493E-04      0.26004550E+00
      0.41180000E+00      0.26575255E+00      0.27951035E-11      0.13525395E-04      0.26573903E+00
      0.41200000E+00      0.27162747E+00      0.28487393E-11      0.13564444E-04      0.27161390E+00
      0.41220000E+00      0.27769124E+00      0.29040621E-11      0.13603642E-04      0.27767763E+00
      0.41240000E+00      0.28395175E+00      0.29611421E-11      0.13642990E-04      0.28393810E+00
      0.41260000E+00      0.29041729E+00      0.30200531E-11      0.13682487E-04      0.29040361E+00
      0.41280000E+00      0.29709658E+00      0.30808727E-11      0.13722136E-04      0.29708286E+00
