#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.233972607408700E+00  -.197142581059317E-14  0.427400459855205E+01  -.360122626041483E-13
     0.100000000000000E-01  0.233972108992946E+00  0.537645592092241E-04  0.427401347750597E+01  0.982127535035894E-03
     0.200000000000000E-01  0.233970613747666E+00  0.107535785315878E-03  0.427404011443510E+01  0.196440165205118E-02
     0.300000000000000E-01  0.233968121678890E+00  0.161320350499751E-03  0.427408450954003E+01  0.294696904089718E-02
     0.400000000000000E-01  0.233964632796954E+00  0.215124937520144E-03  0.427414666314919E+01  0.392997660744677E-02
     0.500000000000000E-01  0.233960147116934E+00  0.268956245015012E-03  0.427422657571008E+01  0.491357158179506E-02
     0.600000000000000E-01  0.233954664659248E+00  0.322820992816848E-03  0.427432424777693E+01  0.589790162678824E-02
     0.700000000000000E-01  0.233948185450442E+00  0.376725927288220E-03  0.427443967999475E+01  0.688311494694068E-02
     0.800000000000000E-01  0.233940709524155E+00  0.430677826681798E-03  0.427457287307969E+01  0.786936039783554E-02
     0.900000000000000E-01  0.233932236922262E+00  0.484683506529637E-03  0.427472382779565E+01  0.885678759610329E-02
     0.100000000000000E+00  0.233922767696213E+00  0.538749825066422E-03  0.427489254492712E+01  0.984554703007013E-02
     0.110000000000000E+00  0.233912301908561E+00  0.592883688691317E-03  0.427507902524795E+01  0.108357901711672E-01
     0.120000000000000E+00  0.233900839634686E+00  0.647092057472910E-03  0.427528326948621E+01  0.118276695861894E-01
     0.130000000000000E+00  0.233888380964738E+00  0.701381950701683E-03  0.427550527828473E+01  0.128213390504883E-01
     0.140000000000000E+00  0.233874926005770E+00  0.755760452494278E-03  0.427574505215740E+01  0.138169536621849E-01
     0.150000000000000E+00  0.233860474884118E+00  0.810234717453652E-03  0.427600259144084E+01  0.148146699574775E-01
     0.160000000000000E+00  0.233845027747993E+00  0.864811976389074E-03  0.427627789624147E+01  0.158146460271240E-01
     0.170000000000000E+00  0.233828584770317E+00  0.919499542099670E-03  0.427657096637768E+01  0.168170416341681E-01
     0.180000000000000E+00  0.233811146151815E+00  0.974304815225025E-03  0.427688180131680E+01  0.178220183329737E-01
     0.190000000000000E+00  0.233792712124370E+00  0.102923529016603E-02  0.427721040010670E+01  0.188297395896289E-01
     0.200000000000000E+00  0.233773282954639E+00  0.108429856107890E-02  0.427755676130198E+01  0.198403709037745E-01
     0.210000000000000E+00  0.233752858947975E+00  0.113950232794498E-02  0.427792088288395E+01  0.208540799318978E-01
     0.220000000000000E+00  0.233731440452645E+00  0.119485440271836E-02  0.427830276217466E+01  0.218710366121336E-01
     0.230000000000000E+00  0.233709027864366E+00  0.125036271555322E-02  0.427870239574422E+01  0.228914132905969E-01
     0.240000000000000E+00  0.233685621631180E+00  0.130603532111202E-02  0.427911977931144E+01  0.239153848492669E-01
     0.250000000000000E+00  0.233661222258684E+00  0.136188040495520E-02  0.427955490763695E+01  0.249431288354225E-01
     0.260000000000000E+00  0.233635830315632E+00  0.141790629001252E-02  0.428000777440902E+01  0.259748255926265E-01
     0.270000000000000E+00  0.233609446439931E+00  0.147412144313522E-02  0.428047837212093E+01  0.270106583932277E-01
     0.280000000000000E+00  0.233582071345064E+00  0.153053448172778E-02  0.428096669194007E+01  0.280508135723441E-01
     0.290000000000000E+00  0.233553705826934E+00  0.158715418045664E-02  0.428147272356796E+01  0.290954806632673E-01
