#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.225354399056644E+00  0.117931472510052E-09  0.443745497840780E+01  0.232218941361404E-08
     0.100000000000000E-01  0.225354078190499E+00  0.141546870457774E-03  0.443745954592492E+01  0.278720720988101E-02
     0.200000000000000E-01  0.225353115619147E+00  0.283096707733257E-03  0.443747324782279E+01  0.557451386310587E-02
     0.300000000000000E-01  0.225351511423994E+00  0.424652713380847E-03  0.443749608212008E+01  0.836202402185678E-02
     0.400000000000000E-01  0.225349265740703E+00  0.566217968770491E-03  0.443752804551506E+01  0.111498393750470E-01
     0.500000000000000E-01  0.225346378759190E+00  0.707795551890563E-03  0.443756913338579E+01  0.139380615349215E-01
     0.600000000000000E-01  0.225342850723589E+00  0.849388536216737E-03  0.443761933979093E+01  0.167267920114118E-01
     0.700000000000000E-01  0.225338681932236E+00  0.990999989577510E-03  0.443767865747044E+01  0.195161321864128E-01
     0.800000000000000E-01  0.225333872737631E+00  0.113263297301553E-02  0.443774707784672E+01  0.223061832879648E-01
     0.900000000000000E-01  0.225328423546394E+00  0.127429053964394E-02  0.443782459102572E+01  0.250970463643214E-01
     0.100000000000000E+00  0.225322334819222E+00  0.141597573349681E-02  0.443791118579845E+01  0.278888222578838E-01
     0.110000000000000E+00  0.225315607070837E+00  0.155769158837307E-02  0.443800684964247E+01  0.306816115789829E-01
     0.120000000000000E+00  0.225308240869915E+00  0.169944112667295E-02  0.443811156872398E+01  0.334755146794973E-01
     0.130000000000000E+00  0.225300236839018E+00  0.184122735822616E-02  0.443822532789978E+01  0.362706316262786E-01
     0.140000000000000E+00  0.225291595654518E+00  0.198305327911127E-02  0.443834811071967E+01  0.390670621743783E-01
     0.150000000000000E+00  0.225282318046502E+00  0.212492187046519E-02  0.443847989942908E+01  0.418649057400510E-01
     0.160000000000000E+00  0.225272404798676E+00  0.226683609728238E-02  0.443862067497198E+01  0.446642613735239E-01
     0.170000000000000E+00  0.225261856748250E+00  0.240879890720277E-02  0.443877041699417E+01  0.474652277315147E-01
     0.180000000000000E+00  0.225250674785823E+00  0.255081322928792E-02  0.443892910384667E+01  0.502679030494780E-01
     0.190000000000000E+00  0.225238859855243E+00  0.269288197278467E-02  0.443909671258976E+01  0.530723851135778E-01
     0.200000000000000E+00  0.225226412953463E+00  0.283500802587560E-02  0.443927321899705E+01  0.558787712323582E-01
     0.210000000000000E+00  0.225213335130381E+00  0.297719425441576E-02  0.443945859756019E+01  0.586871582081102E-01
     0.220000000000000E+00  0.225199627488661E+00  0.311944350065507E-02  0.443965282149386E+01  0.614976423079176E-01
     0.230000000000000E+00  0.225185291183540E+00  0.326175858194579E-02  0.443985586274123E+01  0.643103192343723E-01
     0.240000000000000E+00  0.225170327422629E+00  0.340414228943461E-02  0.444006769197976E+01  0.671252840959435E-01
     0.250000000000000E+00  0.225154737465676E+00  0.354659738673878E-02  0.444028827862768E+01  0.699426313770033E-01
     0.260000000000000E+00  0.225138522624327E+00  0.368912660860599E-02  0.444051759085085E+01  0.727624549074871E-01
     0.270000000000000E+00  0.225121684261861E+00  0.383173265955740E-02  0.444075559556997E+01  0.755848478321841E-01
     0.280000000000000E+00  0.225104223792894E+00  0.397441821251363E-02  0.444100225846896E+01  0.784099025796706E-01
     0.290000000000000E+00  0.225086142683085E+00  0.411718590740323E-02  0.444125754400314E+01  0.812377108308417E-01
     0.300000000000000E+00  0.225067442448791E+00  0.426003834975353E-02  0.444152141540859E+01  0.840683634870791E-01
     0.310000000000000E+00  0.225048124656710E+00  0.440297810926354E-02  0.444179383471207E+01  0.869019506380314E-01
     0.320000000000000E+00  0.225028190923502E+00  0.454600771835872E-02  0.444207476274147E+01  0.897385615290043E-01
     0.330000000000000E+00  0.225007642915368E+00  0.468912967072756E-02  0.444236415913712E+01  0.925782845279687E-01
     0.340000000000000E+00  0.224986482347611E+00  0.483234641983993E-02  0.444266198236395E+01  0.954212070921928E-01
     0.350000000000000E+00  0.224964710984162E+00  0.497566037744716E-02  0.444296818972423E+01  0.982674157344852E-01
     0.360000000000000E+00  0.224942330637069E+00  0.511907391206389E-02  0.444328273737134E+01  0.101116995989074E+00
     0.370000000000000E+00  0.224919343165960E+00  0.526258934743203E-02  0.444360558032441E+01  0.103970032377117E+00
     0.380000000000000E+00  0.224895750477466E+00  0.540620896096666E-02  0.444393667248369E+01  0.106826608371851E+00
     0.390000000000000E+00  0.224871554524600E+00  0.554993498218465E-02  0.444427596664722E+01  0.109686806363406E+00
     0.400000000000000E+00  0.224846757306111E+00  0.569376959111592E-02  0.444462341452819E+01  0.112550707623279E+00
     0.410000000000000E+00  0.224821360865778E+00  0.583771491669802E-02  0.444497896677357E+01  0.115418392268494E+00
     0.420000000000000E+00  0.224795367291680E+00  0.598177303515453E-02  0.444534257298369E+01  0.118289939225462E+00
     0.430000000000000E+00  0.224768778715411E+00  0.612594596835784E-02  0.444571418173298E+01  0.121165426193559E+00
     0.440000000000000E+00  0.224741597311243E+00  0.627023568217705E-02  0.444609374059206E+01  0.124044929608453E+00
     0.450000000000000E+00  0.224713825295254E+00  0.641464408481181E-02  0.444648119615073E+01  0.126928524605191E+00
     0.460000000000000E+00  0.224685464924394E+00  0.655917302511291E-02  0.444687649404266E+01  0.129816284981088E+00
     0.470000000000000E+00  0.224656518495508E+00  0.670382429089075E-02  0.444727957897085E+01  0.132708283158422E+00
     0.480000000000000E+00  0.224626988344298E+00  0.684859960721271E-02  0.444769039473499E+01  0.135604590147010E+00
     0.490000000000000E+00  0.224596876844223E+00  0.699350063469061E-02  0.444810888426000E+01  0.138505275506664E+00
     0.500000000000000E+00  0.224566186405360E+00  0.713852896775966E-02  0.444853498962581E+01  0.141410407309559E+00
     0.510000000000000E+00  0.224534919473187E+00  0.728368613295028E-02  0.444896865209905E+01  0.144320052102604E+00
     0.520000000000000E+00  0.224503078527309E+00  0.742897358715435E-02  0.444940981216593E+01  0.147234274869800E+00
     0.530000000000000E+00  0.224470666080124E+00  0.757439271588758E-02  0.444985840956694E+01  0.150153138994670E+00
     0.540000000000000E+00  0.224437684675416E+00  0.771994483154989E-02  0.445031438333302E+01  0.153076706222799E+00
     0.550000000000000E+00  0.224404136886889E+00  0.786563117168546E-02  0.445077767182349E+01  0.156005036624536E+00
     0.560000000000000E+00  0.224370025316620E+00  0.801145289724481E-02  0.445124821276568E+01  0.158938188557916E+00
     0.570000000000000E+00  0.224335352593452E+00  0.815741109085103E-02  0.445172594329627E+01  0.161876218631866E+00
     0.580000000000000E+00  0.224300121371303E+00  0.830350675507223E-02  0.445221080000452E+01  0.164819181669747E+00
     0.590000000000000E+00  0.224264334327409E+00  0.844974081070298E-02  0.445270271897714E+01  0.167767130673310E+00
     0.600000000000000E+00  0.224227994160483E+00  0.859611409505743E-02  0.445320163584532E+01  0.170720116787135E+00
     0.610000000000000E+00  0.224191103588796E+00  0.874262736027619E-02  0.445370748583335E+01  0.173678189263614E+00
     0.620000000000000E+00  0.224153665348184E+00  0.888928127165080E-02  0.445422020380943E+01  0.176641395428569E+00
     0.630000000000000E+00  0.224115682189967E+00  0.903607640596804E-02  0.445473972433824E+01  0.179609780647574E+00
     0.640000000000000E+00  0.224077156878781E+00  0.918301324987765E-02  0.445526598173574E+01  0.182583388293083E+00
     0.650000000000000E+00  0.224038092190344E+00  0.933009219828662E-02  0.445579891012564E+01  0.185562259712409E+00
     0.660000000000000E+00  0.223998490909107E+00  0.947731355278362E-02  0.445633844349831E+01  0.188546434196714E+00
     0.670000000000000E+00  0.223958355825842E+00  0.962467752009716E-02  0.445688451577151E+01  0.191535948951030E+00
     0.680000000000000E+00  0.223917689735136E+00  0.977218421059105E-02  0.445743706085314E+01  0.194530839065447E+00
     0.690000000000001E+00  0.223876495432788E+00  0.991983363680124E-02  0.445799601270632E+01  0.197531137487572E+00
