#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.268071557474914E-02  -.119398956686402E-09  0.373034726033394E+03  -.166149506929145E-04
     0.100000000000000E-01  0.268022543264235E-02  0.336940729322315E-04  0.373043988672783E+03  0.468966946145257E+01
     0.200000000000000E-01  0.267875499408132E-02  0.673891637140462E-04  0.373071644479383E+03  0.938532496717253E+01
     0.300000000000000E-01  0.267630422171938E-02  0.101086051529821E-03  0.373117298758620E+03  0.140929249309148E+02
     0.400000000000000E-01  0.267287305330066E-02  0.134785635222263E-03  0.373180290509842E+03  0.188184554618800E+02
     0.500000000000000E-01  0.266846140165800E-02  0.168488814023256E-03  0.373259687647919E+03  0.235679189721138E+02
     0.600000000000000E-01  0.266306915469783E-02  0.202196487683809E-03  0.373354280290825E+03  0.283473390104610E+02
     0.700000000000000E-01  0.265669617539055E-02  0.235909556604196E-03  0.373462572087107E+03  0.331627645665505E+02
     0.800000000000000E-01  0.264934230174785E-02  0.269628921964335E-03  0.373582769556913E+03  0.380202736934473E+02
     0.900000000000000E-01  0.264100734680350E-02  0.303355485854452E-03  0.373712769410949E+03  0.429259762839676E+02
     0.100000000000000E+00  0.263169109858663E-02  0.337090151406085E-03  0.373850143812585E+03  0.478860158202655E+02
     0.110000000000000E+00  0.262139332010181E-02  0.370833822923463E-03  0.373992123543422E+03  0.529065698967621E+02
     0.120000000000000E+00  0.261011374928732E-02  0.404587406015328E-03  0.374135579039465E+03  0.579938492960128E+02
     0.130000000000000E+00  0.259785209898866E-02  0.438351807727232E-03  0.374276999259428E+03  0.631540953697726E+02
     0.140000000000000E+00  0.258460805691707E-02  0.472127936674370E-03  0.374412468362652E+03  0.683935754514630E+02
     0.150000000000000E+00  0.257038128561127E-02  0.505916703174989E-03  0.374537640178162E+03  0.737185759928276E+02
     0.160000000000000E+00  0.255517142239436E-02  0.539719019384431E-03  0.374647710465281E+03  0.791353930835155E+02
     0.170000000000000E+00  0.253897807932102E-02  0.573535799429855E-03  0.374737386986854E+03  0.846503199741039E+02
     0.180000000000000E+00  0.252180084312914E-02  0.607367959545703E-03  0.374800857441271E+03  0.902696311805569E+02
     0.190000000000000E+00  0.250363927519048E-02  0.641216418209932E-03  0.374831755337932E+03  0.959995627049123E+02
     0.200000000000000E+00  0.248449291144448E-02  0.675082096281092E-03  0.374823123947086E+03  0.101846287861498E+03
     0.210000000000000E+00  0.246436126234584E-02  0.708965917136299E-03  0.374767378504800E+03  0.107815888146815E+03
     0.220000000000000E+00  0.244324381279004E-02  0.742868806810137E-03  0.374656266930989E+03  0.113914318547333E+03
     0.230000000000000E+00  0.242114002205807E-02  0.776791694134570E-03  0.374480829391219E+03  0.120147366626261E+03
     0.240000000000000E+00  0.239804932373400E-02  0.810735510879887E-03  0.374231357143446E+03  0.126520604692374E+03
     0.250000000000000E+00  0.237397112563476E-02  0.844701191896769E-03  0.373897351217260E+03  0.133039334307749E+03
     0.260000000000000E+00  0.234890480973282E-02  0.878689675259515E-03  0.373467481618420E+03  0.139708522364772E+03
     0.270000000000000E+00  0.232284973207153E-02  0.912701902410473E-03  0.372929547908717E+03  0.146532727942680E+03
     0.280000000000000E+00  0.229580522268247E-02  0.946738818305764E-03  0.372270442193413E+03  0.153516019151030E+03
     0.290000000000000E+00  0.226777058549377E-02  0.980801371562331E-03  0.371476115759050E+03  0.160661879190832E+03
     0.300000000000000E+00  0.223874509823796E-02  0.101489051460638E-02  0.370531550834999E+03  0.167973100913011E+03
     0.310000000000000E+00  0.220872801235861E-02  0.104900720382330E-02  0.369420739210546E+03  0.175451669243679E+03
     0.320000000000000E+00  0.217771855290583E-02  0.108315239970904E-02  0.368126669719359E+03  0.183098630983038E+03
     0.330000000000000E+00  0.214571591843449E-02  0.111732706702313E-02  0.366631326897494E+03  0.190913951675417E+03
     0.340000000000000E+00  0.211271928089907E-02  0.115153217494331E-02  0.364915703431237E+03  0.198896359512713E+03
     0.350000000000000E+00  0.207872778553853E-02  0.118576869722188E-02  0.362959829319954E+03  0.207043176576917E+03
     0.360000000000000E+00  0.204374055076506E-02  0.122003761234378E-02  0.360742820973614E+03  0.215350138160176E+03
     0.370000000000000E+00  0.200775666803976E-02  0.125433990368659E-02  0.358242953733231E+03  0.223811201444477E+03
     0.380000000000000E+00  0.197077520175570E-02  0.128867655968233E-02  0.355437761510767E+03  0.232418345469755E+03
     0.390000000000000E+00  0.193279518910872E-02  0.132304857398134E-02  0.352304167377545E+03  0.241161365096055E+03
     0.400000000000000E+00  0.189381563996494E-02  0.135745694561817E-02  0.348818648939363E+03  0.250027662551489E+03
     0.410000000000000E+00  0.185383553672946E-02  0.139190267917954E-02  0.344957442192009E+03  0.259002041161135E+03
     0.420000000000000E+00  0.181285383420537E-02  0.142638678497458E-02  0.340696787205457E+03  0.268066506953757E+03
     0.430000000000000E+00  0.177086945944915E-02  0.146091027920729E-02  0.336013218389388E+03  0.277200085006421E+03
     0.440000000000000E+00  0.172788131163015E-02  0.149547418415134E-02  0.330883901203726E+03  0.286378658575000E+03
     0.450000000000000E+00  0.168388826187094E-02  0.153007952832735E-02  0.325287015952340E+03  0.295574840213190E+03
     0.460000000000000E+00  0.163888915309818E-02  0.156472734668262E-02  0.319202187698951E+03  0.304757885101182E+03
     0.470000000000000E+00  0.159288279987868E-02  0.159941868077347E-02  0.312610959362233E+03  0.313893657622867E+03
     0.480000000000000E+00  0.154586798825984E-02  0.163415457895028E-02  0.305497302681597E+03  0.322944662691454E+03
     0.490000000000000E+00  0.149784347559456E-02  0.166893609654525E-02  0.297848159041183E+03  0.331870153332318E+03
     0.500000000000000E+00  0.144880799037606E-02  0.170376429606303E-02  0.289653999173522E+03  0.340626325421924E+03
     0.510000000000000E+00  0.139876023205143E-02  0.173864024737433E-02  0.280909387662621E+03  0.349166609161614E+03
     0.520000000000000E+00  0.134769887084751E-02  0.177356502791247E-02  0.271613535105342E+03  0.357442064685839E+03
     0.530000000000000E+00  0.129562254758087E-02  0.180853972287313E-02  0.261770817989812E+03  0.365401886149267E+03
     0.540000000000000E+00  0.124252987346407E-02  0.184356542541734E-02  0.251391244077041E+03  0.372994014655766E+03
     0.550000000000000E+00  0.118841942991432E-02  0.187864323687774E-02  0.240490839612155E+03  0.380165855586015E+03
     0.560000000000000E+00  0.113328976834604E-02  0.191377426696828E-02  0.229091934330041E+03  0.386865090409032E+03
     0.570000000000000E+00  0.107713940997201E-02  0.194895963399751E-02  0.217223321220802E+03  0.393040567175258E+03
     0.580000000000000E+00  0.101996684558670E-02  0.198420046508544E-02  0.204920270561382E+03  0.398643247976798E+03
     0.590000000000000E+00  0.961770535352846E-03  0.201949789638419E-02  0.192224381902427E+03  0.403627186128429E+03
     0.600000000000000E+00  0.902548908578327E-03  0.205485307330250E-02  0.179183263459686E+03  0.407950501191651E+03
     0.610000000000000E+00  0.842300363495196E-03  0.209026715073421E-02  0.165850035502651E+03  0.411576316696285E+03
     0.620000000000000E+00  0.781023267019010E-03  0.212574129329090E-02  0.152282662478053E+03  0.414473623964394E+03
     0.630000000000000E+00  0.718715954521221E-03  0.216127667553866E-02  0.138543127255378E+03  0.416618036109552E+03
     0.640000000000000E+00  0.655376729577606E-03  0.219687448223927E-02  0.124696469384237E+03  0.417992399260374E+03
     0.650000000000000E+00  0.591003863728345E-03  0.223253590859588E-02  0.110809716972918E+03  0.418587233258930E+03
     0.660000000000000E+00  0.525595596221673E-03  0.226826216050328E-02  0.969507480440789E+02  0.418400981290039E+03
     0.670000000000000E+00  0.459150133751085E-03  0.230405445480288E-02  0.831871214789356E+02  0.417440056610496E+03
     0.680000000000000E+00  0.391665650194550E-03  0.233991401954269E-02  0.695849195183618E+02  0.415718684160549E+03
     0.690000000000001E+00  0.323140286343504E-03  0.237584209424222E-02  0.562076430782426E+02  0.413258544623170E+03
     0.700000000000001E+00  0.253572149620740E-03  0.241183993016267E-02  0.431151979315664E+02  0.410088237701770E+03
     0.710000000000001E+00  0.182959313807740E-03  0.244790879058240E-02  0.303630044022494E+02  0.406242589337991E+03
     0.720000000000001E+00  0.111299818740362E-03  0.248404995107791E-02  0.180012560751134E+02  0.401761833746008E+03
     0.730000000000001E+00  0.385916700291755E-04  0.252026469981051E-02  0.607434480881415E+01  0.396690705132943E+03
     0.740000000000001E+00  -.351671612546234E-04  0.255655433781880E-02  -.537953934592114E+01  0.391077475679772E+03
     0.750000000000001E+00  -.109978738880967E-03  0.259292017931715E-02  -.163286331460012E+02  0.384972975829064E+03
     0.760000000000001E+00  -.185845161777110E-03  0.262936355200037E-02  -.267476575596768E+02  0.378429630431541E+03
     0.770000000000001E+00  -.262768564349702E-03  0.266588579735476E-02  -.366177214744964E+02  0.371500540226104E+03
     0.780000000000001E+00  -.340751116817417E-03  0.270248827097566E-02  -.459260905204580E+02  0.364238632942789E+03
     0.790000000000001E+00  -.419795025539127E-03  0.273917234289184E-02  -.546658430952897E+02  0.356695902518564E+03
     0.800000000000001E+00  -.499902533360963E-03  0.277593939789673E-02  -.628354373613932E+02  0.348922748966377E+03
     0.810000000000001E+00  -.581075919964702E-03  0.281279083588687E-02  -.704382132020635E+02  0.340967425741967E+03
     0.820000000000001E+00  -.663317502229477E-03  0.284972807220773E-02  -.774818521301769E+02  0.332875596316809E+03
     0.830000000000001E+00  -.746629634587936E-03  0.288675253800709E-02  -.839778161962066E+02  0.324689997302994E+03
     0.840000000000001E+00  -.831014709405942E-03  0.292386568059624E-02  -.899407843516104E+02  0.316450201994103E+03
