#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.155203648548671E-01  -.931736812523183E-10  0.644314749911570E+02  -.386802615117658E-06
     0.100000000000000E+00  0.154106434639837E-01  0.122995700645130E-02  0.644794838419474E+02  0.514624798822419E+01
     0.200000000000000E+00  0.150807211353707E-01  0.248124249452949E-02  0.645621062229575E+02  0.106224523389008E+02
     0.300000000000000E+00  0.145283992193654E-01  0.377654604437067E-02  0.644741857728368E+02  0.167595705189509E+02
     0.400000000000000E+00  0.137503013392248E-01  0.514141696683998E-02  0.638050355599614E+02  0.238575347772202E+02
     0.500000000000000E+00  0.127424420545365E-01  0.660604318036374E-02  0.618536215153909E+02  0.320666708032688E+02
     0.600000000000000E+00  0.115013480752441E-01  0.820745538547121E-02  0.576094778201249E+02  0.411105912016261E+02
     0.700000000000000E+00  0.100261911839574E-01  0.999225925369053E-02  0.500384461789624E+02  0.498690996110329E+02
     0.800000000000000E+00  0.832273567448993E-02  0.120198147254824E-01  0.389378908235246E+02  0.562346627124513E+02
     0.900000000000000E+00  0.641037415441459E-02  0.143652231991278E-01  0.259054697943796E+02  0.580524391728753E+02
     0.100000000000000E+01  0.433385115051910E-02  0.171201108829649E-01  0.138958725295422E+02  0.548931816665677E+02
     0.110000000000000E+01  0.218035108078973E-02  0.203865902720878E-01  0.518677991652123E+01  0.484971241197139E+02
     0.120000000000000E+01  0.979980201172292E-04  0.242570553841747E-01  0.166545941413824E+00  0.412244463719974E+02
     0.130000000000000E+01  -.169770974600070E-02  0.287754835235646E-01  -.204319165282878E+01  0.346312600725536E+02
     0.140000000000000E+01  -.294769865542532E-02  0.338922650340881E-01  -.254688392695366E+01  0.292837481553613E+02
     0.150000000000000E+01  -.340266166493541E-02  0.394414474181553E-01  -.217116443124913E+01  0.251667301024203E+02
     0.160000000000000E+01  -.287764340129248E-02  0.451539010729842E-01  -.140567887565535E+01  0.220568972733791E+02
     0.170000000000000E+01  -.128846351838741E-02  0.506888053669161E-01  -.501149722719958E+00  0.197154831255362E+02
     0.180000000000000E+01  0.132230973636438E-02  0.556703539839196E-01  0.426422663517403E+00  0.179527534071170E+02
