# \hbar \omega(Ry)       Re(chi)         Im(chi) 
      0.01000000     -0.8155913E-02   -0.1994744E-04
      0.04626263     -0.8167878E-02   -0.9376393E-04
      0.08252525     -0.8194980E-02   -0.1712354E-03
      0.11878788     -0.8234440E-02   -0.2500867E-03
      0.15505051     -0.8292325E-02   -0.3272479E-03
      0.19131313     -0.8379125E-02   -0.4129064E-03
      0.22757576     -0.8492484E-02   -0.5199776E-03
      0.26383838     -0.8626600E-02   -0.6646362E-03
      0.30010101     -0.8761793E-02   -0.8652373E-03
      0.33636364     -0.8851094E-02   -0.1125527E-02
      0.37262626     -0.8830487E-02   -0.1396974E-02
      0.40888889     -0.8716509E-02   -0.1542342E-02
      0.44515152     -0.8680634E-02   -0.1516508E-02
      0.48141414     -0.8824234E-02   -0.1453702E-02
      0.51767677     -0.9104373E-02   -0.1465286E-02
      0.55393939     -0.9459073E-02   -0.1586071E-02
      0.59020202     -0.9842823E-02   -0.1824310E-02
      0.62646465     -0.1021910E-01   -0.2189368E-02
      0.66272727     -0.1052260E-01   -0.2683718E-02
      0.69898990     -0.1065334E-01   -0.3245975E-02
      0.73525253     -0.1060021E-01   -0.3686081E-02
      0.77151515     -0.1055560E-01   -0.3873799E-02
      0.80777778     -0.1074883E-01   -0.3895422E-02
      0.84404040     -0.1125520E-01   -0.3962319E-02
      0.88030303     -0.1200115E-01   -0.4227556E-02
      0.91656566     -0.1290958E-01   -0.4774097E-02
      0.95282828     -0.1387905E-01   -0.5666132E-02
      0.98909091     -0.1479343E-01   -0.6879592E-02
      1.02535354     -0.1566998E-01   -0.8327446E-02
      1.06161616     -0.1668023E-01   -0.1015629E-01
      1.09787879     -0.1766981E-01   -0.1277168E-01
      1.13414141     -0.1814291E-01   -0.1628134E-01
      1.17040404     -0.1790387E-01   -0.2060484E-01
      1.20666667     -0.1638158E-01   -0.2636518E-01
      1.24292929     -0.1112483E-01   -0.3314058E-01
      1.27919192     -0.8753448E-03   -0.3661262E-01
      1.31545455      0.9599172E-02   -0.3309986E-01
      1.35171717      0.1522150E-01   -0.2573610E-01
      1.38797980      0.1643877E-01   -0.1898449E-01
      1.42424242      0.1566090E-01   -0.1424224E-01
      1.46050505      0.1443349E-01   -0.1112402E-01
      1.49676768      0.1328223E-01   -0.8943813E-02
      1.53303030      0.1225868E-01   -0.7302290E-02
      1.56929293      0.1134619E-01   -0.5990080E-02
      1.60555556      0.1047768E-01   -0.4904682E-02
      1.64181818      0.9632205E-02   -0.4039447E-02
      1.67808081      0.8837410E-02   -0.3375063E-02
      1.71434343      0.8116641E-02   -0.2878767E-02
      1.75060606      0.7490110E-02   -0.2510149E-02
      1.78686869      0.6959709E-02   -0.2219413E-02
      1.82313131      0.6501947E-02   -0.1969568E-02
      1.85939394      0.6092589E-02   -0.1752683E-02
      1.89565657      0.5726516E-02   -0.1566850E-02
      1.93191919      0.5397622E-02   -0.1401154E-02
      1.96818182      0.5096847E-02   -0.1252857E-02
      2.00444444      0.4819906E-02   -0.1117195E-02
      2.04070707      0.4555784E-02   -0.9930813E-03
      2.07696970      0.4301580E-02   -0.8895320E-03
      2.11323232      0.4064697E-02   -0.8086214E-03
      2.14949495      0.3848962E-02   -0.7438736E-03
      2.18575758      0.3651271E-02   -0.6902149E-03
      2.22202020      0.3471018E-02   -0.6493966E-03
      2.25828283      0.3313242E-02   -0.6161839E-03
      2.29454545      0.3174238E-02   -0.5792391E-03
      2.33080808      0.3040861E-02   -0.5374378E-03
      2.36707071      0.2910302E-02   -0.4991512E-03
      2.40333333      0.2784608E-02   -0.4669244E-03
      2.43959596      0.2664581E-02   -0.4401301E-03
      2.47585859      0.2550078E-02   -0.4201664E-03
      2.51212121      0.2443901E-02   -0.4073235E-03
      2.54838384      0.2347339E-02   -0.4001697E-03
      2.58464646      0.2261783E-02   -0.3960652E-03
      2.62090909      0.2185310E-02   -0.3910237E-03
      2.65717172      0.2114465E-02   -0.3857177E-03
      2.69343434      0.2049290E-02   -0.3819434E-03
      2.72969697      0.1992254E-02   -0.3808149E-03
      2.76595960      0.1947698E-02   -0.3780049E-03
      2.80222222      0.1912330E-02   -0.3640926E-03
      2.83848485      0.1874643E-02   -0.3379209E-03
      2.87474747      0.1828811E-02   -0.3078961E-03
      2.91101010      0.1777581E-02   -0.2800566E-03
      2.94727273      0.1723381E-02   -0.2557822E-03
      2.98353535      0.1667926E-02   -0.2362237E-03
      3.01979798      0.1613208E-02   -0.2216410E-03
      3.05606061      0.1560996E-02   -0.2117294E-03
      3.09232323      0.1513084E-02   -0.2049037E-03
      3.12858586      0.1469183E-02   -0.1983178E-03
      3.16484848      0.1426426E-02   -0.1910509E-03
      3.20111111      0.1383114E-02   -0.1859604E-03
      3.23737374      0.1341924E-02   -0.1854670E-03
      3.27363636      0.1306099E-02   -0.1879691E-03
      3.30989899      0.1276201E-02   -0.1903924E-03
      3.34616162      0.1250649E-02   -0.1900713E-03
      3.38242424      0.1226439E-02   -0.1870459E-03
      3.41868687      0.1203321E-02   -0.1830823E-03
      3.45494949      0.1182554E-02   -0.1774631E-03
      3.49121212      0.1162327E-02   -0.1675056E-03
      3.52747475      0.1138194E-02   -0.1546456E-03
      3.56373737      0.1109634E-02   -0.1436921E-03
      3.60000000      0.1079228E-02   -0.1372525E-03
