# Final state angular momentum:   1
# Broadening parameter (in eV):    0.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.00012568
   -9.90990991    0.00012671
   -9.81981982    0.00012775
   -9.72972973    0.00012882
   -9.63963964    0.00012989
   -9.54954955    0.00013099
   -9.45945946    0.00013210
   -9.36936937    0.00013322
   -9.27927928    0.00013437
   -9.18918919    0.00013553
   -9.09909910    0.00013671
   -9.00900901    0.00013790
   -8.91891892    0.00013912
   -8.82882883    0.00014035
   -8.73873874    0.00014161
   -8.64864865    0.00014288
   -8.55855856    0.00014418
   -8.46846847    0.00014549
   -8.37837838    0.00014683
   -8.28828829    0.00014819
   -8.19819820    0.00014957
   -8.10810811    0.00015097
   -8.01801802    0.00015240
   -7.92792793    0.00015385
   -7.83783784    0.00015533
   -7.74774775    0.00015683
   -7.65765766    0.00015835
   -7.56756757    0.00015991
   -7.47747748    0.00016149
   -7.38738739    0.00016310
   -7.29729730    0.00016473
   -7.20720721    0.00016640
   -7.11711712    0.00016810
   -7.02702703    0.00016982
   -6.93693694    0.00017158
   -6.84684685    0.00017337
   -6.75675676    0.00017520
   -6.66666667    0.00017705
   -6.57657658    0.00017895
   -6.48648649    0.00018088
   -6.39639640    0.00018284
   -6.30630631    0.00018485
   -6.21621622    0.00018689
   -6.12612613    0.00018897
   -6.03603604    0.00019110
   -5.94594595    0.00019327
   -5.85585586    0.00019548
   -5.76576577    0.00019774
   -5.67567568    0.00020004
   -5.58558559    0.00020239
   -5.49549550    0.00020479
   -5.40540541    0.00020724
   -5.31531532    0.00020974
   -5.22522523    0.00021230
   -5.13513514    0.00021491
   -5.04504505    0.00021758
   -4.95495495    0.00022031
   -4.86486486    0.00022310
   -4.77477477    0.00022595
   -4.68468468    0.00022887
   -4.59459459    0.00023186
   -4.50450450    0.00023491
   -4.41441441    0.00023804
   -4.32432432    0.00024124
   -4.23423423    0.00024452
   -4.14414414    0.00024787
   -4.05405405    0.00025131
   -3.96396396    0.00025484
   -3.87387387    0.00025845
   -3.78378378    0.00026215
   -3.69369369    0.00026595
   -3.60360360    0.00026984
   -3.51351351    0.00027384
   -3.42342342    0.00027794
   -3.33333333    0.00028216
   -3.24324324    0.00028648
   -3.15315315    0.00029092
   -3.06306306    0.00029549
   -2.97297297    0.00030018
   -2.88288288    0.00030501
   -2.79279279    0.00030998
   -2.70270270    0.00031509
   -2.61261261    0.00032035
   -2.52252252    0.00032576
   -2.43243243    0.00033134
   -2.34234234    0.00033710
   -2.25225225    0.00034303
   -2.16216216    0.00034914
   -2.07207207    0.00035545
   -1.98198198    0.00036196
   -1.89189189    0.00036869
   -1.80180180    0.00037564
   -1.71171171    0.00038282
   -1.62162162    0.00039025
   -1.53153153    0.00039793
   -1.44144144    0.00040589
   -1.35135135    0.00041413
   -1.26126126    0.00042267
   -1.17117117    0.00043152
   -1.08108108    0.00044071
   -0.99099099    0.00045024
   -0.90090090    0.00046015
   -0.81081081    0.00047045
   -0.72072072    0.00048117
   -0.63063063    0.00049232
   -0.54054054    0.00050394
   -0.45045045    0.00051604
   -0.36036036    0.00052867
   -0.27027027    0.00054183
   -0.18018018    0.00055557
   -0.09009009    0.00056989
    0.00000000    0.00058480
    0.09009009    0.00060040
    0.18018018    0.00061669
    0.27027027    0.00063374
    0.36036036    0.00065163
    0.45045045    0.00067043
