# Final state angular momentum:   1
# Broadening parameter (in eV):    0.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.00012179
   -9.90990991    0.00012279
   -9.81981982    0.00012380
   -9.72972973    0.00012483
   -9.63963964    0.00012587
   -9.54954955    0.00012693
   -9.45945946    0.00012801
   -9.36936937    0.00012910
   -9.27927928    0.00013021
   -9.18918919    0.00013134
   -9.09909910    0.00013248
   -9.00900901    0.00013364
   -8.91891892    0.00013482
   -8.82882883    0.00013602
   -8.73873874    0.00013723
   -8.64864865    0.00013847
   -8.55855856    0.00013972
   -8.46846847    0.00014100
   -8.37837838    0.00014230
   -8.28828829    0.00014361
   -8.19819820    0.00014495
   -8.10810811    0.00014632
   -8.01801802    0.00014770
   -7.92792793    0.00014911
   -7.83783784    0.00015054
   -7.74774775    0.00015200
   -7.65765766    0.00015348
   -7.56756757    0.00015498
   -7.47747748    0.00015652
   -7.38738739    0.00015808
   -7.29729730    0.00015967
   -7.20720721    0.00016128
   -7.11711712    0.00016293
   -7.02702703    0.00016460
   -6.93693694    0.00016631
   -6.84684685    0.00016805
   -6.75675676    0.00016982
   -6.66666667    0.00017162
   -6.57657658    0.00017346
   -6.48648649    0.00017533
   -6.39639640    0.00017724
   -6.30630631    0.00017919
   -6.21621622    0.00018117
   -6.12612613    0.00018319
   -6.03603604    0.00018526
   -5.94594595    0.00018736
   -5.85585586    0.00018951
   -5.76576577    0.00019170
   -5.67567568    0.00019393
   -5.58558559    0.00019622
   -5.49549550    0.00019855
   -5.40540541    0.00020093
   -5.31531532    0.00020336
   -5.22522523    0.00020584
   -5.13513514    0.00020838
   -5.04504505    0.00021097
   -4.95495495    0.00021362
   -4.86486486    0.00021633
   -4.77477477    0.00021910
   -4.68468468    0.00022194
   -4.59459459    0.00022484
   -4.50450450    0.00022780
   -4.41441441    0.00023084
   -4.32432432    0.00023395
   -4.23423423    0.00023714
   -4.14414414    0.00024040
   -4.05405405    0.00024374
   -3.96396396    0.00024716
   -3.87387387    0.00025067
   -3.78378378    0.00025427
   -3.69369369    0.00025797
   -3.60360360    0.00026175
   -3.51351351    0.00026564
   -3.42342342    0.00026963
   -3.33333333    0.00027372
   -3.24324324    0.00027793
   -3.15315315    0.00028225
   -3.06306306    0.00028668
   -2.97297297    0.00029125
   -2.88288288    0.00029594
   -2.79279279    0.00030077
   -2.70270270    0.00030574
   -2.61261261    0.00031086
   -2.52252252    0.00031613
   -2.43243243    0.00032156
   -2.34234234    0.00032715
   -2.25225225    0.00033292
   -2.16216216    0.00033887
   -2.07207207    0.00034501
   -1.98198198    0.00035135
   -1.89189189    0.00035789
   -1.80180180    0.00036465
   -1.71171171    0.00037164
   -1.62162162    0.00037887
   -1.53153153    0.00038635
   -1.44144144    0.00039410
   -1.35135135    0.00040212
   -1.26126126    0.00041043
   -1.17117117    0.00041905
   -1.08108108    0.00042800
   -0.99099099    0.00043728
   -0.90090090    0.00044693
   -0.81081081    0.00045696
   -0.72072072    0.00046740
   -0.63063063    0.00047826
   -0.54054054    0.00048958
   -0.45045045    0.00050138
   -0.36036036    0.00051367
   -0.27027027    0.00052650
   -0.18018018    0.00053988
   -0.09009009    0.00055384
    0.00000000    0.00056837
    0.09009009    0.00058357
    0.18018018    0.00059945
    0.27027027    0.00061606
    0.36036036    0.00063350
    0.45045045    0.00065183
    0.54054054    0.00067111
    0.63063063    0.00069143
    0.72072072    0.00071286
    0.81081081    0.00073548
    0.90090090    0.00075939
    0.99099099    0.00078469
    1.08108108    0.00081150
    1.17117117    0.00083994
    1.26126126    0.00087016
    1.35135135    0.00090231
    1.44144144    0.00093656
    1.53153153    0.00097312
    1.62162162    0.00101221
    1.71171171    0.00105407
    1.80180180    0.00109898
    1.89189189    0.00114728
    1.98198198    0.00119931
    2.07207207    0.00125550
    2.16216216    0.00131631
    2.25225225    0.00138229
    2.34234234    0.00145406
    2.43243243    0.00153236
