# Final state angular momentum:   1
# Broadening parameter (in eV):    0.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.00004244
   -9.90990991    0.00004284
   -9.81981982    0.00004325
   -9.72972973    0.00004366
   -9.63963964    0.00004408
   -9.54954955    0.00004451
   -9.45945946    0.00004494
   -9.36936937    0.00004538
   -9.27927928    0.00004582
   -9.18918919    0.00004628
   -9.09909910    0.00004674
   -9.00900901    0.00004720
   -8.91891892    0.00004768
   -8.82882883    0.00004816
   -8.73873874    0.00004865
   -8.64864865    0.00004915
   -8.55855856    0.00004966
   -8.46846847    0.00005018
   -8.37837838    0.00005070
   -8.28828829    0.00005123
   -8.19819820    0.00005178
   -8.10810811    0.00005233
   -8.01801802    0.00005289
   -7.92792793    0.00005346
   -7.83783784    0.00005404
   -7.74774775    0.00005463
   -7.65765766    0.00005524
   -7.56756757    0.00005585
   -7.47747748    0.00005647
   -7.38738739    0.00005711
   -7.29729730    0.00005776
   -7.20720721    0.00005841
   -7.11711712    0.00005909
   -7.02702703    0.00005977
   -6.93693694    0.00006047
   -6.84684685    0.00006118
   -6.75675676    0.00006190
   -6.66666667    0.00006264
   -6.57657658    0.00006339
   -6.48648649    0.00006416
   -6.39639640    0.00006494
   -6.30630631    0.00006574
   -6.21621622    0.00006655
   -6.12612613    0.00006738
   -6.03603604    0.00006823
   -5.94594595    0.00006910
   -5.85585586    0.00006998
   -5.76576577    0.00007088
   -5.67567568    0.00007180
   -5.58558559    0.00007274
   -5.49549550    0.00007370
   -5.40540541    0.00007468
   -5.31531532    0.00007568
   -5.22522523    0.00007671
   -5.13513514    0.00007776
   -5.04504505    0.00007883
   -4.95495495    0.00007992
   -4.86486486    0.00008105
   -4.77477477    0.00008219
   -4.68468468    0.00008337
   -4.59459459    0.00008457
   -4.50450450    0.00008580
   -4.41441441    0.00008706
   -4.32432432    0.00008835
   -4.23423423    0.00008967
   -4.14414414    0.00009102
   -4.05405405    0.00009241
   -3.96396396    0.00009383
   -3.87387387    0.00009529
   -3.78378378    0.00009679
   -3.69369369    0.00009832
   -3.60360360    0.00009990
   -3.51351351    0.00010152
   -3.42342342    0.00010318
   -3.33333333    0.00010489
   -3.24324324    0.00010664
   -3.15315315    0.00010844
   -3.06306306    0.00011030
   -2.97297297    0.00011220
   -2.88288288    0.00011416
   -2.79279279    0.00011618
   -2.70270270    0.00011826
   -2.61261261    0.00012040
   -2.52252252    0.00012261
   -2.43243243    0.00012488
   -2.34234234    0.00012722
   -2.25225225    0.00012964
   -2.16216216    0.00013213
   -2.07207207    0.00013471
   -1.98198198    0.00013737
   -1.89189189    0.00014012
   -1.80180180    0.00014296
   -1.71171171    0.00014589
   -1.62162162    0.00014894
   -1.53153153    0.00015208
   -1.44144144    0.00015534
   -1.35135135    0.00015873
   -1.26126126    0.00016223
   -1.17117117    0.00016587
   -1.08108108    0.00016965
   -0.99099099    0.00017355
   -0.90090090    0.00017762
   -0.81081081    0.00018184
   -0.72072072    0.00018623
   -0.63063063    0.00019081
   -0.54054054    0.00019558
   -0.45045045    0.00020055
   -0.36036036    0.00020574
   -0.27027027    0.00021114
   -0.18018018    0.00021678
   -0.09009009    0.05405470
    0.00000000    0.00022878
    0.09009009    0.00023518
    0.18018018    0.00024186
    0.27027027    0.00024885
    0.36036036    0.00025618
    0.45045045    0.00026388
    0.54054054    0.00027199
    0.63063063    0.00028053
    0.72072072    0.00028954
    0.81081081    0.00029905
    0.90090090    0.00030911
    0.99099099    0.00031974
    1.08108108    0.00033101
    1.17117117    0.00034295
    1.26126126    0.00035563
    1.35135135    0.00036912
    1.44144144    0.00038349
    1.53153153    0.00039882
    1.62162162    0.00041521
    1.71171171    0.00043276
    1.80180180    0.00045157
    1.89189189    0.00047179
    1.98198198    0.00049357
    2.07207207    0.00051707
    2.16216216    0.00054248
    2.25225225    0.00057003
    2.34234234    0.00059997
    2.43243243    0.00063261
    2.52252252    0.00066828
    2.61261261    0.00070738
    2.70270270    0.00075039
    2.79279279    0.00079785
    2.88288288    0.00085043
    2.97297297    0.00090889
    3.06306306    0.00097416
    3.15315315    0.00104737
    3.24324324    0.00112988
    3.33333333    0.00122333
    3.42342342    0.00132975
    3.51351351    0.00145167
    3.60360360    0.00159219
    3.69369369    0.00175525
    3.78378378    0.00194579
    3.87387387    0.00217014
    3.96396396    0.00243636
    4.05405405    0.00275485
    4.14414414    0.00313901
    4.23423423    0.00360607
    4.32432432    0.00417796
    4.41441441    0.00488184
    4.50450450    0.00574962
    4.59459459    0.00681433
    4.68468468    0.00809994
    4.77477477    0.00959873
    4.86486486    0.01123203
    4.95495495    0.01280469
    5.04504505    0.01399937
    5.13513514    0.01448006
    5.22522523    0.01409051
    5.31531532    0.01297092
    5.40540541    0.01145467
    5.49549550    0.00986641
    5.58558559    0.00840922
    5.67567568    0.00716673
    5.76576577    0.00614912
    5.85585586    0.00533365
    5.94594595    0.00468804
    6.03603604    0.00418114
    6.12612613    0.00378662
    6.21621622    0.00348369
    6.30630631    0.00325655
    6.39639640    0.00309367
    6.48648649    0.00298698
    6.57657658    0.00293141
    6.66666667    0.00292445
    6.75675676    0.00296601
    6.84684685    0.00305842
    6.93693694    0.00320660
    7.02702703    0.00341841
    7.11711712    0.00370514
    7.20720721    0.00408200
    7.29729730    0.00456835
    7.38738739    0.00518689
    7.47747748    0.00596022
    7.56756757    0.00690156
    7.65765766    0.00799533
    7.74774775    0.00916540
    7.83783784    0.01024377
    7.92792793    0.01098242
    8.01801802    0.01115564
    8.10810811    0.01070807
    8.19819820    0.00979738
    8.28828829    0.00867948
    8.37837838    0.00756889
    8.46846847    0.00658510
    8.55855856    0.00576980
    8.64864865    0.00512165
    8.73873874    0.00462205
    8.82882883    0.00424893
    8.91891892    0.00398261
    9.00900901    0.00380777
    9.09909910    0.00371365
    9.18918919    0.00369388
    9.27927928    0.00374611
    9.36936937    0.00387185
    9.45945946    0.00407651
    9.54954955    0.00436951
    9.63963964    0.00476439
    9.72972973    0.00527841
    9.81981982    0.00593081
    9.90990991    0.00673837
   10.00000000    0.00770722
   10.09009009    0.00882303
   10.18018018    0.01004928
   10.27027027    0.01134521
   10.36036036    0.01269035
   10.45045045    0.01406884
   10.54054054    0.01539637
   10.63063063    0.01645393
   10.72072072    0.01692644
   10.81081081    0.01657576
   10.90090090    0.01542031
   10.99099099    0.01373297
