# final state angular momentum:   1
# broadening parameter (in eV):   0.800000000000    
# absorbing atom type:   1
# Energy (eV)   sigmatot   sigmaup    sigmadown 
  -10.00000000    0.00001265    0.00000637    0.00000628
   -9.89966555    0.00001274    0.00000642    0.00000632
   -9.79933110    0.00001284    0.00000647    0.00000637
   -9.69899666    0.00001294    0.00000651    0.00000642
   -9.59866221    0.00001303    0.00000656    0.00000647
   -9.49832776    0.00001313    0.00000661    0.00000652
   -9.39799331    0.00001324    0.00000666    0.00000657
   -9.29765886    0.00001334    0.00000672    0.00000662
   -9.19732441    0.00001344    0.00000677    0.00000667
   -9.09698997    0.00001355    0.00000682    0.00000673
   -8.99665552    0.00001366    0.00000688    0.00000678
   -8.89632107    0.00001377    0.00000693    0.00000684
   -8.79598662    0.00001388    0.00000698    0.00000689
   -8.69565217    0.00001399    0.00000704    0.00000695
   -8.59531773    0.00001410    0.00000710    0.00000700
   -8.49498328    0.00001422    0.00000716    0.00000706
   -8.39464883    0.00001433    0.00000721    0.00000712
   -8.29431438    0.00001445    0.00000727    0.00000718
   -8.19397993    0.00001457    0.00000733    0.00000724
   -8.09364548    0.00001470    0.00000739    0.00000730
   -7.99331104    0.00001482    0.00000746    0.00000736
   -7.89297659    0.00001495    0.00000752    0.00000743
   -7.79264214    0.00001507    0.00000758    0.00000749
   -7.69230769    0.00001520    0.00000765    0.00000756
   -7.59197324    0.00001534    0.00000771    0.00000762
   -7.49163880    0.00001547    0.00000778    0.00000769
   -7.39130435    0.00001561    0.00000785    0.00000776
   -7.29096990    0.00001575    0.00000792    0.00000783
   -7.19063545    0.00001589    0.00000799    0.00000790
   -7.09030100    0.00001603    0.00000806    0.00000797
   -6.98996656    0.00001618    0.00000813    0.00000805
   -6.88963211    0.00001633    0.00000820    0.00000812
   -6.78929766    0.00001648    0.00000828    0.00000820
   -6.68896321    0.00001663    0.00000835    0.00000828
   -6.58862876    0.00001678    0.00000843    0.00000835
   -6.48829431    0.00001694    0.00000851    0.00000844
   -6.38795987    0.00001710    0.00000859    0.00000852
   -6.28762542    0.00001727    0.00000867    0.00000860
   -6.18729097    0.00001744    0.00000875    0.00000869
   -6.08695652    0.00001761    0.00000883    0.00000877
   -5.98662207    0.00001778    0.00000892    0.00000886
   -5.88628763    0.00001796    0.00000901    0.00000895
   -5.78595318    0.00001814    0.00000909    0.00000904
   -5.68561873    0.00001832    0.00000918    0.00000913
   -5.58528428    0.00001851    0.00000928    0.00000923
   -5.48494983    0.00001870    0.00000937    0.00000933
   -5.38461538    0.00001889    0.00000946    0.00000943
   -5.28428094    0.00001909    0.00000956    0.00000953
   -5.18394649    0.00001929    0.00000966    0.00000963
   -5.08361204    0.00001950    0.00000976    0.00000974
   -4.98327759    0.00001971    0.00000986    0.00000985
   -4.88294314    0.00001992    0.00000996    0.00000996
   -4.78260870    0.00002014    0.00001007    0.00001007
   -4.68227425    0.00002036    0.00001018    0.00001019
   -4.58193980    0.00002059    0.00001029    0.00001031
   -4.48160535    0.00002083    0.00001040    0.00001043
   -4.38127090    0.00002107    0.00001051    0.00001055
   -4.28093645    0.00002131    0.00001063    0.00001068
   -4.18060201    0.00002156    0.00001075    0.00001081
   -4.08026756    0.00002182    0.00001087    0.00001094
   -3.97993311    0.00002208    0.00001100    0.00001108
