# final state angular momentum:   1
# broadening parameter (in eV):    1.50000000000    
# absorbing atom type:   1
# Energy (eV)   sigmatot   sigmaup    sigmadown 
  -10.00000000    0.00002365    0.00001191    0.00001174
   -9.89966555    0.00002383    0.00001200    0.00001183
   -9.79933110    0.00002401    0.00001209    0.00001191
   -9.69899666    0.00002419    0.00001218    0.00001200
   -9.59866221    0.00002437    0.00001227    0.00001210
   -9.49832776    0.00002456    0.00001237    0.00001219
   -9.39799331    0.00002475    0.00001246    0.00001228
   -9.29765886    0.00002494    0.00001256    0.00001238
   -9.19732441    0.00002513    0.00001266    0.00001248
   -9.09698997    0.00002533    0.00001275    0.00001258
   -8.99665552    0.00002553    0.00001285    0.00001268
   -8.89632107    0.00002573    0.00001295    0.00001278
   -8.79598662    0.00002594    0.00001306    0.00001288
   -8.69565217    0.00002615    0.00001316    0.00001298
   -8.59531773    0.00002636    0.00001327    0.00001309
   -8.49498328    0.00002657    0.00001337    0.00001320
   -8.39464883    0.00002679    0.00001348    0.00001331
   -8.29431438    0.00002701    0.00001359    0.00001342
   -8.19397993    0.00002723    0.00001371    0.00001353
   -8.09364548    0.00002746    0.00001382    0.00001364
   -7.99331104    0.00002769    0.00001393    0.00001376
   -7.89297659    0.00002793    0.00001405    0.00001388
   -7.79264214    0.00002817    0.00001417    0.00001400
   -7.69230769    0.00002841    0.00001429    0.00001412
   -7.59197324    0.00002865    0.00001441    0.00001424
   -7.49163880    0.00002890    0.00001454    0.00001437
   -7.39130435    0.00002916    0.00001466    0.00001449
   -7.29096990    0.00002941    0.00001479    0.00001462
   -7.19063545    0.00002967    0.00001492    0.00001476
   -7.09030100    0.00002994    0.00001505    0.00001489
   -6.98996656    0.00003021    0.00001519    0.00001503
   -6.88963211    0.00003048    0.00001532    0.00001516
   -6.78929766    0.00003076    0.00001546    0.00001530
   -6.68896321    0.00003105    0.00001560    0.00001545
   -6.58862876    0.00003134    0.00001574    0.00001559
   -6.48829431    0.00003163    0.00001589    0.00001574
   -6.38795987    0.00003193    0.00001604    0.00001589
   -6.28762542    0.00003223    0.00001619    0.00001605
   -6.18729097    0.00003254    0.00001634    0.00001620
   -6.08695652    0.00003286    0.00001649    0.00001636
   -5.98662207    0.00003318    0.00001665    0.00001653
   -5.88628763    0.00003350    0.00001681    0.00001669
   -5.78595318    0.00003384    0.00001698    0.00001686
   -5.68561873    0.00003418    0.00001714    0.00001703
   -5.58528428    0.00003452    0.00001731    0.00001721
   -5.48494983    0.00003487    0.00001748    0.00001739
   -5.38461538    0.00003523    0.00001766    0.00001757
   -5.28428094    0.00003559    0.00001784    0.00001776
   -5.18394649    0.00003597    0.00001802    0.00001795
   -5.08361204    0.00003635    0.00001820    0.00001814
   -4.98327759    0.00003673    0.00001839    0.00001834
   -4.88294314    0.00003713    0.00001858    0.00001854
   -4.78260870    0.00003753    0.00001878    0.00001875
   -4.68227425    0.00003794    0.00001898    0.00001896
   -4.58193980    0.00003836    0.00001918    0.00001918
   -4.48160535    0.00003879    0.00001939    0.00001940
   -4.38127090    0.00003923    0.00001960    0.00001963
   -4.28093645    0.00003968    0.00001982    0.00001986
   -4.18060201    0.00004014    0.00002004    0.00002010
   -4.08026756    0.00004060    0.00002026    0.00002034
   -3.97993311    0.00004108    0.00002049    0.00002059
   -3.87959866    0.00004157    0.00002072    0.00002085
   -3.77926421    0.00004207    0.00002096    0.00002111
   -3.67892977    0.00004259    0.00002120    0.00002138
   -3.57859532    0.00004311    0.00002145    0.00002166
   -3.47826087    0.00004365    0.00002171    0.00002194
   -3.37792642    0.00004420    0.00002197    0.00002224
   -3.27759197    0.00004477    0.00002223    0.00002254
   -3.17725753    0.00004535    0.00002250    0.00002285
   -3.07692308    0.00004595    0.00002278    0.00002317
   -2.97658863    0.00004656    0.00002306    0.00002349
   -2.87625418    0.00004719    0.00002336    0.00002383
   -2.77591973    0.00004783    0.00002365    0.00002418
   -2.67558528    0.00004850    0.00002396    0.00002454
   -2.57525084    0.00004918    0.00002427    0.00002492
   -2.47491639    0.00004989    0.00002459    0.00002530
   -2.37458194    0.00005061    0.00002491    0.00002570
   -2.27424749    0.00005136    0.00002525    0.00002611
   -2.17391304    0.00005214    0.00002559    0.00002654
   -2.07357860    0.00005293    0.00002594    0.00002699
   -1.97324415    0.00005376    0.00002630    0.00002745
   -1.87290970    0.00005461    0.00002668    0.00002793
   -1.77257525    0.00005549    0.00002706    0.00002843
   -1.67224080    0.00005640    0.00002745    0.00002895
   -1.57190635    0.00005735    0.00002785    0.00002950
   -1.47157191    0.00005833    0.00002826    0.00003007
   -1.37123746    0.00005934    0.00002868    0.00003066
   -1.27090301    0.00006040    0.00002912    0.00003128
   -1.17056856    0.00006149    0.00002957    0.00003192
   -1.07023411    0.00006263    0.00003003    0.00003260
   -0.96989967    0.00006381    0.00003050    0.00003331
   -0.86956522    0.00006504    0.00003099    0.00003405
   -0.76923077    0.00006632    0.00003150    0.00003482
   -0.66889632    0.00006764    0.00003202    0.00003562
   -0.56856187    0.00006901    0.00003255    0.00003646
   -0.46822742    0.00007044    0.00003311    0.00003733
   -0.36789298    0.00007190    0.00003368    0.00003823
   -0.26755853    0.00007342    0.00003427    0.00003915
   -0.16722408    0.00007497    0.00003488    0.00004009
   -0.06688963    0.00007656    0.00003551    0.00004105
    0.03344482    0.00007818    0.00003616    0.00004202
    0.13377926    0.00007983    0.00003684    0.00004299
    0.23411371    0.00008150    0.00003754    0.00004396
    0.33444816    0.00008317    0.00003827    0.00004491
    0.43478261    0.00008486    0.00003902    0.00004583
    0.53511706    0.00008654    0.00003980    0.00004674
    0.63545151    0.00008823    0.00004062    0.00004761
    0.73578595    0.00008992    0.00004146    0.00004845
    0.83612040    0.00009161    0.00004234    0.00004927
    0.93645485    0.00009331    0.00004326    0.00005005
    1.03678930    0.00009502    0.00004421    0.00005081
    1.13712375    0.00009676    0.00004521    0.00005155
    1.23745819    0.00009853    0.00004625    0.00005228
    1.33779264    0.00010035    0.00004733    0.00005302
    1.43812709    0.00010223    0.00004847    0.00005376
    1.53846154    0.00010419    0.00004966    0.00005453
    1.63879599    0.00010624    0.00005090    0.00005534
    1.73913043    0.00010840    0.00005221    0.00005619
    1.83946488    0.00011068    0.00005358    0.00005710
    1.93979933    0.00011310    0.00005502    0.00005808
    2.04013378    0.00011568    0.00005653    0.00005914
    2.14046823    0.00011842    0.00005813    0.00006029
    2.24080268    0.00012134    0.00005981    0.00006152
    2.34113712    0.00012446    0.00006159    0.00006287
    2.44147157    0.00012779    0.00006347    0.00006432
    2.54180602    0.00013134    0.00006546    0.00006589
    2.64214047    0.00013514    0.00006756    0.00006758
    2.74247492    0.00013920    0.00006979    0.00006941
    2.84280936    0.00014354    0.00007216    0.00007138
    2.94314381    0.00014818    0.00007467    0.00007350
    3.04347826    0.00015313    0.00007735    0.00007578
    3.14381271    0.00015843    0.00008020    0.00007824
    3.24414716    0.00016410    0.00008323    0.00008087
    3.34448161    0.00017016    0.00008646    0.00008370
    3.44481605    0.00017664    0.00008990    0.00008674
    3.54515050    0.00018357    0.00009357    0.00009000
    3.64548495    0.00019097    0.00009748    0.00009349
    3.74581940    0.00019887    0.00010163    0.00009723
    3.84615385    0.00020728    0.00010605    0.00010123
    3.94648829    0.00021624    0.00011074    0.00010550
    4.04682274    0.00022574    0.00011571    0.00011004
    4.14715719    0.00023580    0.00012094    0.00011486
    4.24749164    0.00024641    0.00012644    0.00011996
    4.34782609    0.00025754    0.00013219    0.00012535
    4.44816054    0.00026916    0.00013817    0.00013099
    4.54849498    0.00028124    0.00014436    0.00013688
    4.64882943    0.00029371    0.00015071    0.00014300
    4.74916388    0.00030651    0.00015719    0.00014932
    4.84949833    0.00031957    0.00016376    0.00015581
    4.94983278    0.00033283    0.00017039    0.00016245
    5.05016722    0.00034626    0.00017705    0.00016921
    5.15050167    0.00035982    0.00018373    0.00017609
    5.25083612    0.00037352    0.00019043    0.00018308
    5.35117057    0.00038738    0.00019717    0.00019021
    5.45150502    0.00040146    0.00020398    0.00019748
    5.55183946    0.00041579    0.00021088    0.00020491
    5.65217391    0.00043042    0.00021791    0.00021251
    5.75250836    0.00044535    0.00022508    0.00022027
    5.85284281    0.00046053    0.00023238    0.00022816
    5.95317726    0.00047585    0.00023976    0.00023609
    6.05351171    0.00049113    0.00024717    0.00024396
    6.15384615    0.00050611    0.00025448    0.00025163
    6.25418060    0.00052047    0.00026158    0.00025890
    6.35451505    0.00053386    0.00026830    0.00026556
    6.45484950    0.00054588    0.00027447    0.00027141
    6.55518395    0.00055616    0.00027994    0.00027621
    6.65551839    0.00056437    0.00028457    0.00027980
    6.75585284    0.00057025    0.00028822    0.00028203
    6.85618729    0.00057363    0.00029082    0.00028281
    6.95652174    0.00057444    0.00029230    0.00028214
    7.05685619    0.00057272    0.00029265    0.00028007
    7.15719064    0.00056861    0.00029188    0.00027673
    7.25752508    0.00056231    0.00029003    0.00027229
    7.35785953    0.00055413    0.00028717    0.00026696
