# final state angular momentum:   2
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma_tot   sigma_up    sigma_down 
  -10.00000000    0.00000016    0.00000007    0.00000008
   -9.89966555    0.00000016    0.00000007    0.00000009
   -9.79933110    0.00000016    0.00000008    0.00000009
   -9.69899666    0.00000016    0.00000008    0.00000009
   -9.59866221    0.00000017    0.00000008    0.00000009
   -9.49832776    0.00000017    0.00000008    0.00000009
   -9.39799331    0.00000017    0.00000008    0.00000009
   -9.29765886    0.00000018    0.00000008    0.00000009
   -9.19732441    0.00000018    0.00000008    0.00000009
   -9.09698997    0.00000018    0.00000009    0.00000010
   -8.99665552    0.00000018    0.00000009    0.00000010
   -8.89632107    0.00000019    0.00000009    0.00000010
   -8.79598662    0.00000019    0.00000009    0.00000010
   -8.69565217    0.00000019    0.00000009    0.00000010
   -8.59531773    0.00000020    0.00000009    0.00000010
   -8.49498328    0.00000020    0.00000010    0.00000010
   -8.39464883    0.00000020    0.00000010    0.00000011
   -8.29431438    0.00000021    0.00000010    0.00000011
   -8.19397993    0.00000021    0.00000010    0.00000011
   -8.09364548    0.00000021    0.00000010    0.00000011
   -7.99331104    0.00000022    0.00000011    0.00000011
   -7.89297659    0.00000022    0.00000011    0.00000011
   -7.79264214    0.00000023    0.00000011    0.00000012
   -7.69230769    0.00000023    0.00000011    0.00000012
   -7.59197324    0.00000024    0.00000012    0.00000012
   -7.49163880    0.00000024    0.00000012    0.00000012
   -7.39130435    0.00000025    0.00000012    0.00000012
   -7.29096990    0.00000025    0.00000012    0.00000013
   -7.19063545    0.00000026    0.00000013    0.00000013
   -7.09030100    0.00000026    0.00000013    0.00000013
   -6.98996656    0.00000027    0.00000013    0.00000013
   -6.88963211    0.00000027    0.00000014    0.00000013
   -6.78929766    0.00000028    0.00000014    0.00000014
   -6.68896321    0.00000028    0.00000014    0.00000014
   -6.58862876    0.00000029    0.00000015    0.00000014
   -6.48829431    0.00000030    0.00000015    0.00000014
   -6.38795987    0.00000030    0.00000016    0.00000015
   -6.28762542    0.00000031    0.00000016    0.00000015
   -6.18729097    0.00000032    0.00000016    0.00000015
   -6.08695652    0.00000032    0.00000017    0.00000016
   -5.98662207    0.00000033    0.00000017    0.00000016
   -5.88628763    0.00000034    0.00000018    0.00000016
   -5.78595318    0.00000035    0.00000018    0.00000016
   -5.68561873    0.00000036    0.00000019    0.00000017
   -5.58528428    0.00000037    0.00000020    0.00000017
   -5.48494983    0.00000038    0.00000020    0.00000018
   -5.38461538    0.00000039    0.00000021    0.00000018
   -5.28428094    0.00000040    0.00000021    0.00000018
