# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.00005926
   -9.88988989    0.00005991
   -9.77977978    0.00006058
   -9.66966967    0.00006126
   -9.55955956    0.00006195
   -9.44944945    0.00006265
   -9.33933934    0.00006337
   -9.22922923    0.00006410
   -9.11911912    0.00006484
   -9.00900901    0.00006560
   -8.89889890    0.00006637
   -8.78878879    0.00006716
   -8.67867868    0.00006796
   -8.56856857    0.00006877
   -8.45845846    0.00006960
   -8.34834835    0.00007045
   -8.23823824    0.00007132
   -8.12812813    0.00007220
   -8.01801802    0.00007310
   -7.90790791    0.00007402
   -7.79779780    0.00007495
   -7.68768769    0.00007591
   -7.57757758    0.00007688
   -7.46746747    0.00007788
   -7.35735736    0.00007890
   -7.24724725    0.00007993
   -7.13713714    0.00008099
   -7.02702703    0.00008208
   -6.91691692    0.00008318
   -6.80680681    0.00008431
   -6.69669670    0.00008547
   -6.58658659    0.00008665
   -6.47647648    0.00008786
   -6.36636637    0.00008909
   -6.25625626    0.00009035
   -6.14614615    0.00009165
   -6.03603604    0.00009297
   -5.92592593    0.00009432
   -5.81581582    0.00009571
   -5.70570571    0.00009713
   -5.59559560    0.00009858
   -5.48548549    0.00010007
   -5.37537538    0.00010160
   -5.26526527    0.00010316
   -5.15515516    0.00010476
   -5.04504505    0.00010641
   -4.93493493    0.00010809
   -4.82482482    0.00010982
   -4.71471471    0.00011160
   -4.60460460    0.00011342
   -4.49449449    0.00011529
   -4.38438438    0.00011721
   -4.27427427    0.00011918
   -4.16416416    0.00012121
   -4.05405405    0.00012330
   -3.94394394    0.00012544
   -3.83383383    0.00012765
   -3.72372372    0.00012992
   -3.61361361    0.00013226
   -3.50350350    0.00013466
   -3.39339339    0.00013714
   -3.28328328    0.00013970
   -3.17317317    0.00014233
   -3.06306306    0.00014504
   -2.95295295    0.00014784
   -2.84284284    0.00015073
   -2.73273273    0.00015372
   -2.62262262    0.00015680
   -2.51251251    0.00015998
   -2.40240240    0.00016328
   -2.29229229    0.00016668
   -2.18218218    0.00017020
   -2.07207207    0.00017385
   -1.96196196    0.00017763
   -1.85185185    0.00018154
   -1.74174174    0.00018560
   -1.63163163    0.00018981
   -1.52152152    0.00019418
   -1.41141141    0.00019872
   -1.30130130    0.00020344
   -1.19119119    0.00020835
   -1.08108108    0.00021345
   -0.97097097    0.00021877
   -0.86086086    0.00022431
   -0.75075075    0.00023008
   -0.64064064    0.00023611
   -0.53053053    0.00024241
   -0.42042042    0.00024899
   -0.31031031    0.00025587
   -0.20020020    0.00026307
   -0.09009009    0.00027061
    0.02002002    0.00027846
    0.13013013    0.00028687
    0.24024024    0.00029561
    0.35035035    0.00030481
    0.46046046    0.00031450
    0.57057057    0.00032473
    0.68068068    0.00033553
    0.79079079    0.00034695
    0.90090090    0.00035904
    1.01101101    0.00037187
    1.12112112    0.00038549
    1.23123123    0.00040000
    1.34134134    0.00041546
    1.45145145    0.00043197
    1.56156156    0.00044965
    1.67167167    0.00046861
    1.78178178    0.00048899
    1.89189189    0.00051097
    2.00200200    0.00053471
    2.11211211    0.00056044
    2.22222222    0.00058840
    2.33233233    0.00061884
    2.44244244    0.00065208
    2.55255255    0.00068842
    2.66266266    0.00072819
    2.77277277    0.00077172
    2.88288288    0.00081930
    2.99299299    0.00087125
    3.10310310    0.00092792
    3.21321321    0.00098975
    3.32332332    0.00105727
    3.43343343    0.00113119
    3.54354354    0.00121235
    3.65365365    0.00130184
    3.76376376    0.00140086
    3.87387387    0.00151065
    3.98398398    0.00163240
    4.09409409    0.00176749
    4.20420420    0.00191798
    4.31431431    0.00208706
    4.42442442    0.00227900
    4.53453453    0.00249866
    4.64464464    0.00275054
    4.75475475    0.00303792
    4.86486486    0.00336213
    4.97497497    0.00372203
    5.08508509    0.00411363
    5.19519520    0.00452993
    5.30530531    0.00496082
    5.41541542    0.00539358
    5.52552553    0.00581424
    5.63563564    0.00621021
    5.74574575    0.00657317
    5.85585586    0.00689974
    5.96596597    0.00718858
    6.07607608    0.00743572
    6.18618619    0.00763195
    6.29629630    0.00776400
    6.40640641    0.00781923
    6.51651652    0.00779124
    6.62662663    0.00768408
    6.73673674    0.00751300
    6.84684685    0.00730108
    6.95695696    0.00707311
    7.06706707    0.00684944
    7.17717718    0.00664247
    7.28728729    0.00645697
    7.39739740    0.00629301
    7.50750751    0.00614955
    7.61761762    0.00602657
    7.72772773    0.00592517
    7.83783784    0.00584616
    7.94794795    0.00578832
    8.05805806    0.00574765
    8.16816817    0.00571804
    8.27827828    0.00569264
    8.38838839    0.00566472
    8.49849850    0.00562780
    8.60860861    0.00557629
    8.71871872    0.00550764
    8.82882883    0.00542413
    8.93893894    0.00533253
    9.04904905    0.00524155
    9.15915916    0.00515917
    9.26926927    0.00509195
    9.37937938    0.00504566
    9.48948949    0.00502586
    9.59959960    0.00503684
    9.70970971    0.00507935
    9.81981982    0.00514859
    9.92992993    0.00523406
   10.04004004    0.00532175
   10.15015015    0.00539782
   10.26026026    0.00545174
   10.37037037    0.00547801
   10.48048048    0.00547686
   10.59059059    0.00545450
   10.70070070    0.00542265
   10.81081081    0.00539601
   10.92092092    0.00538771
   11.03103103    0.00540439
   11.14114114    0.00544349
   11.25125125    0.00549376
   11.36136136    0.00553879
   11.47147147    0.00556151
   11.58158158    0.00554823
   11.69169169    0.00549126
   11.80180180    0.00539026
   11.91191191    0.00525181
   12.02202202    0.00508702
   12.13213213    0.00490786
   12.24224224    0.00472417
   12.35235235    0.00454240
