# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.02723134
   -9.86622074    0.02767173
   -9.73244147    0.02789601
   -9.59866221    0.02791568
   -9.46488294    0.02789802
   -9.33110368    0.02807708
   -9.19732441    0.02865686
   -9.06354515    0.02976709
   -8.92976589    0.03145600
   -8.79598662    0.03368469
   -8.66220736    0.03631424
   -8.52842809    0.03911478
   -8.39464883    0.04184066
   -8.26086957    0.04435681
   -8.12709030    0.04669668
   -7.99331104    0.04895912
   -7.85953177    0.05113889
   -7.72575251    0.05307186
   -7.59197324    0.05454616
   -7.45819398    0.05546561
   -7.32441472    0.05594096
   -7.19063545    0.05628397
   -7.05685619    0.05692021
   -6.92307692    0.05824065
   -6.78929766    0.06044565
   -6.65551839    0.06343279
   -6.52173913    0.06675879
   -6.38795987    0.06973406
   -6.25418060    0.07170003
   -6.12040134    0.07236759
   -5.98662207    0.07194597
   -5.85284281    0.07098062
   -5.71906355    0.07009590
   -5.58528428    0.06979702
   -5.45150502    0.07034029
   -5.31772575    0.07168528
   -5.18394649    0.07356680
   -5.05016722    0.07567134
   -4.91638796    0.07781650
   -4.78260870    0.08001084
   -4.64882943    0.08234601
   -4.51505017    0.08477411
   -4.38127090    0.08692155
   -4.24749164    0.08812952
   -4.11371237    0.08777634
   -3.97993311    0.08567643
   -3.84615385    0.08221188
   -3.71237458    0.07807348
   -3.57859532    0.07388805
   -3.44481605    0.07006215
   -3.31103679    0.06683894
   -3.17725753    0.06435113
   -3.04347826    0.06258743
   -2.90969900    0.06137588
   -2.77591973    0.06046335
   -2.64214047    0.05963189
   -2.50836120    0.05875103
   -2.37458194    0.05775315
   -2.24080268    0.05656861
   -2.10702341    0.05505529
   -1.97324415    0.05300092
   -1.83946488    0.05025102
   -1.70568562    0.04686564
   -1.57190635    0.04314226
   -1.43812709    0.03947768
   -1.30434783    0.03619679
   -1.17056856    0.03346307
   -1.03678930    0.03127294
   -0.90301003    0.02948686
   -0.76923077    0.02788095
   -0.63545151    0.02623273
   -0.50167224    0.02442241
   -0.36789298    0.02247682
   -0.23411371    0.02051709
