# final state angular momentum:   1
# broadening parameter (in eV):   0.800000000000    
# absorbing atom type:   1
# Energy (eV)   sigma
  -10.00000000    0.00059360
   -9.95995996    0.00059586
   -9.91991992    0.00059813
   -9.87987988    0.00060041
   -9.83983984    0.00060271
   -9.79979980    0.00060502
   -9.75975976    0.00060735
   -9.71971972    0.00060969
   -9.67967968    0.00061204
   -9.63963964    0.00061441
   -9.59959960    0.00061679
   -9.55955956    0.00061919
   -9.51951952    0.00062160
   -9.47947948    0.00062402
   -9.43943944    0.00062646
   -9.39939940    0.00062892
   -9.35935936    0.00063138
   -9.31931932    0.00063387
   -9.27927928    0.00063637
   -9.23923924    0.00063888
   -9.19919920    0.00064141
   -9.15915916    0.00064396
   -9.11911912    0.00064652
   -9.07907908    0.00064910
   -9.03903904    0.00065169
   -8.99899900    0.00065430
   -8.95895896    0.00065693
   -8.91891892    0.00065957
   -8.87887888    0.00066223
   -8.83883884    0.00066490
   -8.79879880    0.00066759
   -8.75875876    0.00067030
   -8.71871872    0.00067303
   -8.67867868    0.00067577
   -8.63863864    0.00067853
   -8.59859860    0.00068131
   -8.55855856    0.00068410
   -8.51851852    0.00068692
   -8.47847848    0.00068975
   -8.43843844    0.00069260
   -8.39839840    0.00069547
   -8.35835836    0.00069835
   -8.31831832    0.00070126
   -8.27827828    0.00070418
   -8.23823824    0.00070713
   -8.19819820    0.00071009
   -8.15815816    0.00071307
   -8.11811812    0.00071607
   -8.07807808    0.00071909
   -8.03803804    0.00072213
   -7.99799800    0.00072520
   -7.95795796    0.00072828
   -7.91791792    0.00073138
   -7.87787788    0.00073450
   -7.83783784    0.00073764
   -7.79779780    0.00074081
   -7.75775776    0.00074399
   -7.71771772    0.00074720
   -7.67767768    0.00075043
   -7.63763764    0.00075368
   -7.59759760    0.00075695
   -7.55755756    0.00076025
   -7.51751752    0.00076356
   -7.47747748    0.00076690
   -7.43743744    0.00077026
   -7.39739740    0.00077365
   -7.35735736    0.00077706
   -7.31731732    0.00078049
   -7.27727728    0.00078395
   -7.23723724    0.00078743
   -7.19719720    0.00079093
   -7.15715716    0.00079446
   -7.11711712    0.00079801
   -7.07707708    0.00080159
   -7.03703704    0.00080520
   -6.99699700    0.00080883
   -6.95695696    0.00081248
   -6.91691692    0.00081616
   -6.87687688    0.00081987
   -6.83683684    0.00082360
   -6.79679680    0.00082736
   -6.75675676    0.00083115
   -6.71671672    0.00083496
   -6.67667668    0.00083881
   -6.63663664    0.00084268
   -6.59659660    0.00084657
   -6.55655656    0.00085050
   -6.51651652    0.00085445
   -6.47647648    0.00085844
   -6.43643644    0.00086245
   -6.39639640    0.00086649
   -6.35635636    0.00087057
   -6.31631632    0.00087467
   -6.27627628    0.00087880
   -6.23623624    0.00088297
   -6.19619620    0.00088716
   -6.15615616    0.00089139
   -6.11611612    0.00089565
   -6.07607608    0.00089994
   -6.03603604    0.00090426
   -5.99599600    0.00090862
   -5.95595596    0.00091301
   -5.91591592    0.00091743
   -5.87587588    0.00092189
   -5.83583584    0.00092638
   -5.79579580    0.00093090
   -5.75575576    0.00093546
   -5.71571572    0.00094006
   -5.67567568    0.00094469
   -5.63563564    0.00094936
   -5.59559560    0.00095406
   -5.55555556    0.00095881
   -5.51551552    0.00096358
   -5.47547548    0.00096840
   -5.43543544    0.00097326
   -5.39539540    0.00097815
   -5.35535536    0.00098308
   -5.31531532    0.00098805
   -5.27527528    0.00099307
   -5.23523524    0.00099812
   -5.19519520    0.00100321
   -5.15515516    0.00100835
   -5.11511512    0.00101352
   -5.07507508    0.00101874
   -5.03503504    0.00102400
   -4.99499499    0.00102931
   -4.95495495    0.00103465
   -4.91491491    0.00104005
   -4.87487487    0.00104548
   -4.83483483    0.00105097
   -4.79479479    0.00105650
   -4.75475475    0.00106207
   -4.71471471    0.00106769
   -4.67467467    0.00107336
   -4.63463463    0.00107908
   -4.59459459    0.00108485
   -4.55455455    0.00109066
   -4.51451451    0.00109653
   -4.47447447    0.00110244
   -4.43443443    0.00110841
   -4.39439439    0.00111443
   -4.35435435    0.00112050
   -4.31431431    0.00112662
   -4.27427427    0.00113280
   -4.23423423    0.00113903
   -4.19419419    0.00114532
   -4.15415415    0.00115166
   -4.11411411    0.00115806
   -4.07407407    0.00116451
   -4.03403403    0.00117103
   -3.99399399    0.00117760
   -3.95395395    0.00118423
   -3.91391391    0.00119092
   -3.87387387    0.00119767
   -3.83383383    0.00120448
   -3.79379379    0.00121136
   -3.75375375    0.00121830
   -3.71371371    0.00122530
   -3.67367367    0.00123237
   -3.63363363    0.00123950
   -3.59359359    0.00124670
   -3.55355355    0.00125397
   -3.51351351    0.00126130
   -3.47347347    0.00126871
   -3.43343343    0.00127618
   -3.39339339    0.00128373
   -3.35335335    0.00129134
   -3.31331331    0.00129904
   -3.27327327    0.00130680
   -3.23323323    0.00131464
   -3.19319319    0.00132256
   -3.15315315    0.00133055
   -3.11311311    0.00133862
   -3.07307307    0.00134677
   -3.03303303    0.00135500
   -2.99299299    0.00136332
   -2.95295295    0.00137171
   -2.91291291    0.00138019
   -2.87287287    0.00138875
   -2.83283283    0.00139741
   -2.79279279    0.00140614
   -2.75275275    0.00141497
   -2.71271271    0.00142389
   -2.67267267    0.00143290
   -2.63263263    0.00144200
