# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.00112826
   -9.95995996    0.00113296
   -9.91991992    0.00113768
   -9.87987988    0.00114244
   -9.83983984    0.00114722
   -9.79979980    0.00115204
   -9.75975976    0.00115689
   -9.71971972    0.00116177
   -9.67967968    0.00116668
   -9.63963964    0.00117162
   -9.59959960    0.00117660
   -9.55955956    0.00118161
   -9.51951952    0.00118665
   -9.47947948    0.00119172
   -9.43943944    0.00119683
   -9.39939940    0.00120197
   -9.35935936    0.00120715
   -9.31931932    0.00121236
   -9.27927928    0.00121761
   -9.23923924    0.00122289
   -9.19919920    0.00122821
   -9.15915916    0.00123356
   -9.11911912    0.00123895
   -9.07907908    0.00124437
   -9.03903904    0.00124984
   -8.99899900    0.00125533
   -8.95895896    0.00126087
   -8.91891892    0.00126645
   -8.87887888    0.00127206
   -8.83883884    0.00127771
   -8.79879880    0.00128340
   -8.75875876    0.00128913
   -8.71871872    0.00129490
   -8.67867868    0.00130071
   -8.63863864    0.00130656
   -8.59859860    0.00131245
   -8.55855856    0.00131838
   -8.51851852    0.00132436
   -8.47847848    0.00133037
   -8.43843844    0.00133643
   -8.39839840    0.00134253
   -8.35835836    0.00134868
   -8.31831832    0.00135487
   -8.27827828    0.00136110
   -8.23823824    0.00136738
   -8.19819820    0.00137370
   -8.15815816    0.00138007
   -8.11811812    0.00138648
   -8.07807808    0.00139294
   -8.03803804    0.00139945
   -7.99799800    0.00140600
   -7.95795796    0.00141260
   -7.91791792    0.00141925
   -7.87787788    0.00142595
   -7.83783784    0.00143270
   -7.79779780    0.00143950
   -7.75775776    0.00144635
   -7.71771772    0.00145325
   -7.67767768    0.00146020
   -7.63763764    0.00146720
   -7.59759760    0.00147425
   -7.55755756    0.00148136
   -7.51751752    0.00148852
   -7.47747748    0.00149574
   -7.43743744    0.00150301
   -7.39739740    0.00151033
   -7.35735736    0.00151771
   -7.31731732    0.00152515
   -7.27727728    0.00153264
   -7.23723724    0.00154019
