                   u          alpha(angstrong)       alpha(a.u.)  

                   0.0000     1.619720E+00           1.093041E+01
                   0.1000     1.609500E+00           1.086144E+01
                   0.2000     1.579975E+00           1.066220E+01
                   0.3000     1.534193E+00           1.035325E+01
                   0.4000     1.476247E+00           9.962210E+00
                   0.5000     1.410357E+00           9.517557E+00
                   0.6000     1.340230E+00           9.044319E+00
                   0.7000     1.268786E+00           8.562189E+00
                   0.8000     1.198130E+00           8.085384E+00
                   0.9000     1.129674E+00           7.623418E+00
                   1.0000     1.064286E+00           7.182156E+00
                   1.1000     1.002441E+00           6.764810E+00
                   1.2000     9.443450E-01           6.372756E+00
                   1.3000     8.900201E-01           6.006153E+00
                   1.4000     8.393755E-01           5.664386E+00
                   1.5000     7.922509E-01           5.346374E+00
                   1.6000     7.484482E-01           5.050779E+00
                   1.7000     7.077517E-01           4.776145E+00
                   1.8000     6.699416E-01           4.520990E+00
                   1.9000     6.348021E-01           4.283857E+00
                   2.0000     6.021266E-01           4.063351E+00
                   2.1000     5.717202E-01           3.858159E+00
                   2.2000     5.434018E-01           3.667057E+00
                   2.3000     5.170031E-01           3.488910E+00
                   2.4000     4.923697E-01           3.322676E+00
                   2.5000     4.693599E-01           3.167398E+00
                   2.6000     4.478440E-01           3.022201E+00
                   2.7000     4.277038E-01           2.886288E+00
                   2.8000     4.088311E-01           2.758929E+00
                   2.9000     3.911276E-01           2.639460E+00
                   3.0000     3.745033E-01           2.527274E+00
                   3.1000     3.588765E-01           2.421819E+00
                   3.2000     3.441723E-01           2.322589E+00
                   3.3000     3.303224E-01           2.229126E+00
                   3.4000     3.172645E-01           2.141007E+00
                   3.5000     3.049415E-01           2.057847E+00
                   3.6000     2.933013E-01           1.979295E+00
                   3.7000     2.822959E-01           1.905027E+00
                   3.8000     2.718815E-01           1.834747E+00
                   3.9000     2.620179E-01           1.768184E+00
                   4.0000     2.526679E-01           1.705088E+00
                   4.1000     2.437977E-01           1.645228E+00
                   4.2000     2.353757E-01           1.588394E+00
                   4.3000     2.273731E-01           1.534390E+00
                   4.4000     2.197632E-01           1.483036E+00
                   4.5000     2.125214E-01           1.434165E+00
                   4.6000     2.056249E-01           1.387626E+00
                   4.7000     1.990526E-01           1.343273E+00
                   4.8000     1.927849E-01           1.300977E+00
                   4.9000     1.868038E-01           1.260614E+00
                   5.0000     1.810924E-01           1.222072E+00
                   5.2500     1.678939E-01           1.133004E+00
                   5.5000     1.560702E-01           1.053214E+00
                   5.7500     1.454402E-01           9.814788E-01
                   6.0000     1.358510E-01           9.167677E-01
                   6.2500     1.271731E-01           8.582068E-01
                   6.5000     1.192964E-01           8.050523E-01
                   6.7500     1.121266E-01           7.566679E-01
                   7.0000     1.055826E-01           7.125069E-01
