                   u          alpha(angstrong)       alpha(a.u.)  

                   0.0000     2.230732E+00           1.505372E+01
                   0.1000     2.215469E+00           1.495072E+01
                   0.2000     2.171427E+00           1.465351E+01
                   0.3000     2.103291E+00           1.419371E+01
                   0.4000     2.017359E+00           1.361381E+01
                   0.5000     1.920112E+00           1.295756E+01
                   0.6000     1.817220E+00           1.226321E+01
                   0.7000     1.713097E+00           1.156055E+01
                   0.8000     1.610871E+00           1.087070E+01
                   0.9000     1.512576E+00           1.020737E+01
                   1.0000     1.419405E+00           9.578622E+00
                   1.1000     1.331954E+00           8.988474E+00
                   1.2000     1.250414E+00           8.438211E+00
                   1.3000     1.174714E+00           7.927365E+00
                   1.4000     1.104629E+00           7.454406E+00
                   1.5000     1.039843E+00           7.017208E+00
                   1.6000     9.799988E-01           6.613360E+00
                   1.7000     9.247258E-01           6.240359E+00
                   1.8000     8.736582E-01           5.895738E+00
                   1.9000     8.264459E-01           5.577133E+00
                   2.0000     7.827600E-01           5.282327E+00
                   2.1000     7.422958E-01           5.009261E+00
                   2.2000     7.047733E-01           4.756046E+00
                   2.3000     6.699366E-01           4.520956E+00
                   2.4000     6.375532E-01           4.302422E+00
                   2.5000     6.074120E-01           4.099019E+00
                   2.6000     5.793217E-01           3.909456E+00
                   2.7000     5.531093E-01           3.732566E+00
                   2.8000     5.286183E-01           3.567293E+00
                   2.9000     5.057069E-01           3.412679E+00
                   3.0000     4.842469E-01           3.267860E+00
                   3.1000     4.641222E-01           3.132052E+00
                   3.2000     4.452274E-01           3.004543E+00
                   3.3000     4.274668E-01           2.884689E+00
                   3.4000     4.107538E-01           2.771904E+00
                   3.5000     3.950094E-01           2.665655E+00
                   3.6000     3.801615E-01           2.565457E+00
                   3.7000     3.661448E-01           2.470867E+00
                   3.8000     3.528993E-01           2.381482E+00
                   3.9000     3.403704E-01           2.296933E+00
                   4.0000     3.285080E-01           2.216882E+00
                   4.1000     3.172664E-01           2.141020E+00
                   4.2000     3.066035E-01           2.069063E+00
                   4.3000     2.964807E-01           2.000751E+00
                   4.4000     2.868625E-01           1.935844E+00
                   4.5000     2.777162E-01           1.874122E+00
                   4.6000     2.690116E-01           1.815381E+00
                   4.7000     2.607212E-01           1.759434E+00
                   4.8000     2.528190E-01           1.706107E+00
                   4.9000     2.452815E-01           1.655242E+00
                   5.0000     2.380866E-01           1.606688E+00
                   5.2500     2.214683E-01           1.494542E+00
                   5.5000     2.065879E-01           1.394124E+00
                   5.7500     1.932116E-01           1.303856E+00
                   6.0000     1.811433E-01           1.222416E+00
                   6.2500     1.702177E-01           1.148686E+00
                   6.5000     1.602946E-01           1.081721E+00
                   6.7500     1.512545E-01           1.020716E+00
                   7.0000     1.429951E-01           9.649786E-01
                   7.2500     1.354285E-01           9.139167E-01
                   7.5000     1.284787E-01           8.670174E-01
                   7.7500     1.220799E-01           8.238363E-01
                   8.0000     1.161748E-01           7.839863E-01
                   8.2500     1.107133E-01           7.471301E-01
                   8.5000     1.056514E-01           7.129710E-01
                   8.7500     1.009506E-01           6.812486E-01
                   9.0000     9.657689E-02           6.517332E-01
                   9.2500     9.250005E-02           6.242213E-01
                   9.5000     8.869338E-02           5.985326E-01
                   9.7500     8.513307E-02           5.745064E-01
                  10.0000     8.179791E-02           5.519997E-01
                  10.2500     7.866891E-02           5.308841E-01
                  10.5000     7.572905E-02           5.110450E-01
                  10.7500     7.296305E-02           4.923791E-01
                  11.0000     7.035712E-02           4.747934E-01
                  11.2500     6.789884E-02           4.582041E-01
                  11.5000     6.557697E-02           4.425353E-01
                  11.7500     6.338133E-02           4.277184E-01
                  12.0000     6.130266E-02           4.136909E-01
                  12.2500     5.933257E-02           4.003961E-01
                  12.5000     5.746339E-02           3.877822E-01
                  12.7500     5.568812E-02           3.758021E-01
                  13.0000     5.400038E-02           3.644126E-01
                  13.2500     5.239430E-02           3.535743E-01
                  13.5000     5.086453E-02           3.432509E-01
                  13.7500     4.940614E-02           3.334092E-01
                  14.0000     4.801460E-02           3.240186E-01
                  14.2500     4.668572E-02           3.150508E-01
                  14.5000     4.541566E-02           3.064801E-01
                  14.7500     4.420086E-02           2.982822E-01
                  15.0000     4.303805E-02           2.904351E-01
                  15.2500     4.192416E-02           2.829183E-01
                  15.5000     4.085640E-02           2.757126E-01
                  15.7500     3.983212E-02           2.688005E-01
                  16.0000     3.884892E-02           2.621655E-01
                  16.2500     3.790454E-02           2.557925E-01
                  16.5000     3.699685E-02           2.496671E-01
