                   u          alpha(angstrong)       alpha(a.u.)  

                   0.0000     4.100480E-01           2.767141E+00
                   0.1000     4.090209E-01           2.760210E+00
                   0.2000     4.059886E-01           2.739747E+00
                   0.3000     4.010908E-01           2.706695E+00
                   0.4000     3.945388E-01           2.662480E+00
                   0.5000     3.865901E-01           2.608839E+00
                   0.6000     3.775210E-01           2.547638E+00
                   0.7000     3.676038E-01           2.480713E+00
                   0.8000     3.570907E-01           2.409767E+00
                   0.9000     3.462035E-01           2.336297E+00
                   1.0000     3.351294E-01           2.261565E+00
                   1.1000     3.240212E-01           2.186604E+00
                   1.2000     3.129999E-01           2.112228E+00
                   1.3000     3.021581E-01           2.039064E+00
                   1.4000     2.915647E-01           1.967576E+00
                   1.5000     2.812690E-01           1.898097E+00
                   1.6000     2.713045E-01           1.830854E+00
                   1.7000     2.616923E-01           1.765987E+00
                   1.8000     2.524435E-01           1.703573E+00
                   1.9000     2.435623E-01           1.643640E+00
                   2.0000     2.350468E-01           1.586174E+00
                   2.1000     2.268914E-01           1.531139E+00
                   2.2000     2.190875E-01           1.478476E+00
                   2.3000     2.116242E-01           1.428111E+00
                   2.4000     2.044894E-01           1.379963E+00
                   2.5000     1.976703E-01           1.333945E+00
                   2.6000     1.911533E-01           1.289967E+00
                   2.7000     1.849251E-01           1.247936E+00
                   2.8000     1.789721E-01           1.207764E+00
                   2.9000     1.732812E-01           1.169359E+00
                   3.0000     1.678394E-01           1.132636E+00
                   3.1000     1.626345E-01           1.097512E+00
                   3.2000     1.576544E-01           1.063904E+00
                   3.3000     1.528877E-01           1.031738E+00
                   3.4000     1.483237E-01           1.000938E+00
                   3.5000     1.439518E-01           9.714351E-01
                   3.6000     1.397624E-01           9.431632E-01
                   3.7000     1.357460E-01           9.160592E-01
                   3.8000     1.318939E-01           8.900639E-01
                   3.9000     1.281977E-01           8.651209E-01
                   4.0000     1.246496E-01           8.411772E-01
                   4.1000     1.212422E-01           8.181826E-01
                   4.2000     1.179684E-01           7.960899E-01
                   4.3000     1.148216E-01           7.748544E-01
                   4.4000     1.117956E-01           7.544340E-01
                   4.5000     1.088845E-01           7.347889E-01
                   4.6000     1.060827E-01           7.158818E-01
                   4.7000     1.033851E-01           6.976771E-01
                   4.8000     1.007866E-01           6.801415E-01
                   4.9000     9.828255E-02           6.632435E-01
                   5.0000     9.586859E-02           6.469533E-01
                   5.2500     9.020096E-02           6.087063E-01
                   5.5000     8.501172E-02           5.736875E-01
                   5.7500     8.024944E-02           5.415501E-01
                   6.0000     7.586925E-02           5.119911E-01
                   6.2500     7.183192E-02           4.847458E-01
                   6.5000     6.810302E-02           4.595820E-01
                   6.7500     6.465236E-02           4.362957E-01
                   7.0000     6.145318E-02           4.147066E-01
                   7.2500     5.848189E-02           3.946554E-01
                   7.5000     5.571758E-02           3.760009E-01
                   7.7500     5.314166E-02           3.586177E-01
                   8.0000     5.073754E-02           3.423939E-01
                   8.2500     4.849042E-02           3.272296E-01
                   8.5000     4.638706E-02           3.130354E-01
                   8.7500     4.441556E-02           2.997311E-01
                   9.0000     4.256522E-02           2.872443E-01
                   9.2500     4.082640E-02           2.755102E-01
                   9.5000     3.919040E-02           2.644699E-01
                   9.7500     3.764933E-02           2.540703E-01
                  10.0000     3.619605E-02           2.442631E-01
                  10.2500     3.482410E-02           2.350047E-01
                  10.5000     3.352754E-02           2.262550E-01
                  10.7500     3.230104E-02           2.179782E-01
                  11.0000     3.113965E-02           2.101408E-01
                  11.2500     3.003889E-02           2.027125E-01
                  11.5000     2.899465E-02           1.956656E-01
                  11.7500     2.800316E-02           1.889747E-01
                  12.0000     2.706097E-02           1.826165E-01
                  12.2500     2.616488E-02           1.765693E-01
                  12.5000     2.531195E-02           1.708135E-01
                  12.7500     2.449949E-02           1.653308E-01
                  13.0000     2.372500E-02           1.601043E-01
                  13.2500     2.298618E-02           1.551184E-01
                  13.5000     2.228087E-02           1.503588E-01
                  13.7500     2.160711E-02           1.458120E-01
                  14.0000     2.096305E-02           1.414657E-01
                  14.2500     2.034700E-02           1.373084E-01
                  14.5000     1.975736E-02           1.333293E-01
                  14.7500     1.919267E-02           1.295185E-01
                  15.0000     1.865153E-02           1.258668E-01
                  15.2500     1.813268E-02           1.223654E-01
                  15.5000     1.763492E-02           1.190064E-01
                  15.7500     1.715713E-02           1.157820E-01
                  16.0000     1.669827E-02           1.126855E-01
                  16.2500     1.625735E-02           1.097101E-01
                  16.5000     1.583346E-02           1.068495E-01
                  16.7500     1.542576E-02           1.040982E-01
                  17.0000     1.503342E-02           1.014505E-01
                  17.2500     1.465568E-02           9.890146E-02
                  17.5000     1.429186E-02           9.644623E-02
                  17.7500     1.394126E-02           9.408029E-02
                  18.0000     1.360327E-02           9.179940E-02
                  18.2500     1.327729E-02           8.959959E-02
                  18.5000     1.296277E-02           8.747708E-02
                  18.7500     1.265917E-02           8.542833E-02
                  19.0000     1.236601E-02           8.344997E-02
                  19.2500     1.208281E-02           8.153886E-02
                  19.5000     1.180914E-02           7.969200E-02
                  19.7500     1.154456E-02           7.790656E-02
                  20.0000     1.128869E-02           7.617989E-02
                  20.2500     1.104116E-02           7.450943E-02
                  20.5000     1.080160E-02           7.289282E-02
                  20.7500     1.056968E-02           7.132775E-02
                  21.0000     1.034509E-02           6.981211E-02
                  21.2500     1.012751E-02           6.834382E-02
                  21.5000     9.916649E-03           6.692086E-02
                  21.7500     9.712271E-03           6.554166E-02
                  22.0000     9.514089E-03           6.420426E-02
                  22.2500     9.321863E-03           6.290705E-02
                  22.5000     9.135351E-03           6.164841E-02
                  22.7500     8.954337E-03           6.042686E-02
                  23.0000     8.778606E-03           5.924097E-02
                  23.2500     8.607957E-03           5.808937E-02
                  23.5000     8.442198E-03           5.697078E-02
