                   u          alpha(angstrong)       alpha(a.u.)  

                   0.0000     4.173146E-01           2.816178E+00
                   0.1000     4.162299E-01           2.808858E+00
                   0.2000     4.130299E-01           2.787264E+00
                   0.3000     4.078685E-01           2.752433E+00
                   0.4000     4.009776E-01           2.705931E+00
                   0.5000     3.926374E-01           2.649648E+00
                   0.6000     3.831466E-01           2.585601E+00
                   0.7000     3.727972E-01           2.515760E+00
                   0.8000     3.618565E-01           2.441928E+00
                   0.9000     3.505573E-01           2.365678E+00
                   1.0000     3.390943E-01           2.288322E+00
                   1.1000     3.276245E-01           2.210920E+00
                   1.2000     3.162706E-01           2.134300E+00
                   1.3000     3.051253E-01           2.059088E+00
                   1.4000     2.942568E-01           1.985744E+00
                   1.5000     2.837127E-01           1.914588E+00
                   1.6000     2.735246E-01           1.845835E+00
                   1.7000     2.637112E-01           1.779611E+00
                   1.8000     2.542819E-01           1.715979E+00
                   1.9000     2.452385E-01           1.654952E+00
                   2.0000     2.365775E-01           1.596504E+00
                   2.1000     2.282914E-01           1.540586E+00
                   2.2000     2.203698E-01           1.487129E+00
                   2.3000     2.128006E-01           1.436050E+00
                   2.4000     2.055705E-01           1.387258E+00
                   2.5000     1.986652E-01           1.340659E+00
                   2.6000     1.920705E-01           1.296156E+00
                   2.7000     1.857718E-01           1.253650E+00
                   2.8000     1.797549E-01           1.213046E+00
                   2.9000     1.740060E-01           1.174251E+00
                   3.0000     1.685116E-01           1.137172E+00
                   3.1000     1.632586E-01           1.101724E+00
                   3.2000     1.582347E-01           1.067821E+00
                   3.3000     1.534281E-01           1.035384E+00
                   3.4000     1.488274E-01           1.004337E+00
                   3.5000     1.444220E-01           9.746083E-01
                   3.6000     1.402018E-01           9.461287E-01
                   3.7000     1.361571E-01           9.188340E-01
                   3.8000     1.322790E-01           8.926631E-01
                   3.9000     1.285589E-01           8.675583E-01
                   4.0000     1.249887E-01           8.434654E-01
                   4.1000     1.215608E-01           8.203330E-01
                   4.2000     1.182681E-01           7.981127E-01
                   4.3000     1.151038E-01           7.767591E-01
                   4.4000     1.120616E-01           7.562292E-01
                   4.5000     1.091355E-01           7.364825E-01
                   4.6000     1.063197E-01           7.174809E-01
                   4.7000     1.036090E-01           6.991883E-01
                   4.8000     1.009984E-01           6.815709E-01
                   4.9000     9.848306E-02           6.645966E-01
                   5.0000     9.605855E-02           6.482352E-01
                   5.2500     9.036746E-02           6.098298E-01
                   5.5000     8.515831E-02           5.746768E-01
                   5.7500     8.037905E-02           5.424247E-01
                   6.0000     7.598429E-02           5.127674E-01
                   6.2500     7.193443E-02           4.854376E-01
                   6.5000     6.819469E-02           4.602005E-01
                   6.7500     6.473455E-02           4.368504E-01
                   7.0000     6.152712E-02           4.152056E-01
                   7.2500     5.854861E-02           3.951056E-01
                   7.5000     5.577794E-02           3.764082E-01
                   7.7500     5.319640E-02           3.589871E-01
                   8.0000     5.078732E-02           3.427298E-01
