                   u          alpha(angstrong)       alpha(a.u.)  

                   0.0000     1.496783E+00           1.010080E+01
                   0.1000     1.488806E+00           1.004696E+01
                   0.2000     1.465590E+00           9.890291E+00
                   0.3000     1.429104E+00           9.644075E+00
                   0.4000     1.382111E+00           9.326946E+00
                   0.5000     1.327628E+00           8.959276E+00
                   0.6000     1.268496E+00           8.560235E+00
                   0.7000     1.207120E+00           8.146052E+00
                   0.8000     1.145379E+00           7.729403E+00
                   0.9000     1.084643E+00           7.319532E+00
                   1.0000     1.025847E+00           6.922757E+00
                   1.1000     9.695853E-01           6.543086E+00
                   1.2000     9.161962E-01           6.182798E+00
                   1.3000     8.658335E-01           5.842934E+00
                   1.4000     8.185245E-01           5.523677E+00
                   1.5000     7.742123E-01           5.224644E+00
                   1.6000     7.327863E-01           4.945087E+00
                   1.7000     6.941040E-01           4.684046E+00
                   1.8000     6.580066E-01           4.440449E+00
                   1.9000     6.243284E-01           4.213177E+00
                   2.0000     5.929042E-01           4.001116E+00
                   2.1000     5.635732E-01           3.803181E+00
                   2.2000     5.361821E-01           3.618336E+00
                   2.3000     5.105860E-01           3.445605E+00
                   2.4000     4.866496E-01           3.284074E+00
                   2.5000     4.642470E-01           3.132894E+00
                   2.6000     4.432620E-01           2.991281E+00
                   2.7000     4.235873E-01           2.858509E+00
                   2.8000     4.051240E-01           2.733912E+00
                   2.9000     3.877816E-01           2.616880E+00
                   3.0000     3.714767E-01           2.506849E+00
                   3.1000     3.561331E-01           2.403306E+00
                   3.2000     3.416807E-01           2.305776E+00
                   3.3000     3.280553E-01           2.213827E+00
                   3.4000     3.151979E-01           2.127061E+00
                   3.5000     3.030545E-01           2.045113E+00
                   3.6000     2.915753E-01           1.967648E+00
                   3.7000     2.807148E-01           1.894358E+00
                   3.8000     2.704310E-01           1.824959E+00
                   3.9000     2.606852E-01           1.759191E+00
                   4.0000     2.514418E-01           1.696813E+00
                   4.1000     2.426680E-01           1.637605E+00
                   4.2000     2.343337E-01           1.581362E+00
                   4.3000     2.264107E-01           1.527895E+00
                   4.4000     2.188734E-01           1.477031E+00
                   4.5000     2.116977E-01           1.428607E+00
                   4.6000     2.048615E-01           1.382474E+00
                   4.7000     1.983444E-01           1.338494E+00
                   4.8000     1.921273E-01           1.296539E+00
                   4.9000     1.861925E-01           1.256489E+00
                   5.0000     1.805236E-01           1.218234E+00
                   5.2500     1.674171E-01           1.129786E+00
                   5.5000     1.556685E-01           1.050503E+00
                   5.7500     1.451001E-01           9.791843E-01
                   6.0000     1.355619E-01           9.148169E-01
                   6.2500     1.269264E-01           8.565416E-01
                   6.5000     1.190850E-01           8.036256E-01
                   6.7500     1.119449E-01           7.554413E-01
                   7.0000     1.054259E-01           7.114493E-01
                   7.2500     9.945912E-02           6.711834E-01
                   7.5000     9.398468E-02           6.342401E-01
                   7.7500     8.895053E-02           6.002679E-01
                   8.0000     8.431122E-02           5.689603E-01
                   8.2500     8.002696E-02           5.400487E-01
                   8.5000     7.606285E-02           5.132976E-01
                   8.7500     7.238804E-02           4.884987E-01
                   9.0000     6.897529E-02           4.654683E-01
                   9.2500     6.580047E-02           4.440436E-01
                   9.5000     6.284215E-02           4.240799E-01
                   9.7500     6.008122E-02           4.054482E-01
                  10.0000     5.750062E-02           3.880334E-01
                  10.2500     5.508507E-02           3.717325E-01
                  10.5000     5.282088E-02           3.564529E-01
                  10.7500     5.069570E-02           3.421116E-01
                  11.0000     4.869845E-02           3.286334E-01
                  11.2500     4.681909E-02           3.159509E-01
                  11.5000     4.504856E-02           3.040028E-01
                  11.7500     4.337863E-02           2.927335E-01
                  12.0000     4.180184E-02           2.820928E-01
                  12.2500     4.031141E-02           2.720349E-01
                  12.5000     3.890113E-02           2.625178E-01
                  12.7500     3.756538E-02           2.535037E-01
                  13.0000     3.629899E-02           2.449578E-01
                  13.2500     3.509725E-02           2.368480E-01
                  13.5000     3.395580E-02           2.291451E-01
                  13.7500     3.287069E-02           2.218224E-01
                  14.0000     3.183825E-02           2.148552E-01
                  14.2500     3.085513E-02           2.082207E-01
                  14.5000     2.991821E-02           2.018981E-01
                  14.7500     2.902465E-02           1.958680E-01
                  15.0000     2.817179E-02           1.901126E-01
                  15.2500     2.735718E-02           1.846154E-01
                  15.5000     2.657857E-02           1.793611E-01
                  15.7500     2.583384E-02           1.743354E-01
                  16.0000     2.512106E-02           1.695253E-01
                  16.2500     2.443839E-02           1.649184E-01
                  16.5000     2.378417E-02           1.605035E-01
                  16.7500     2.315681E-02           1.562699E-01
                  17.0000     2.255485E-02           1.522077E-01
                  17.2500     2.197694E-02           1.483078E-01
                  17.5000     2.142179E-02           1.445614E-01
                  17.7500     2.088822E-02           1.409607E-01
                  18.0000     2.037510E-02           1.374980E-01
                  18.2500     1.988139E-02           1.341663E-01
