                   u          alpha(angstrong)       alpha(a.u.)  

                   0.0000     1.619718E+00           1.093041E+01
                   0.1000     1.609498E+00           1.086144E+01
                   0.2000     1.579973E+00           1.066220E+01
                   0.3000     1.534191E+00           1.035325E+01
                   0.4000     1.476246E+00           9.962211E+00
                   0.5000     1.410355E+00           9.517557E+00
                   0.6000     1.340228E+00           9.044319E+00
                   0.7000     1.268784E+00           8.562189E+00
                   0.8000     1.198129E+00           8.085384E+00
                   0.9000     1.129673E+00           7.623418E+00
                   1.0000     1.064285E+00           7.182156E+00
                   1.1000     1.002440E+00           6.764810E+00
                   1.2000     9.443439E-01           6.372756E+00
                   1.3000     8.900190E-01           6.006153E+00
                   1.4000     8.393745E-01           5.664386E+00
                   1.5000     7.922500E-01           5.346374E+00
                   1.6000     7.484473E-01           5.050779E+00
                   1.7000     7.077509E-01           4.776145E+00
                   1.8000     6.699408E-01           4.520990E+00
                   1.9000     6.348013E-01           4.283857E+00
                   2.0000     6.021259E-01           4.063352E+00
                   2.1000     5.717196E-01           3.858160E+00
                   2.2000     5.434012E-01           3.667057E+00
                   2.3000     5.170025E-01           3.488910E+00
                   2.4000     4.923692E-01           3.322676E+00
                   2.5000     4.693594E-01           3.167398E+00
                   2.6000     4.478435E-01           3.022201E+00
                   2.7000     4.277033E-01           2.886288E+00
                   2.8000     4.088306E-01           2.758929E+00
                   2.9000     3.911271E-01           2.639460E+00
                   3.0000     3.745029E-01           2.527274E+00
                   3.1000     3.588761E-01           2.421819E+00
                   3.2000     3.441719E-01           2.322590E+00
                   3.3000     3.303220E-01           2.229126E+00
                   3.4000     3.172641E-01           2.141007E+00
                   3.5000     3.049411E-01           2.057847E+00
                   3.6000     2.933009E-01           1.979295E+00
                   3.7000     2.822955E-01           1.905027E+00
                   3.8000     2.718812E-01           1.834747E+00
                   3.9000     2.620176E-01           1.768184E+00
                   4.0000     2.526676E-01           1.705088E+00
                   4.1000     2.437974E-01           1.645228E+00
                   4.2000     2.353754E-01           1.588394E+00
                   4.3000     2.273728E-01           1.534390E+00
                   4.4000     2.197630E-01           1.483036E+00
                   4.5000     2.125212E-01           1.434166E+00
                   4.6000     2.056247E-01           1.387626E+00
                   4.7000     1.990523E-01           1.343273E+00
                   4.8000     1.927847E-01           1.300977E+00
                   4.9000     1.868036E-01           1.260614E+00
                   5.0000     1.810921E-01           1.222072E+00
                   5.2500     1.678937E-01           1.133004E+00
                   5.5000     1.560700E-01           1.053214E+00
                   5.7500     1.454400E-01           9.814788E-01
                   6.0000     1.358508E-01           9.167677E-01
                   6.2500     1.271730E-01           8.582068E-01
                   6.5000     1.192963E-01           8.050523E-01
                   6.7500     1.121265E-01           7.566679E-01
                   7.0000     1.055825E-01           7.125071E-01
                   7.2500     9.959459E-02           6.720984E-01
                   7.5000     9.410217E-02           6.350337E-01
                   7.7500     8.905269E-02           6.009580E-01
                   8.0000     8.440028E-02           5.695620E-01
                   8.2500     8.010478E-02           5.405745E-01
                   8.5000     7.613096E-02           5.137578E-01
                   8.7500     7.244776E-02           4.889023E-01
                   9.0000     6.902776E-02           4.658230E-01
                   9.2500     6.584666E-02           4.443558E-01
                   9.5000     6.288288E-02           4.243552E-01
                   9.7500     6.011719E-02           4.056914E-01
                  10.0000     5.753243E-02           3.882485E-01
                  10.2500     5.511325E-02           3.719231E-01
                  10.5000     5.284587E-02           3.566220E-01
                  10.7500     5.071790E-02           3.422618E-01
                  11.0000     4.871819E-02           3.287670E-01
                  11.2500     4.683668E-02           3.160699E-01
                  11.5000     4.506424E-02           3.041089E-01
                  11.7500     4.339264E-02           2.928284E-01
                  12.0000     4.181437E-02           2.821777E-01
                  12.2500     4.032263E-02           2.721109E-01
                  12.5000     3.891120E-02           2.625861E-01
                  12.7500     3.757443E-02           2.535651E-01
                  13.0000     3.630713E-02           2.450130E-01
                  13.2500     3.510458E-02           2.368977E-01
                  13.5000     3.396242E-02           2.291900E-01
                  13.7500     3.287668E-02           2.218631E-01
                  14.0000     3.184368E-02           2.148921E-01
                  14.2500     3.086006E-02           2.082542E-01
                  14.5000     2.992270E-02           2.019286E-01
                  14.7500     2.902875E-02           1.958959E-01
                  15.0000     2.817554E-02           1.901382E-01
                  15.2500     2.736063E-02           1.846389E-01
                  15.5000     2.658174E-02           1.793827E-01
                  15.7500     2.583677E-02           1.743554E-01
                  16.0000     2.512377E-02           1.695438E-01
                  16.2500     2.444092E-02           1.649357E-01
                  16.5000     2.378653E-02           1.605196E-01
                  16.7500     2.315902E-02           1.562850E-01
                  17.0000     2.255694E-02           1.522219E-01
                  17.2500     2.197891E-02           1.483212E-01
                  17.5000     2.142366E-02           1.445742E-01
                  17.7500     2.088999E-02           1.409728E-01
                  18.0000     2.037679E-02           1.375096E-01
                  18.2500     1.988302E-02           1.341774E-01
                  18.5000     1.940769E-02           1.309697E-01
                  18.7500     1.894988E-02           1.278803E-01
                  19.0000     1.850874E-02           1.249033E-01
                  19.2500     1.808346E-02           1.220334E-01
                  19.5000     1.767327E-02           1.192652E-01
                  19.7500     1.727745E-02           1.165942E-01
                  20.0000     1.689534E-02           1.140156E-01
                  20.2500     1.652631E-02           1.115252E-01
                  20.5000     1.616974E-02           1.091189E-01
                  20.7500     1.582508E-02           1.067931E-01
                  21.0000     1.549180E-02           1.045439E-01
                  21.2500     1.516938E-02           1.023682E-01
                  21.5000     1.485736E-02           1.002626E-01
                  21.7500     1.455529E-02           9.822410E-02
                  22.0000     1.426274E-02           9.624986E-02
                  22.2500     1.397931E-02           9.433715E-02
                  22.5000     1.370461E-02           9.248339E-02
                  22.7500     1.343828E-02           9.068613E-02
                  23.0000     1.317999E-02           8.894307E-02
                  23.2500     1.292940E-02           8.725199E-02
                  23.5000     1.268620E-02           8.561083E-02
                  23.7500     1.245011E-02           8.401757E-02
                  24.0000     1.222083E-02           8.247036E-02
                  24.2500     1.199811E-02           8.096738E-02
                  24.5000     1.178170E-02           7.950694E-02
                  24.7500     1.157135E-02           7.808740E-02
                  25.0000     1.136683E-02           7.670724E-02
                  25.2500     1.116792E-02           7.536496E-02
                  25.5000     1.097442E-02           7.405917E-02
                  25.7500     1.078613E-02           7.278853E-02
                  26.0000     1.060286E-02           7.155174E-02
                  26.2500     1.042443E-02           7.034761E-02
                  26.5000     1.025066E-02           6.917495E-02
                  26.7500     1.008139E-02           6.803266E-02
                  27.0000     9.916460E-03           6.691967E-02
                  27.2500     9.755724E-03           6.583496E-02
                  27.5000     9.599033E-03           6.477756E-02
