                   u          alpha(angstrong)       alpha(a.u.)  

                   0.0000     1.523875E+00           1.028363E+01
                   0.1000     1.515450E+00           1.022677E+01
                   0.2000     1.490968E+00           1.006156E+01
                   0.3000     1.452594E+00           9.802601E+00
                   0.4000     1.403338E+00           9.470207E+00
                   0.5000     1.346456E+00           9.086347E+00
                   0.6000     1.284970E+00           8.671416E+00
                   0.7000     1.221401E+00           8.242430E+00
                   0.8000     1.157687E+00           7.812470E+00
                   0.9000     1.095219E+00           7.390912E+00
                   1.0000     1.034926E+00           6.984036E+00
                   1.1000     9.773840E-01           6.595722E+00
                   1.2000     9.229053E-01           6.228081E+00
                   1.3000     8.716184E-01           5.881979E+00
                   1.4000     8.235262E-01           5.557437E+00
                   1.5000     7.785499E-01           5.253921E+00
                   1.6000     7.365600E-01           4.970559E+00
                   1.7000     6.973978E-01           4.706279E+00
                   1.8000     6.608908E-01           4.459918E+00
                   1.9000     6.268621E-01           4.230280E+00
                   2.0000     5.951369E-01           4.016188E+00
                   2.1000     5.655468E-01           3.816503E+00
                   2.2000     5.379316E-01           3.630147E+00
                   2.3000     5.121413E-01           3.456105E+00
                   2.4000     4.880360E-01           3.293434E+00
                   2.5000     4.654862E-01           3.141260E+00
                   2.6000     4.443723E-01           2.998776E+00
                   2.7000     4.245844E-01           2.865241E+00
                   2.8000     4.060216E-01           2.739973E+00
                   2.9000     3.885913E-01           2.622347E+00
                   3.0000     3.722087E-01           2.511792E+00
                   3.1000     3.567961E-01           2.407782E+00
                   3.2000     3.422823E-01           2.309838E+00
                   3.3000     3.286022E-01           2.217520E+00
                   3.4000     3.156960E-01           2.130425E+00
                   3.5000     3.035088E-01           2.048182E+00
                   3.6000     2.919904E-01           1.970452E+00
                   3.7000     2.810947E-01           1.896923E+00
                   3.8000     2.707790E-01           1.827310E+00
                   3.9000     2.610045E-01           1.761348E+00
                   4.0000     2.517352E-01           1.698796E+00
                   4.1000     2.429380E-01           1.639429E+00
                   4.2000     2.345824E-01           1.583042E+00
                   4.3000     2.266401E-01           1.529445E+00
                   4.4000     2.190851E-01           1.478461E+00
                   4.5000     2.118934E-01           1.429929E+00
                   4.6000     2.050426E-01           1.383698E+00
                   4.7000     1.985121E-01           1.339628E+00
                   4.8000     1.922827E-01           1.297590E+00
                   4.9000     1.863367E-01           1.257464E+00
                   5.0000     1.806576E-01           1.219139E+00
                   5.2500     1.675289E-01           1.130542E+00
                   5.5000     1.557622E-01           1.051136E+00
                   5.7500     1.451790E-01           9.797173E-01
