                   u          alpha(angstrong)       alpha(a.u.)  

                   0.0000     2.230729E+00           1.505372E+01
                   0.1000     2.215466E+00           1.495072E+01
                   0.2000     2.171424E+00           1.465351E+01
                   0.3000     2.103289E+00           1.419371E+01
                   0.4000     2.017356E+00           1.361381E+01
                   0.5000     1.920109E+00           1.295755E+01
                   0.6000     1.817218E+00           1.226321E+01
                   0.7000     1.713095E+00           1.156055E+01
                   0.8000     1.610869E+00           1.087070E+01
                   0.9000     1.512574E+00           1.020737E+01
                   1.0000     1.419404E+00           9.578622E+00
                   1.1000     1.331953E+00           8.988474E+00
                   1.2000     1.250412E+00           8.438211E+00
                   1.3000     1.174713E+00           7.927365E+00
                   1.4000     1.104628E+00           7.454406E+00
                   1.5000     1.039842E+00           7.017208E+00
                   1.6000     9.799977E-01           6.613360E+00
                   1.7000     9.247247E-01           6.240359E+00
                   1.8000     8.736572E-01           5.895738E+00
                   1.9000     8.264449E-01           5.577133E+00
                   2.0000     7.827591E-01           5.282327E+00
                   2.1000     7.422950E-01           5.009261E+00
                   2.2000     7.047724E-01           4.756046E+00
                   2.3000     6.699358E-01           4.520956E+00
                   2.4000     6.375525E-01           4.302422E+00
                   2.5000     6.074112E-01           4.099019E+00
                   2.6000     5.793210E-01           3.909456E+00
                   2.7000     5.531086E-01           3.732567E+00
                   2.8000     5.286176E-01           3.567293E+00
                   2.9000     5.057063E-01           3.412679E+00
                   3.0000     4.842463E-01           3.267860E+00
                   3.1000     4.641216E-01           3.132052E+00
                   3.2000     4.452268E-01           3.004543E+00
                   3.3000     4.274663E-01           2.884689E+00
                   3.4000     4.107534E-01           2.771904E+00
                   3.5000     3.950089E-01           2.665655E+00
                   3.6000     3.801611E-01           2.565457E+00
                   3.7000     3.661443E-01           2.470867E+00
                   3.8000     3.528989E-01           2.381482E+00
                   3.9000     3.403700E-01           2.296933E+00
                   4.0000     3.285076E-01           2.216882E+00
                   4.1000     3.172661E-01           2.141020E+00
                   4.2000     3.066032E-01           2.069063E+00
                   4.3000     2.964804E-01           2.000751E+00
                   4.4000     2.868622E-01           1.935844E+00
                   4.5000     2.777159E-01           1.874122E+00
                   4.6000     2.690114E-01           1.815381E+00
                   4.7000     2.607209E-01           1.759434E+00
                   4.8000     2.528188E-01           1.706107E+00
                   4.9000     2.452812E-01           1.655242E+00
                   5.0000     2.380863E-01           1.606688E+00
                   5.2500     2.214681E-01           1.494542E+00
                   5.5000     2.065877E-01           1.394124E+00
                   5.7500     1.932114E-01           1.303856E+00
                   6.0000     1.811431E-01           1.222416E+00
                   6.2500     1.702175E-01           1.148686E+00
                   6.5000     1.602944E-01           1.081721E+00
                   6.7500     1.512543E-01           1.020716E+00
                   7.0000     1.429949E-01           9.649786E-01
                   7.2500     1.354283E-01           9.139167E-01
                   7.5000     1.284786E-01           8.670174E-01
                   7.7500     1.220798E-01           8.238363E-01
                   8.0000     1.161747E-01           7.839865E-01
                   8.2500     1.107131E-01           7.471302E-01
                   8.5000     1.056513E-01           7.129711E-01
                   8.7500     1.009505E-01           6.812487E-01
                   9.0000     9.657678E-02           6.517332E-01
                   9.2500     9.249995E-02           6.242213E-01
                   9.5000     8.869327E-02           5.985326E-01
                   9.7500     8.513297E-02           5.745064E-01
                  10.0000     8.179781E-02           5.519997E-01
                  10.2500     7.866882E-02           5.308841E-01
                  10.5000     7.572897E-02           5.110450E-01
                  10.7500     7.296296E-02           4.923791E-01
                  11.0000     7.035704E-02           4.747934E-01
                  11.2500     6.789876E-02           4.582041E-01
                  11.5000     6.557690E-02           4.425354E-01
                  11.7500     6.338126E-02           4.277184E-01
                  12.0000     6.130260E-02           4.136909E-01
                  12.2500     5.933251E-02           4.003961E-01
                  12.5000     5.746333E-02           3.877822E-01
                  12.7500     5.568806E-02           3.758021E-01
                  13.0000     5.400031E-02           3.644126E-01
                  13.2500     5.239424E-02           3.535743E-01
                  13.5000     5.086448E-02           3.432509E-01
                  13.7500     4.940609E-02           3.334092E-01
                  14.0000     4.801454E-02           3.240186E-01
                  14.2500     4.668566E-02           3.150508E-01
                  14.5000     4.541561E-02           3.064801E-01
                  14.7500     4.420081E-02           2.982822E-01
                  15.0000     4.303800E-02           2.904351E-01
                  15.2500     4.192412E-02           2.829183E-01
                  15.5000     4.085635E-02           2.757126E-01
                  15.7500     3.983209E-02           2.688005E-01
                  16.0000     3.884889E-02           2.621656E-01
                  16.2500     3.790449E-02           2.557925E-01
                  16.5000     3.699681E-02           2.496671E-01
                  16.7500     3.612386E-02           2.437762E-01
                  17.0000     3.528382E-02           2.381073E-01
                  17.2500     3.447498E-02           2.326490E-01
                  17.5000     3.369575E-02           2.273905E-01
                  17.7500     3.294464E-02           2.223217E-01
                  18.0000     3.222023E-02           2.174332E-01
                  18.2500     3.152123E-02           2.127160E-01
                  18.5000     3.084639E-02           2.081620E-01
                  18.7500     3.019458E-02           2.037633E-01
                  19.0000     2.956469E-02           1.995127E-01
                  19.2500     2.895572E-02           1.954031E-01
                  19.5000     2.836669E-02           1.914281E-01
                  19.7500     2.779671E-02           1.875817E-01
                  20.0000     2.724492E-02           1.838581E-01
                  20.2500     2.671053E-02           1.802518E-01
                  20.5000     2.619276E-02           1.767577E-01
                  20.7500     2.569090E-02           1.733710E-01
                  21.0000     2.520428E-02           1.700871E-01
                  21.2500     2.473226E-02           1.669017E-01
                  21.5000     2.427422E-02           1.638107E-01
                  21.7500     2.382959E-02           1.608102E-01
                  22.0000     2.339783E-02           1.578966E-01
                  22.2500     2.297842E-02           1.550663E-01
                  22.5000     2.257088E-02           1.523160E-01
                  22.7500     2.217473E-02           1.496426E-01
                  23.0000     2.178953E-02           1.470432E-01
                  23.2500     2.141486E-02           1.445148E-01
                  23.5000     2.105033E-02           1.420549E-01
                  23.7500     2.069556E-02           1.396607E-01
                  24.0000     2.035018E-02           1.373300E-01
                  24.2500     2.001384E-02           1.350602E-01
                  24.5000     1.968622E-02           1.328494E-01
                  24.7500     1.936701E-02           1.306952E-01
                  25.0000     1.905590E-02           1.285958E-01
                  25.2500     1.875262E-02           1.265491E-01
                  25.5000     1.845688E-02           1.245533E-01
                  25.7500     1.816843E-02           1.226068E-01
                  26.0000     1.788702E-02           1.207077E-01
                  26.2500     1.761241E-02           1.188546E-01
                  26.5000     1.734438E-02           1.170458E-01
                  26.7500     1.708270E-02           1.152799E-01
                  27.0000     1.682716E-02           1.135555E-01
                  27.2500     1.657758E-02           1.118712E-01
                  27.5000     1.633375E-02           1.102257E-01
                  27.7500     1.609549E-02           1.086179E-01
                  28.0000     1.586263E-02           1.070465E-01
                  28.2500     1.563500E-02           1.055103E-01
                  28.5000     1.541243E-02           1.040084E-01
                  28.7500     1.519477E-02           1.025395E-01
                  29.0000     1.498187E-02           1.011028E-01
                  29.2500     1.477359E-02           9.969722E-02
                  29.5000     1.456978E-02           9.832187E-02
                  29.7500     1.437032E-02           9.697585E-02
                  30.0000     1.417508E-02           9.565828E-02
                  30.2500     1.398393E-02           9.436834E-02
                  30.5000     1.379676E-02           9.310524E-02
                  30.7500     1.361345E-02           9.186819E-02
                  31.0000     1.343389E-02           9.065647E-02
                  31.2500     1.325798E-02           8.946936E-02
                  31.5000     1.308561E-02           8.830617E-02
                  31.7500     1.291669E-02           8.716624E-02
                  32.0000     1.275112E-02           8.604893E-02
                  32.2500     1.258881E-02           8.495362E-02
                  32.5000     1.242968E-02           8.387971E-02
                  32.7500     1.227363E-02           8.282664E-02
                  33.0000     1.212058E-02           8.179384E-02
                  33.2500     1.197046E-02           8.078078E-02
                  33.5000     1.182319E-02           7.978695E-02
                  33.7500     1.167870E-02           7.881184E-02
                  34.0000     1.153690E-02           7.785496E-02
                  34.2500     1.139774E-02           7.691586E-02
                  34.5000     1.126115E-02           7.599408E-02
                  34.7500     1.112706E-02           7.508918E-02
                  35.0000     1.099540E-02           7.420075E-02
                  35.2500     1.086613E-02           7.332836E-02
                  35.5000     1.073917E-02           7.247162E-02
                  35.7500     1.061448E-02           7.163015E-02
                  36.0000     1.049200E-02           7.080358E-02
                  36.2500     1.037167E-02           6.999155E-02
                  36.5000     1.025344E-02           6.919370E-02
                  36.7500     1.013726E-02           6.840971E-02
                  37.0000     1.002309E-02           6.763923E-02
                  37.2500     9.910872E-03           6.688196E-02
                  37.5000     9.800567E-03           6.613758E-02
                  37.7500     9.692127E-03           6.540579E-02
                  38.0000     9.585512E-03           6.468632E-02
                  38.2500     9.480678E-03           6.397886E-02
                  38.5000     9.377585E-03           6.328316E-02
                  38.7500     9.276194E-03           6.259894E-02
                  39.0000     9.176467E-03           6.192594E-02
                  39.2500     9.078366E-03           6.126392E-02
                  39.5000     8.981855E-03           6.061263E-02
                  39.7500     8.886900E-03           5.997184E-02
                  40.0000     8.793466E-03           5.934132E-02
                  40.2500     8.701520E-03           5.872083E-02
                  40.5000     8.611030E-03           5.811018E-02
                  40.7500     8.521965E-03           5.750913E-02
                  41.0000     8.434293E-03           5.691750E-02
                  41.2500     8.347987E-03           5.633508E-02
                  41.5000     8.263017E-03           5.576167E-02
                  41.7500     8.179354E-03           5.519708E-02
                  42.0000     8.096972E-03           5.464114E-02
                  42.2500     8.015844E-03           5.409366E-02
                  42.5000     7.935944E-03           5.355447E-02
                  42.7500     7.857247E-03           5.302339E-02
                  43.0000     7.779728E-03           5.250027E-02
                  43.2500     7.703365E-03           5.198495E-02
                  43.5000     7.628132E-03           5.147725E-02
                  43.7500     7.554009E-03           5.097704E-02
                  44.0000     7.480972E-03           5.048416E-02
                  44.2500     7.409000E-03           4.999847E-02
                  44.5000     7.338072E-03           4.951982E-02
                  44.7500     7.268168E-03           4.904809E-02
                  45.0000     7.199268E-03           4.858313E-02
                  45.2500     7.131351E-03           4.812480E-02
                  45.5000     7.064401E-03           4.767299E-02
                  45.7500     6.998396E-03           4.722757E-02
                  46.0000     6.933321E-03           4.678843E-02
                  46.2500     6.869157E-03           4.635542E-02
                  46.5000     6.805887E-03           4.592846E-02
                  46.7500     6.743494E-03           4.550740E-02
                  47.0000     6.681961E-03           4.509216E-02
                  47.2500     6.621274E-03           4.468262E-02
                  47.5000     6.561415E-03           4.427868E-02
                  47.7500     6.502371E-03           4.388023E-02
                  48.0000     6.444125E-03           4.348716E-02
                  48.2500     6.386664E-03           4.309940E-02
                  48.5000     6.329974E-03           4.271683E-02
                  48.7500     6.274040E-03           4.233937E-02
                  49.0000     6.218848E-03           4.196692E-02
                  49.2500     6.164386E-03           4.159939E-02
                  49.5000     6.110641E-03           4.123670E-02
                  49.7500     6.057599E-03           4.087875E-02
                  50.0000     6.005250E-03           4.052548E-02
