                   u          alpha(angstrong)       alpha(a.u.)  

                   0.0000     2.422366E+00           1.634695E+01
                   0.1000     2.402568E+00           1.621335E+01
                   0.2000     2.345994E+00           1.583157E+01
                   0.3000     2.259979E+00           1.525111E+01
                   0.4000     2.153844E+00           1.453488E+01
                   0.5000     2.036514E+00           1.374310E+01
                   0.6000     1.915167E+00           1.292420E+01
                   0.7000     1.794899E+00           1.211260E+01
                   0.8000     1.678979E+00           1.133032E+01
                   0.9000     1.569278E+00           1.059002E+01
                   1.0000     1.466704E+00           9.897822E+00
                   1.1000     1.371538E+00           9.255606E+00
                   1.2000     1.283673E+00           8.662667E+00
                   1.3000     1.202784E+00           8.116801E+00
                   1.4000     1.128429E+00           7.615025E+00
                   1.5000     1.060116E+00           7.154028E+00
                   1.6000     9.973471E-01           6.730440E+00
                   1.7000     9.396371E-01           6.340993E+00
                   1.8000     8.865295E-01           5.982605E+00
                   1.9000     8.376017E-01           5.652423E+00
                   2.0000     7.924665E-01           5.347835E+00
                   2.1000     7.507723E-01           5.066468E+00
                   2.2000     7.122013E-01           4.806178E+00
                   2.3000     6.764674E-01           4.565033E+00
                   2.4000     6.433129E-01           4.341295E+00
                   2.5000     6.125065E-01           4.133403E+00
                   2.6000     5.838403E-01           3.939954E+00
                   2.7000     5.571276E-01           3.759688E+00
                   2.8000     5.322005E-01           3.591471E+00
                   2.9000     5.089078E-01           3.434284E+00
                   3.0000     4.871134E-01           3.287208E+00
                   3.1000     4.666945E-01           3.149415E+00
                   3.2000     4.475403E-01           3.020155E+00
                   3.3000     4.295505E-01           2.898754E+00
                   3.4000     4.126341E-01           2.784596E+00
                   3.5000     3.967091E-01           2.677129E+00
                   3.6000     3.817004E-01           2.575845E+00
                   3.7000     3.675401E-01           2.480287E+00
                   3.8000     3.541663E-01           2.390036E+00
                   3.9000     3.415225E-01           2.304710E+00
                   4.0000     3.295569E-01           2.223963E+00
                   4.1000     3.182226E-01           2.147475E+00
                   4.2000     3.074761E-01           2.074954E+00
                   4.3000     2.972780E-01           2.006133E+00
                   4.4000     2.875917E-01           1.940767E+00
                   4.5000     2.783838E-01           1.878629E+00
                   4.6000     2.696235E-01           1.819511E+00
                   4.7000     2.612823E-01           1.763223E+00
                   4.8000     2.533342E-01           1.709586E+00
                   4.9000     2.457548E-01           1.658438E+00
                   5.0000     2.385218E-01           1.609627E+00
                   5.2500     2.218223E-01           1.496933E+00
                   5.5000     2.068770E-01           1.396077E+00
                   5.7500     1.934486E-01           1.305458E+00
                   6.0000     1.813383E-01           1.223733E+00
                   6.2500     1.703785E-01           1.149773E+00
                   6.5000     1.604276E-01           1.082620E+00
                   6.7500     1.513647E-01           1.021461E+00
                   7.0000     1.430867E-01           9.655980E-01
                   7.2500     1.355048E-01           9.144325E-01
                   7.5000     1.285423E-01           8.674477E-01
                   7.7500     1.221331E-01           8.241960E-01
                   8.0000     1.162193E-01           7.842878E-01
                   8.2500     1.107506E-01           7.473830E-01
                   8.5000     1.056828E-01           7.131837E-01
                   8.7500     1.009771E-01           6.814279E-01
                   9.0000     9.659925E-02           6.518848E-01
                   9.2500     9.251901E-02           6.243499E-01
                   9.5000     8.870951E-02           5.986422E-01
                   9.7500     8.514687E-02           5.746003E-01
                  10.0000     8.180979E-02           5.520804E-01
                  10.2500     7.867920E-02           5.309542E-01
                  10.5000     7.573804E-02           5.111062E-01
                  10.7500     7.297097E-02           4.924331E-01
                  11.0000     7.036417E-02           4.748415E-01
                  11.2500     6.790519E-02           4.582475E-01
                  11.5000     6.558276E-02           4.425750E-01
                  11.7500     6.338668E-02           4.277550E-01
                  12.0000     6.130766E-02           4.137251E-01
                  12.2500     5.933730E-02           4.004284E-01
                  12.5000     5.746791E-02           3.878131E-01
                  12.7500     5.569249E-02           3.758320E-01
                  13.0000     5.400465E-02           3.644418E-01
                  13.2500     5.239851E-02           3.536031E-01
                  13.5000     5.086870E-02           3.432794E-01
                  13.7500     4.941030E-02           3.334376E-01
                  14.0000     4.801877E-02           3.240471E-01
                  14.2500     4.668991E-02           3.150795E-01
                  14.5000     4.541989E-02           3.065090E-01
                  14.7500     4.420514E-02           2.983115E-01
                  15.0000     4.304238E-02           2.904647E-01
                  15.2500     4.192856E-02           2.829483E-01
                  15.5000     4.086085E-02           2.757430E-01
                  15.7500     3.983664E-02           2.688313E-01
                  16.0000     3.885350E-02           2.621967E-01
                  16.2500     3.790917E-02           2.558241E-01
                  16.5000     3.700154E-02           2.496990E-01
                  16.7500     3.612864E-02           2.438085E-01
                  17.0000     3.528866E-02           2.381399E-01
                  17.2500     3.447987E-02           2.326820E-01
                  17.5000     3.370069E-02           2.274238E-01
                  17.7500     3.294961E-02           2.223552E-01
                  18.0000     3.222524E-02           2.174670E-01
                  18.2500     3.152627E-02           2.127501E-01
                  18.5000     3.085147E-02           2.081963E-01
                  18.7500     3.019968E-02           2.037978E-01
                  19.0000     2.956981E-02           1.995472E-01
                  19.2500     2.896085E-02           1.954378E-01
                  19.5000     2.837184E-02           1.914629E-01
                  19.7500     2.780187E-02           1.876166E-01
                  20.0000     2.725009E-02           1.838930E-01
                  20.2500     2.671570E-02           1.802867E-01
                  20.5000     2.619793E-02           1.767926E-01
                  20.7500     2.569607E-02           1.734059E-01
                  21.0000     2.520945E-02           1.701220E-01
                  21.2500     2.473741E-02           1.669365E-01
                  21.5000     2.427936E-02           1.638454E-01
                  21.7500     2.383472E-02           1.608448E-01
                  22.0000     2.340294E-02           1.579310E-01
                  22.2500     2.298351E-02           1.551006E-01
                  22.5000     2.257594E-02           1.523502E-01
                  22.7500     2.217977E-02           1.496767E-01
                  23.0000     2.179454E-02           1.470770E-01
                  23.2500     2.141985E-02           1.445485E-01
                  23.5000     2.105529E-02           1.420883E-01
                  23.7500     2.070048E-02           1.396939E-01
                  24.0000     2.035506E-02           1.373629E-01
                  24.2500     2.001869E-02           1.350930E-01
                  24.5000     1.969104E-02           1.328819E-01
                  24.7500     1.937179E-02           1.307275E-01
                  25.0000     1.906065E-02           1.286278E-01
                  25.2500     1.875732E-02           1.265808E-01
                  25.5000     1.846154E-02           1.245848E-01
                  25.7500     1.817305E-02           1.226380E-01
                  26.0000     1.789160E-02           1.207386E-01
                  26.2500     1.761695E-02           1.188852E-01
                  26.5000     1.734887E-02           1.170761E-01
                  26.7500     1.708715E-02           1.153099E-01
                  27.0000     1.683157E-02           1.135852E-01
                  27.2500     1.658194E-02           1.119006E-01
                  27.5000     1.633807E-02           1.102549E-01
                  27.7500     1.609976E-02           1.086467E-01
                  28.0000     1.586686E-02           1.070750E-01
                  28.2500     1.563918E-02           1.055385E-01
                  28.5000     1.541656E-02           1.040362E-01
                  28.7500     1.519886E-02           1.025671E-01
                  29.0000     1.498591E-02           1.011301E-01
                  29.2500     1.477758E-02           9.972417E-02
                  29.5000     1.457373E-02           9.834851E-02
                  29.7500     1.437422E-02           9.700218E-02
                  30.0000     1.417893E-02           9.568430E-02
                  30.2500     1.398774E-02           9.439405E-02
                  30.5000     1.380052E-02           9.313064E-02
                  30.7500     1.361716E-02           9.189329E-02
                  31.0000     1.343756E-02           9.068126E-02
                  31.2500     1.326160E-02           8.949384E-02
                  31.5000     1.308919E-02           8.833035E-02
                  31.7500     1.292023E-02           8.719012E-02
                  32.0000     1.275461E-02           8.607250E-02
                  32.2500     1.259226E-02           8.497689E-02
                  32.5000     1.243308E-02           8.390269E-02
                  32.7500     1.227699E-02           8.284932E-02
                  33.0000     1.212390E-02           8.181623E-02
                  33.2500     1.197374E-02           8.080288E-02
                  33.5000     1.182642E-02           7.980876E-02
                  33.7500     1.168189E-02           7.883337E-02
                  34.0000     1.154005E-02           7.787621E-02
                  34.2500     1.140085E-02           7.693683E-02
                  34.5000     1.126421E-02           7.601478E-02
                  34.7500     1.113008E-02           7.510961E-02
                  35.0000     1.099839E-02           7.422090E-02
                  35.2500     1.086907E-02           7.334824E-02
                  35.5000     1.074208E-02           7.249124E-02
                  35.7500     1.061735E-02           7.164950E-02
                  36.0000     1.049483E-02           7.082267E-02
                  36.2500     1.037446E-02           7.001038E-02
                  36.5000     1.025619E-02           6.921228E-02
                  36.7500     1.013998E-02           6.842803E-02
                  37.0000     1.002577E-02           6.765730E-02
                  37.2500     9.913514E-03           6.689979E-02
                  37.5000     9.803173E-03           6.615517E-02
                  37.7500     9.694698E-03           6.542314E-02
                  38.0000     9.588047E-03           6.470343E-02
                  38.2500     9.483179E-03           6.399574E-02
                  38.5000     9.380052E-03           6.329980E-02
                  38.7500     9.278627E-03           6.261535E-02
                  39.0000     9.178867E-03           6.194213E-02
                  39.2500     9.080733E-03           6.127989E-02
                  39.5000     8.984189E-03           6.062838E-02
                  39.7500     8.889202E-03           5.998738E-02
                  40.0000     8.795736E-03           5.935664E-02
                  40.2500     8.703758E-03           5.873594E-02
                  40.5000     8.613238E-03           5.812508E-02
                  40.7500     8.524142E-03           5.752383E-02
                  41.0000     8.436441E-03           5.693199E-02
                  41.2500     8.350105E-03           5.634937E-02
                  41.5000     8.265105E-03           5.577576E-02
                  41.7500     8.181414E-03           5.521098E-02
                  42.0000     8.099003E-03           5.465485E-02
                  42.2500     8.017847E-03           5.410718E-02
                  42.5000     7.937920E-03           5.356780E-02
                  42.7500     7.859195E-03           5.303654E-02
                  43.0000     7.781650E-03           5.251324E-02
                  43.2500     7.705260E-03           5.199773E-02
                  43.5000     7.630001E-03           5.148986E-02
                  43.7500     7.555852E-03           5.098947E-02
                  44.0000     7.482789E-03           5.049642E-02
                  44.2500     7.410792E-03           5.001056E-02
                  44.5000     7.339840E-03           4.953175E-02
                  44.7500     7.269911E-03           4.905985E-02
                  45.0000     7.200986E-03           4.859472E-02
                  45.2500     7.133047E-03           4.813624E-02
                  45.5000     7.066073E-03           4.768428E-02
                  45.7500     7.000046E-03           4.723870E-02
                  46.0000     6.934948E-03           4.679940E-02
                  46.2500     6.870761E-03           4.636624E-02
                  46.5000     6.807469E-03           4.593913E-02
                  46.7500     6.745054E-03           4.551793E-02
                  47.0000     6.683500E-03           4.510255E-02
                  47.2500     6.622791E-03           4.469286E-02
                  47.5000     6.562913E-03           4.428878E-02
                  47.7500     6.503848E-03           4.389019E-02
                  48.0000     6.445582E-03           4.349699E-02
                  48.2500     6.388101E-03           4.310909E-02
                  48.5000     6.331391E-03           4.272639E-02
                  48.7500     6.275437E-03           4.234880E-02
                  49.0000     6.220227E-03           4.197622E-02
                  49.2500     6.165746E-03           4.160857E-02
                  49.5000     6.111982E-03           4.124575E-02
                  49.7500     6.058923E-03           4.088769E-02
                  50.0000     6.006555E-03           4.053429E-02
