                   u          alpha(angstrong)       alpha(a.u.)  

                   0.0000     2.272677E+00           1.533680E+01
                   0.1000     2.256521E+00           1.522778E+01
                   0.2000     2.209989E+00           1.491376E+01
                   0.3000     2.138242E+00           1.442959E+01
                   0.4000     2.048145E+00           1.382159E+01
                   0.5000     1.946667E+00           1.313678E+01
                   0.6000     1.839804E+00           1.241563E+01
                   0.7000     1.732140E+00           1.168907E+01
                   0.8000     1.626858E+00           1.097860E+01
                   0.9000     1.525981E+00           1.029784E+01
                   1.0000     1.430655E+00           9.654547E+00
                   1.1000     1.341416E+00           9.052335E+00
                   1.2000     1.258397E+00           8.492094E+00
                   1.3000     1.181475E+00           7.972997E+00
                   1.4000     1.110377E+00           7.493204E+00
                   1.5000     1.044750E+00           7.050331E+00
                   1.6000     9.842050E-01           6.641752E+00
                   1.7000     9.283456E-01           6.264794E+00
                   1.8000     8.767854E-01           5.916848E+00
                   1.9000     8.291575E-01           5.595439E+00
                   2.0000     7.851197E-01           5.298256E+00
                   2.1000     7.443561E-01           5.023170E+00
                   2.2000     7.065778E-01           4.768229E+00
                   2.3000     6.715219E-01           4.531660E+00
                   2.4000     6.389498E-01           4.311852E+00
                   2.5000     6.086457E-01           4.107349E+00
                   2.6000     5.804142E-01           3.916834E+00
                   2.7000     5.540791E-01           3.739115E+00
                   2.8000     5.294809E-01           3.573119E+00
                   2.9000     5.064759E-01           3.417873E+00
                   3.0000     4.849338E-01           3.272499E+00
                   3.1000     4.647368E-01           3.136203E+00
                   3.2000     4.457782E-01           3.008264E+00
                   3.3000     4.279614E-01           2.888030E+00
                   3.4000     4.111984E-01           2.774908E+00
                   3.5000     3.954096E-01           2.668360E+00
                   3.6000     3.805223E-01           2.567895E+00
                   3.7000     3.664704E-01           2.473068E+00
                   3.8000     3.531935E-01           2.383470E+00
                   3.9000     3.406364E-01           2.298731E+00
                   4.0000     3.287489E-01           2.218510E+00
                   4.1000     3.174846E-01           2.142495E+00
                   4.2000     3.068013E-01           2.070401E+00
                   4.3000     2.966602E-01           2.001965E+00
                   4.4000     2.870254E-01           1.936946E+00
                   4.5000     2.778642E-01           1.875123E+00
                   4.6000     2.691461E-01           1.816290E+00
                   4.7000     2.608434E-01           1.760261E+00
                   4.8000     2.529302E-01           1.706859E+00
                   4.9000     2.453826E-01           1.655926E+00
                   5.0000     2.381785E-01           1.607310E+00
                   5.2500     2.215408E-01           1.495033E+00
                   5.5000     2.066450E-01           1.394511E+00
                   5.7500     1.932564E-01           1.304160E+00
                   6.0000     1.811783E-01           1.222653E+00
                   6.2500     1.702448E-01           1.148870E+00
                   6.5000     1.603154E-01           1.081863E+00
                   6.7500     1.512702E-01           1.020823E+00
                   7.0000     1.430067E-01           9.650579E-01
                   7.2500     1.354367E-01           9.139735E-01
                   7.5000     1.284843E-01           8.670561E-01
                   7.7500     1.220834E-01           8.238603E-01
                   8.0000     1.161765E-01           7.839988E-01
                   8.2500     1.107136E-01           7.471330E-01
                   8.5000     1.056506E-01           7.129663E-01
                   8.7500     1.009489E-01           6.812380E-01
                   9.0000     9.657451E-02           6.517179E-01
                   9.2500     9.249714E-02           6.242024E-01
                   9.5000     8.869006E-02           5.985109E-01
                   9.7500     8.512946E-02           5.744827E-01
                  10.0000     8.179409E-02           5.519745E-01
                  10.2500     7.866495E-02           5.308580E-01
                  10.5000     7.572501E-02           5.110183E-01
                  10.7500     7.295897E-02           4.923521E-01
                  11.0000     7.035304E-02           4.747664E-01
                  11.2500     6.789480E-02           4.581774E-01
                  11.5000     6.557299E-02           4.425090E-01
                  11.7500     6.337743E-02           4.276926E-01
                  12.0000     6.129886E-02           4.136657E-01
                  12.2500     5.932887E-02           4.003716E-01
                  12.5000     5.745980E-02           3.877584E-01
                  12.7500     5.568466E-02           3.757791E-01
                  13.0000     5.399704E-02           3.643905E-01
                  13.2500     5.239109E-02           3.535530E-01
                  13.5000     5.086145E-02           3.432305E-01
                  13.7500     4.940319E-02           3.333896E-01
                  14.0000     4.801177E-02           3.239999E-01
                  14.2500     4.668302E-02           3.150330E-01
                  14.5000     4.541309E-02           3.064631E-01
                  14.7500     4.419842E-02           2.982661E-01
                  15.0000     4.303572E-02           2.904198E-01
                  15.2500     4.192196E-02           2.829037E-01
                  15.5000     4.085431E-02           2.756988E-01
                  15.7500     3.983015E-02           2.687875E-01
                  16.0000     3.884706E-02           2.621532E-01
                  16.2500     3.790277E-02           2.557808E-01
                  16.5000     3.699518E-02           2.496561E-01
                  16.7500     3.612232E-02           2.437658E-01
                  17.0000     3.528238E-02           2.380975E-01
                  17.2500     3.447363E-02           2.326398E-01
                  17.5000     3.369448E-02           2.273819E-01
                  17.7500     3.294344E-02           2.223136E-01
