                   u          alpha(angstrong)       alpha(a.u.)  

                   0.0000     4.100476E-01           2.767141E+00
                   0.1000     4.090205E-01           2.760210E+00
                   0.2000     4.059882E-01           2.739747E+00
                   0.3000     4.010903E-01           2.706695E+00
                   0.4000     3.945384E-01           2.662480E+00
                   0.5000     3.865897E-01           2.608839E+00
                   0.6000     3.775205E-01           2.547638E+00
                   0.7000     3.676034E-01           2.480713E+00
                   0.8000     3.570903E-01           2.409768E+00
                   0.9000     3.462031E-01           2.336297E+00
                   1.0000     3.351290E-01           2.261565E+00
                   1.1000     3.240208E-01           2.186604E+00
                   1.2000     3.129995E-01           2.112228E+00
                   1.3000     3.021577E-01           2.039064E+00
                   1.4000     2.915643E-01           1.967576E+00
                   1.5000     2.812687E-01           1.898097E+00
                   1.6000     2.713042E-01           1.830854E+00
                   1.7000     2.616920E-01           1.765987E+00
                   1.8000     2.524432E-01           1.703573E+00
                   1.9000     2.435620E-01           1.643640E+00
                   2.0000     2.350465E-01           1.586174E+00
                   2.1000     2.268912E-01           1.531139E+00
                   2.2000     2.190872E-01           1.478476E+00
                   2.3000     2.116239E-01           1.428111E+00
                   2.4000     2.044892E-01           1.379963E+00
                   2.5000     1.976700E-01           1.333945E+00
                   2.6000     1.911531E-01           1.289967E+00
                   2.7000     1.849249E-01           1.247936E+00
                   2.8000     1.789719E-01           1.207764E+00
                   2.9000     1.732810E-01           1.169359E+00
                   3.0000     1.678392E-01           1.132637E+00
                   3.1000     1.626343E-01           1.097512E+00
                   3.2000     1.576542E-01           1.063905E+00
                   3.3000     1.528876E-01           1.031738E+00
                   3.4000     1.483235E-01           1.000938E+00
                   3.5000     1.439517E-01           9.714351E-01
                   3.6000     1.397622E-01           9.431632E-01
                   3.7000     1.357458E-01           9.160593E-01
                   3.8000     1.318937E-01           8.900639E-01
                   3.9000     1.281975E-01           8.651209E-01
                   4.0000     1.246495E-01           8.411772E-01
                   4.1000     1.212420E-01           8.181826E-01
                   4.2000     1.179682E-01           7.960899E-01
                   4.3000     1.148214E-01           7.748544E-01
                   4.4000     1.117955E-01           7.544340E-01
                   4.5000     1.088844E-01           7.347890E-01
                   4.6000     1.060826E-01           7.158818E-01
                   4.7000     1.033850E-01           6.976771E-01
                   4.8000     1.007865E-01           6.801415E-01
                   4.9000     9.828243E-02           6.632435E-01
                   5.0000     9.586848E-02           6.469533E-01
                   5.2500     9.020085E-02           6.087063E-01
                   5.5000     8.501162E-02           5.736875E-01
                   5.7500     8.024935E-02           5.415501E-01
                   6.0000     7.586917E-02           5.119911E-01
                   6.2500     7.183185E-02           4.847459E-01
                   6.5000     6.810298E-02           4.595822E-01
                   6.7500     6.465229E-02           4.362958E-01
                   7.0000     6.145311E-02           4.147066E-01
                   7.2500     5.848183E-02           3.946554E-01
                   7.5000     5.571752E-02           3.760009E-01
                   7.7500     5.314160E-02           3.586177E-01
                   8.0000     5.073748E-02           3.423939E-01
                   8.2500     4.849037E-02           3.272296E-01
                   8.5000     4.638701E-02           3.130354E-01
                   8.7500     4.441551E-02           2.997311E-01
                   9.0000     4.256517E-02           2.872443E-01
                   9.2500     4.082635E-02           2.755102E-01
                   9.5000     3.919035E-02           2.644699E-01
                   9.7500     3.764929E-02           2.540703E-01
                  10.0000     3.619602E-02           2.442631E-01
                  10.2500     3.482407E-02           2.350047E-01
                  10.5000     3.352752E-02           2.262552E-01
                  10.7500     3.230101E-02           2.179783E-01
                  11.0000     3.113962E-02           2.101408E-01
                  11.2500     3.003886E-02           2.027125E-01
                  11.5000     2.899462E-02           1.956657E-01
                  11.7500     2.800314E-02           1.889748E-01
                  12.0000     2.706094E-02           1.826165E-01
                  12.2500     2.616485E-02           1.765693E-01
                  12.5000     2.531192E-02           1.708135E-01
                  12.7500     2.449947E-02           1.653308E-01
                  13.0000     2.372498E-02           1.601043E-01
                  13.2500     2.298615E-02           1.551184E-01
                  13.5000     2.228084E-02           1.503588E-01
                  13.7500     2.160708E-02           1.458120E-01
                  14.0000     2.096303E-02           1.414657E-01
                  14.2500     2.034698E-02           1.373084E-01
                  14.5000     1.975734E-02           1.333293E-01
                  14.7500     1.919264E-02           1.295185E-01
                  15.0000     1.865151E-02           1.258668E-01
                  15.2500     1.813267E-02           1.223654E-01
                  15.5000     1.763491E-02           1.190064E-01
                  15.7500     1.715712E-02           1.157821E-01
                  16.0000     1.669825E-02           1.126855E-01
                  16.2500     1.625734E-02           1.097101E-01
                  16.5000     1.583345E-02           1.068496E-01
                  16.7500     1.542574E-02           1.040982E-01
                  17.0000     1.503340E-02           1.014505E-01
                  17.2500     1.465567E-02           9.890147E-02
                  17.5000     1.429184E-02           9.644623E-02
                  17.7500     1.394124E-02           9.408029E-02
                  18.0000     1.360325E-02           9.179941E-02
                  18.2500     1.327727E-02           8.959960E-02
                  18.5000     1.296275E-02           8.747709E-02
                  18.7500     1.265916E-02           8.542833E-02
                  19.0000     1.236600E-02           8.344997E-02
                  19.2500     1.208280E-02           8.153886E-02
                  19.5000     1.180912E-02           7.969200E-02
                  19.7500     1.154455E-02           7.790656E-02
                  20.0000     1.128868E-02           7.617989E-02
                  20.2500     1.104115E-02           7.450944E-02
                  20.5000     1.080159E-02           7.289282E-02
                  20.7500     1.056967E-02           7.132776E-02
                  21.0000     1.034508E-02           6.981212E-02
                  21.2500     1.012750E-02           6.834383E-02
                  21.5000     9.916654E-03           6.692098E-02
                  21.7500     9.712270E-03           6.554172E-02
                  22.0000     9.514084E-03           6.420430E-02
                  22.2500     9.321854E-03           6.290706E-02
                  22.5000     9.135342E-03           6.164842E-02
                  22.7500     8.954328E-03           6.042687E-02
                  23.0000     8.778596E-03           5.924097E-02
                  23.2500     8.607949E-03           5.808938E-02
                  23.5000     8.442189E-03           5.697078E-02
                  23.7500     8.281136E-03           5.588394E-02
                  24.0000     8.124614E-03           5.482768E-02
                  24.2500     7.972455E-03           5.380086E-02
                  24.5000     7.824500E-03           5.280241E-02
                  24.7500     7.680597E-03           5.183130E-02
                  25.0000     7.540600E-03           5.088655E-02
                  25.2500     7.404370E-03           4.996723E-02
                  25.5000     7.271774E-03           4.907242E-02
                  25.7500     7.142685E-03           4.820129E-02
                  26.0000     7.016981E-03           4.735299E-02
                  26.2500     6.894546E-03           4.652676E-02
                  26.5000     6.775267E-03           4.572182E-02
                  26.7500     6.659039E-03           4.493748E-02
                  27.0000     6.545758E-03           4.417302E-02
                  27.2500     6.435327E-03           4.342779E-02
                  27.5000     6.327651E-03           4.270116E-02
                  27.7500     6.222640E-03           4.199251E-02
                  28.0000     6.120207E-03           4.130125E-02
                  28.2500     6.020269E-03           4.062684E-02
                  28.5000     5.922748E-03           3.996873E-02
                  28.7500     5.827564E-03           3.932640E-02
                  29.0000     5.734646E-03           3.869936E-02
                  29.2500     5.643922E-03           3.808712E-02
                  29.5000     5.555322E-03           3.748922E-02
                  29.7500     5.468784E-03           3.690523E-02
                  30.0000     5.384243E-03           3.633472E-02
                  30.2500     5.301639E-03           3.577728E-02
                  30.5000     5.220913E-03           3.523251E-02
                  30.7500     5.142009E-03           3.470004E-02
                  31.0000     5.064874E-03           3.417950E-02
                  31.2500     4.989454E-03           3.367055E-02
                  31.5000     4.915700E-03           3.317283E-02
                  31.7500     4.843563E-03           3.268602E-02
                  32.0000     4.772997E-03           3.220982E-02
                  32.2500     4.703957E-03           3.174391E-02
                  32.5000     4.636398E-03           3.128800E-02
                  32.7500     4.570280E-03           3.084182E-02
                  33.0000     4.505562E-03           3.040507E-02
                  33.2500     4.442204E-03           2.997751E-02
                  33.5000     4.380170E-03           2.955889E-02
                  33.7500     4.319422E-03           2.914894E-02
                  34.0000     4.259926E-03           2.874744E-02
                  34.2500     4.201647E-03           2.835415E-02
                  34.5000     4.144553E-03           2.796886E-02
                  34.7500     4.088612E-03           2.759135E-02
                  35.0000     4.033794E-03           2.722142E-02
                  35.2500     3.980068E-03           2.685886E-02
                  35.5000     3.927406E-03           2.650348E-02
                  35.7500     3.875780E-03           2.615509E-02
                  36.0000     3.825163E-03           2.581351E-02
                  36.2500     3.775530E-03           2.547857E-02
                  36.5000     3.726854E-03           2.515009E-02
                  36.7500     3.679113E-03           2.482791E-02
                  37.0000     3.632281E-03           2.451188E-02
                  37.2500     3.586337E-03           2.420183E-02
                  37.5000     3.541257E-03           2.389762E-02
                  37.7500     3.497021E-03           2.359910E-02
                  38.0000     3.453608E-03           2.330613E-02
                  38.2500     3.410997E-03           2.301858E-02
                  38.5000     3.369169E-03           2.273631E-02
                  38.7500     3.328106E-03           2.245920E-02
                  39.0000     3.287787E-03           2.218711E-02
                  39.2500     3.248197E-03           2.191994E-02
                  39.5000     3.209317E-03           2.165757E-02
                  39.7500     3.171130E-03           2.139987E-02
                  40.0000     3.133620E-03           2.114674E-02
                  40.2500     3.096772E-03           2.089808E-02
                  40.5000     3.060569E-03           2.065377E-02
                  40.7500     3.024998E-03           2.041372E-02
                  41.0000     2.990043E-03           2.017783E-02
                  41.2500     2.955690E-03           1.994601E-02
                  41.5000     2.921926E-03           1.971816E-02
                  41.7500     2.888737E-03           1.949419E-02
                  42.0000     2.856110E-03           1.927401E-02
                  42.2500     2.824034E-03           1.905755E-02
                  42.5000     2.792494E-03           1.884471E-02
                  42.7500     2.761481E-03           1.863542E-02
                  43.0000     2.730981E-03           1.842960E-02
                  43.2500     2.700984E-03           1.822717E-02
                  43.5000     2.671479E-03           1.802806E-02
                  43.7500     2.642456E-03           1.783219E-02
                  44.0000     2.613902E-03           1.763951E-02
                  44.2500     2.585810E-03           1.744993E-02
                  44.5000     2.558168E-03           1.726340E-02
                  44.7500     2.530968E-03           1.707984E-02
                  45.0000     2.504200E-03           1.689920E-02
                  45.2500     2.477854E-03           1.672141E-02
                  45.5000     2.451923E-03           1.654641E-02
                  45.7500     2.426397E-03           1.637416E-02
                  46.0000     2.401268E-03           1.620458E-02
                  46.2500     2.376528E-03           1.603762E-02
                  46.5000     2.352169E-03           1.587324E-02
                  46.7500     2.328183E-03           1.571138E-02
                  47.0000     2.304563E-03           1.555198E-02
                  47.2500     2.281300E-03           1.539500E-02
                  47.5000     2.258390E-03           1.524039E-02
                  47.7500     2.235823E-03           1.508810E-02
                  48.0000     2.213594E-03           1.493809E-02
                  48.2500     2.191694E-03           1.479030E-02
                  48.5000     2.170119E-03           1.464471E-02
                  48.7500     2.148862E-03           1.450126E-02
                  49.0000     2.127916E-03           1.435990E-02
                  49.2500     2.107275E-03           1.422062E-02
                  49.5000     2.086934E-03           1.408335E-02
                  49.7500     2.066887E-03           1.394806E-02
                  50.0000     2.047128E-03           1.381472E-02
