                   u          alpha(angstrong)       alpha(a.u.)  

                   0.0000     4.433222E-01           2.991687E+00
                   0.1000     4.420071E-01           2.982812E+00
                   0.2000     4.381392E-01           2.956710E+00
                   0.3000     4.319361E-01           2.914849E+00
                   0.4000     4.237198E-01           2.859403E+00
                   0.5000     4.138690E-01           2.792926E+00
                   0.6000     4.027742E-01           2.718055E+00
                   0.7000     3.908037E-01           2.637274E+00
                   0.8000     3.782818E-01           2.552772E+00
                   0.9000     3.654802E-01           2.466382E+00
                   1.0000     3.526163E-01           2.379573E+00
                   1.1000     3.398584E-01           2.293478E+00
                   1.2000     3.273321E-01           2.208946E+00
                   1.3000     3.151272E-01           2.126584E+00
                   1.4000     3.033058E-01           2.046809E+00
                   1.5000     2.919074E-01           1.969889E+00
                   1.6000     2.809549E-01           1.895978E+00
                   1.7000     2.704584E-01           1.825144E+00
                   1.8000     2.604185E-01           1.757391E+00
                   1.9000     2.508293E-01           1.692680E+00
                   2.0000     2.416800E-01           1.630937E+00
                   2.1000     2.329565E-01           1.572069E+00
                   2.2000     2.246428E-01           1.515965E+00
                   2.3000     2.167214E-01           1.462508E+00
                   2.4000     2.091744E-01           1.411579E+00
                   2.5000     2.019836E-01           1.363053E+00
                   2.6000     1.951312E-01           1.316811E+00
                   2.7000     1.885995E-01           1.272733E+00
                   2.8000     1.823716E-01           1.230705E+00
                   2.9000     1.764312E-01           1.190617E+00
                   3.0000     1.707627E-01           1.152364E+00
                   3.1000     1.653513E-01           1.115846E+00
                   3.2000     1.601829E-01           1.080968E+00
                   3.3000     1.552442E-01           1.047640E+00
                   3.4000     1.505227E-01           1.015777E+00
                   3.5000     1.460065E-01           9.853008E-01
                   3.6000     1.416846E-01           9.561351E-01
                   3.7000     1.375465E-01           9.282096E-01
                   3.8000     1.335823E-01           9.014580E-01
                   3.9000     1.297828E-01           8.758178E-01
                   4.0000     1.261393E-01           8.512305E-01
                   4.1000     1.226437E-01           8.276410E-01
                   4.2000     1.192883E-01           8.049976E-01
                   4.3000     1.160659E-01           7.832518E-01
                   4.4000     1.129698E-01           7.623579E-01
                   4.5000     1.099935E-01           7.422730E-01
                   4.6000     1.071311E-01           7.229567E-01
                   4.7000     1.043770E-01           7.043711E-01
                   4.8000     1.017259E-01           6.864804E-01
                   4.9000     9.917278E-02           6.692511E-01
                   5.0000     9.671296E-02           6.526514E-01
                   5.2500     9.094320E-02           6.137151E-01
                   5.5000     8.566705E-02           5.781099E-01
                   5.7500     8.083054E-02           5.454715E-01
                   6.0000     7.638651E-02           5.154817E-01
                   6.2500     7.229401E-02           4.878642E-01
                   6.5000     6.851726E-02           4.623774E-01
                   6.7500     6.502484E-02           4.388094E-01
                   7.0000     6.178912E-02           4.169737E-01
                   7.2500     5.878574E-02           3.967059E-01
                   7.5000     5.599314E-02           3.778604E-01
                   7.7500     5.339217E-02           3.603082E-01
                   8.0000     5.096583E-02           3.439345E-01
                   8.2500     4.869893E-02           3.286367E-01
                   8.5000     4.657790E-02           3.143233E-01
                   8.7500     4.459058E-02           3.009122E-01
                   9.0000     4.272603E-02           2.883295E-01
                   9.2500     4.097444E-02           2.765092E-01
                   9.5000     3.932692E-02           2.653912E-01
                   9.7500     3.777544E-02           2.549213E-01
                  10.0000     3.631272E-02           2.450504E-01
                  10.2500     3.493221E-02           2.357342E-01
                  10.5000     3.362787E-02           2.269321E-01
                  10.7500     3.239425E-02           2.186072E-01
                  11.0000     3.122637E-02           2.107260E-01
                  11.2500     3.011968E-02           2.032577E-01
                  11.5000     2.907001E-02           1.961741E-01
                  11.7500     2.807354E-02           1.894496E-01
                  12.0000     2.712675E-02           1.830604E-01
                  12.2500     2.622644E-02           1.769848E-01
                  12.5000     2.536963E-02           1.712028E-01
                  12.7500     2.455359E-02           1.656958E-01
                  13.0000     2.377578E-02           1.604469E-01
                  13.2500     2.303388E-02           1.554404E-01
                  13.5000     2.232574E-02           1.506616E-01
                  13.7500     2.164935E-02           1.460970E-01
                  14.0000     2.100284E-02           1.417342E-01
                  14.2500     2.038451E-02           1.375615E-01
                  14.5000     1.979276E-02           1.335682E-01
                  14.7500     1.922609E-02           1.297441E-01
                  15.0000     1.868312E-02           1.260800E-01
                  15.2500     1.816256E-02           1.225670E-01
                  15.5000     1.766320E-02           1.191972E-01
                  15.7500     1.718391E-02           1.159628E-01
                  16.0000     1.672364E-02           1.128567E-01
                  16.2500     1.628141E-02           1.098724E-01
                  16.5000     1.585630E-02           1.070036E-01
                  16.7500     1.544743E-02           1.042444E-01
                  17.0000     1.505400E-02           1.015894E-01
                  17.2500     1.467525E-02           9.903350E-02
                  17.5000     1.431046E-02           9.657178E-02
                  17.7500     1.395896E-02           9.419975E-02
                  18.0000     1.362012E-02           9.191312E-02
                  18.2500     1.329334E-02           8.970790E-02
                  18.5000     1.297806E-02           8.758029E-02
                  18.7500     1.267375E-02           8.552670E-02
                  19.0000     1.237992E-02           8.354382E-02
                  19.2500     1.209608E-02           8.162839E-02
                  19.5000     1.182180E-02           7.977744E-02
                  19.7500     1.155666E-02           7.798820E-02
                  20.0000     1.130025E-02           7.625788E-02
                  20.2500     1.105221E-02           7.458402E-02
                  20.5000     1.081217E-02           7.296414E-02
                  20.7500     1.057979E-02           7.139599E-02
                  21.0000     1.035476E-02           6.987742E-02
                  21.2500     1.013678E-02           6.840635E-02
                  21.5000     9.925539E-03           6.698086E-02
                  21.7500     9.720782E-03           6.559909E-02
                  22.0000     9.522244E-03           6.425928E-02
                  22.2500     9.329676E-03           6.295977E-02
                  22.5000     9.142844E-03           6.169897E-02
                  22.7500     8.961524E-03           6.047536E-02
                  23.0000     8.785503E-03           5.928751E-02
                  23.2500     8.614578E-03           5.813406E-02
                  23.5000     8.448555E-03           5.701368E-02
                  23.7500     8.287251E-03           5.592514E-02
                  24.0000     8.130489E-03           5.486726E-02
                  24.2500     7.978101E-03           5.383890E-02
                  24.5000     7.829928E-03           5.283897E-02
                  24.7500     7.685811E-03           5.186643E-02
                  25.0000     7.545613E-03           5.092032E-02
                  25.2500     7.409194E-03           4.999972E-02
                  25.5000     7.276420E-03           4.910371E-02
                  25.7500     7.147159E-03           4.823142E-02
                  26.0000     7.021288E-03           4.738200E-02
                  26.2500     6.898692E-03           4.655468E-02
                  26.5000     6.779262E-03           4.574873E-02
                  26.7500     6.662889E-03           4.496340E-02
                  27.0000     6.549469E-03           4.419801E-02
                  27.2500     6.438904E-03           4.345188E-02
                  27.5000     6.331098E-03           4.272437E-02
                  27.7500     6.225965E-03           4.201489E-02
                  28.0000     6.123414E-03           4.132285E-02
                  28.2500     6.023364E-03           4.064768E-02
