                   u          alpha(angstrong)       alpha(a.u.)  

                   0.0000     4.173141E-01           2.816179E+00
                   0.1000     4.162294E-01           2.808859E+00
                   0.2000     4.130295E-01           2.787264E+00
                   0.3000     4.078680E-01           2.752433E+00
                   0.4000     4.009771E-01           2.705931E+00
                   0.5000     3.926369E-01           2.649648E+00
                   0.6000     3.831462E-01           2.585601E+00
                   0.7000     3.727967E-01           2.515760E+00
                   0.8000     3.618560E-01           2.441928E+00
                   0.9000     3.505569E-01           2.365678E+00
                   1.0000     3.390939E-01           2.288322E+00
                   1.1000     3.276241E-01           2.210920E+00
                   1.2000     3.162702E-01           2.134300E+00
                   1.3000     3.051250E-01           2.059088E+00
                   1.4000     2.942565E-01           1.985744E+00
                   1.5000     2.837124E-01           1.914588E+00
                   1.6000     2.735242E-01           1.845835E+00
                   1.7000     2.637109E-01           1.779611E+00
                   1.8000     2.542816E-01           1.715979E+00
                   1.9000     2.452382E-01           1.654952E+00
                   2.0000     2.365772E-01           1.596504E+00
                   2.1000     2.282911E-01           1.540586E+00
                   2.2000     2.203695E-01           1.487129E+00
                   2.3000     2.128004E-01           1.436050E+00
                   2.4000     2.055702E-01           1.387258E+00
                   2.5000     1.986650E-01           1.340659E+00
                   2.6000     1.920702E-01           1.296156E+00
                   2.7000     1.857716E-01           1.253650E+00
                   2.8000     1.797547E-01           1.213047E+00
                   2.9000     1.740058E-01           1.174251E+00
                   3.0000     1.685114E-01           1.137172E+00
                   3.1000     1.632584E-01           1.101724E+00
                   3.2000     1.582346E-01           1.067821E+00
                   3.3000     1.534279E-01           1.035384E+00
                   3.4000     1.488273E-01           1.004337E+00
                   3.5000     1.444219E-01           9.746083E-01
                   3.6000     1.402017E-01           9.461288E-01
                   3.7000     1.361570E-01           9.188340E-01
                   3.8000     1.322789E-01           8.926631E-01
                   3.9000     1.285587E-01           8.675583E-01
                   4.0000     1.249885E-01           8.434654E-01
                   4.1000     1.215607E-01           8.203330E-01
                   4.2000     1.182680E-01           7.981127E-01
                   4.3000     1.151037E-01           7.767591E-01
                   4.4000     1.120615E-01           7.562292E-01
                   4.5000     1.091353E-01           7.364825E-01
