2S: AE PS AE-PS   2P: AE PS AE-PS
2.00 -1.75770 	 -1.75767 	 -0.00003 	 -0.66426 	 -0.66424 	 -0.00003
1.80 -1.97402 	 -1.97405 	 0.00003 	 -0.87413 	 -0.87425 	 0.00013
1.60 -2.19935 	 -2.19953 	 0.00018 	 -1.09395 	 -1.09428 	 0.00033
1.40 -2.43276 	 -2.43318 	 0.00041 	 -1.32283 	 -1.32342 	 0.00059
1.20 -2.67357 	 -2.67431 	 0.00074 	 -1.56009 	 -1.56100 	 0.00091
1.00 -2.92121 	 -2.92239 	 0.00118 	 -1.80519 	 -1.80647 	 0.00128
.80 -3.17524 	 -3.17697 	 0.00173 	 -2.05768 	 -2.05941 	 0.00173
.60 -3.43526 	 -3.43767 	 0.00241 	 -2.31718 	 -2.31942 	 0.00225
.40 -3.70093 	 -3.70415 	 0.00323 	 -2.58333 	 -2.58618 	 0.00285
.20 -3.97192 	 -3.97613 	 0.00421 	 -2.85584 	 -2.85939 	 0.00354
0 -4.24795 	 -4.25333 	 0.00538 	 -3.13442 	 -3.13877 	 0.00435
