2S: AE PS AE-PS   2P: AE PS AE-PS
2.00 -1.75770 	 -1.75768 	 -0.00002 	 -0.66426 	 -0.66424 	 -0.00002
1.80 -1.97402 	 -1.97408 	 0.00006 	 -0.87413 	 -0.87427 	 0.00015
1.60 -2.19935 	 -2.19959 	 0.00024 	 -1.09395 	 -1.09433 	 0.00038
1.40 -2.43276 	 -2.43330 	 0.00053 	 -1.32283 	 -1.32352 	 0.00069
1.20 -2.67357 	 -2.67452 	 0.00096 	 -1.56009 	 -1.56117 	 0.00108
1.00 -2.92121 	 -2.92274 	 0.00153 	 -1.80519 	 -1.80677 	 0.00158
.80 -3.17524 	 -3.17751 	 0.00227 	 -2.05768 	 -2.05987 	 0.00219
.60 -3.43526 	 -3.43848 	 0.00322 	 -2.31718 	 -2.32011 	 0.00293
.40 -3.70093 	 -3.70533 	 0.00441 	 -2.58333 	 -2.58718 	 0.00384
.20 -3.97192 	 -3.97779 	 0.00587 	 -2.85584 	 -2.86079 	 0.00495
0 -4.24795 	 -4.25562 	 0.00767 	 -3.13442 	 -3.14070 	 0.00628
