2S: AE PS AE-PS   2P: AE PS AE-PS
2.00 -1.75770 	 -1.75769 	 -0.00001 	 -0.66426 	 -0.66425 	 -0.00001
1.80 -1.97402 	 -1.97409 	 0.00007 	 -0.87413 	 -0.87428 	 0.00016
1.60 -2.19935 	 -2.19960 	 0.00025 	 -1.09395 	 -1.09434 	 0.00039
1.40 -2.43276 	 -2.43331 	 0.00055 	 -1.32283 	 -1.32353 	 0.00070
1.20 -2.67357 	 -2.67454 	 0.00097 	 -1.56009 	 -1.56118 	 0.00110
1.00 -2.92121 	 -2.92275 	 0.00154 	 -1.80519 	 -1.80678 	 0.00159
.80 -3.17524 	 -3.17752 	 0.00229 	 -2.05768 	 -2.05988 	 0.00220
.60 -3.43526 	 -3.43849 	 0.00323 	 -2.31718 	 -2.32012 	 0.00295
.40 -3.70093 	 -3.70535 	 0.00442 	 -2.58333 	 -2.58719 	 0.00386
.20 -3.97192 	 -3.97781 	 0.00589 	 -2.85584 	 -2.86081 	 0.00496
0 -4.24795 	 -4.25564 	 0.00769 	 -3.13442 	 -3.14072 	 0.00630
