
     Program POST-PROC v.4.0    starts ...
     Today is 29Apr2008 at 18: 4:37 
     Reading header from file  Al100.pot
     Reading data from file  Al100.pot
    0.000000000    0.411979903    0.411977937
    0.023968750    0.411979931    0.411977931
    0.047937500    0.411980015    0.411977916
    0.071906250    0.411980150    0.411977890
    0.095875000    0.411980330    0.411977854
    0.119843750    0.411980546    0.411977809
    0.143812500    0.411980787    0.411977756
    0.167781250    0.411981041    0.411977695
    0.191750000    0.411981294    0.411977626
    0.215718750    0.411981534    0.411977552
    0.239687500    0.411981746    0.411977472
    0.263656250    0.411981919    0.411977388
    0.287625000    0.411982043    0.411977300
    0.311593750    0.411982108    0.411977210
    0.335562500    0.411982108    0.411977118
    0.359531250    0.411982040    0.411977024
    0.383500000    0.411981902    0.411976931
    0.407468750    0.411981697    0.411976838
    0.431437500    0.411981431    0.411976745
    0.455406250    0.411981111    0.411976653
    0.479375000    0.411980748    0.411976561
    0.503343750    0.411980354    0.411976471
    0.527312500    0.411979944    0.411976380
    0.551281250    0.411979533    0.411976290
    0.575250000    0.411979136    0.411976198
    0.599218750    0.411978770    0.411976105
    0.623187500    0.411978447    0.411976009
    0.647156250    0.411978181    0.411975910
    0.671125000    0.411977983    0.411975805
    0.695093750    0.411977860    0.411975694
    0.719062500    0.411977818    0.411975576
    0.743031250    0.411977857    0.411975449
    0.767000000    0.411977977    0.411975312
    0.790968750    0.411978170    0.411975163
    0.814937500    0.411978430    0.411975002
    0.838906250    0.411978742    0.411974828
    0.862875000    0.411979093    0.411974639
    0.886843750    0.411979465    0.411974436
    0.910812500    0.411979841    0.411974218
    0.934781250    0.411980199    0.411973984
    0.958750000    0.411980521    0.411973735
    0.982718750    0.411980789    0.411973470
    1.006687500    0.411980983    0.411973191
    1.030656250    0.411981090    0.411972898
    1.054625000    0.411981097    0.411972592
    1.078593750    0.411980994    0.411972274
    1.102562500    0.411980778    0.411971945
    1.126531250    0.411980446    0.411971606
    1.150500000    0.411980003    0.411971258
    1.174468750    0.411979456    0.411970903
    1.198437499    0.411978817    0.411970542
    1.222406249    0.411978102    0.411970176
    1.246374999    0.411977329    0.411969805
    1.270343749    0.411976521    0.411969431
    1.294312499    0.411975701    0.411969054
    1.318281249    0.411974893    0.411968674
    1.342249999    0.411974121    0.411968292
    1.366218749    0.411973410    0.411967905
    1.390187499    0.411972781    0.411967514
    1.414156249    0.411972253    0.411967118
    1.438124999    0.411971841    0.411966716
    1.462093749    0.411971558    0.411966305
    1.486062499    0.411971409    0.411965883
    1.510031249    0.411971396    0.411965450
    1.533999999    0.411971514    0.411965001
    1.557968749    0.411971755    0.411964535
    1.581937499    0.411972104    0.411964050
    1.605906249    0.411972542    0.411963543
    1.629874999    0.411973046    0.411963012
    1.653843749    0.411973588    0.411962454
    1.677812499    0.411974140    0.411961867
    1.701781249    0.411974671    0.411961251
    1.725749999    0.411975150    0.411960603
    1.749718749    0.411975546    0.411959922
    1.773687499    0.411975832    0.411959208
    1.797656249    0.411975982    0.411958460
    1.821624999    0.411975975    0.411957678
    1.845593749    0.411975795    0.411956864
    1.869562499    0.411975431    0.411956016
    1.893531249    0.411974879    0.411955137
    1.917499999    0.411974141    0.411954228
    1.941468749    0.411973225    0.411953290
    1.965437499    0.411972146    0.411952325
    1.989406249    0.411970926    0.411951333
    2.013374999    0.411969589    0.411950318
    2.037343749    0.411968168    0.411949279
    2.061312499    0.411966697    0.411948219
    2.085281249    0.411965210    0.411947137
    2.109249999    0.411963747    0.411946035
    2.133218749    0.411962344    0.411944913
    2.157187499    0.411961036    0.411943769
    2.181156249    0.411959855    0.411942603
    2.205124999    0.411958829    0.411941413
    2.229093749    0.411957979    0.411940198
    2.253062499    0.411957321    0.411938954
    2.277031249    0.411956865    0.411937679
    2.300999999    0.411956609    0.411936369
    2.324968749    0.411956548    0.411935020
    2.348937499    0.411956665    0.411933628
    2.372906249    0.411956939    0.411932189
    2.396874999    0.411957340    0.411930697
    2.420843749    0.411957832    0.411929149
    2.444812499    0.411958375    0.411927540
    2.468781249    0.411958925    0.411925865
    2.492749999    0.411959436    0.411924120
    2.516718749    0.411959863    0.411922303
    2.540687499    0.411960160    0.411920409
    2.564656249    0.411960284    0.411918435
    2.588624999    0.411960199    0.411916380
    2.612593749    0.411959872    0.411914242
    2.636562499    0.411959278    0.411912020
    2.660531249    0.411958401    0.411909713
    2.684499999    0.411957234    0.411907320
    2.708468749    0.411955776    0.411904843
    2.732437499    0.411954040    0.411902282
    2.756406249    0.411952046    0.411899637
    2.780374999    0.411949822    0.411896910
    2.804343749    0.411947405    0.411894102
    2.828312499    0.411944839    0.411891213
    2.852281249    0.411942171    0.411888244
    2.876249999    0.411939452    0.411885195
    2.900218749    0.411936738    0.411882066
    2.924187499    0.411934079    0.411878856
    2.948156249    0.411931527    0.411875562
    2.972124999    0.411929129    0.411872184
    2.996093749    0.411926924    0.411868717
    3.020062499    0.411924947    0.411865156
    3.044031249    0.411923220    0.411861498
    3.067999999    0.411921757    0.411857735
    3.091968749    0.411920562    0.411853861
    3.115937499    0.411919625    0.411849869
    3.139906249    0.411918927    0.411845750
    3.163874999    0.411918438    0.411841496
    3.187843749    0.411918117    0.411837097
    3.211812499    0.411917914    0.411832544
    3.235781249    0.411917773    0.411827828
    3.259749999    0.411917632    0.411822939
    3.283718749    0.411917424    0.411817868
    3.307687499    0.411917082    0.411812607
    3.331656249    0.411916541    0.411807146
    3.355624999    0.411915738    0.411801479
    3.379593749    0.411914615    0.411795598
    3.403562499    0.411913122    0.411789497
    3.427531249    0.411911221    0.411783170
    3.451499999    0.411908880    0.411776612
    3.475468749    0.411906084    0.411769819
    3.499437499    0.411902829    0.411762789
    3.523406249    0.411899123    0.411755516
    3.547374999    0.411894989    0.411748000
    3.571343748    0.411890461    0.411740237
    3.595312498    0.411885586    0.411732225
    3.619281248    0.411880420    0.411723961
    3.643249998    0.411875027    0.411715443
    3.667218748    0.411869475    0.411706667
    3.691187498    0.411863839    0.411697627
    3.715156248    0.411858192    0.411688320
    3.739124998    0.411852605    0.411678739
    3.763093748    0.411847145    0.411668875
    3.787062498    0.411841870    0.411658719
    3.811031248    0.411836830    0.411648261
    3.834999998    0.411832061    0.411637489
    3.858968748    0.411827589    0.411626389
    3.882937498    0.411823420    0.411614945
    3.906906248    0.411819549    0.411603141
    3.930874998    0.411815951    0.411590959
    3.954843748    0.411812589    0.411578380
    3.978812498    0.411809409    0.411565383
    4.002781248    0.411806344    0.411551949
    4.026749998    0.411803315    0.411538054
    4.050718748    0.411800236    0.411523679
    4.074687498    0.411797013    0.411508801
    4.098656248    0.411793548    0.411493398
    4.122624998    0.411789744    0.411477450
    4.146593748    0.411785507    0.411460936
    4.170562498    0.411780748    0.411443835
    4.194531248    0.411775388    0.411426129
    4.218499998    0.411769359    0.411407800
    4.242468748    0.411762609    0.411388830
    4.266437498    0.411755101    0.411369202
    4.290406248    0.411746815    0.411348901
    4.314374998    0.411737750    0.411327912
    4.338343748    0.411727924    0.411306219
    4.362312498    0.411717371    0.411283809
    4.386281248    0.411706145    0.411260667
    4.410249998    0.411694310    0.411236776
    4.434218748    0.411681947    0.411212122
    4.458187498    0.411669145    0.411186688
    4.482156248    0.411655998    0.411160455
    4.506124998    0.411642604    0.411133402
    4.530093748    0.411629060    0.411105508
    4.554062498    0.411615457    0.411076748
    4.578031248    0.411601878    0.411047095
    4.601999998    0.411588394    0.411016518
    4.625968748    0.411575060    0.410984986
    4.649937498    0.411561913    0.410952461
    4.673906248    0.411548969    0.410918905
    4.697874998    0.411536222    0.410884277
    4.721843748    0.411523645    0.410848533
    4.745812498    0.411511187    0.410811624
    4.769781248    0.411498775    0.410773502
    4.793749998    0.411486316    0.410734116
    4.817718748    0.411473699    0.410693413
    4.841687498    0.411460796    0.410651338
    4.865656248    0.411447471    0.410607837
    4.889624998    0.411433578    0.410562854
    4.913593748    0.411418967    0.410516333
    4.937562498    0.411403491    0.410468218
    4.961531248    0.411387007    0.410418455
    4.985499998    0.411369384    0.410366988
    5.009468748    0.411350505    0.410313764
    5.033437498    0.411330269    0.410258729
    5.057406248    0.411308598    0.410201832
    5.081374998    0.411285438    0.410143021
    5.105343748    0.411260760    0.410082245
    5.129312498    0.411234560    0.410019453
    5.153281248    0.411206860    0.409954593
    5.177249998    0.411177707    0.409887615
    5.201218748    0.411147171    0.409818464
    5.225187498    0.411115343    0.409747087
    5.249156248    0.411082326    0.409673425
    5.273124998    0.411048239    0.409597419
    5.297093748    0.411013206    0.409519004
    5.321062498    0.410977351    0.409438113
    5.345031248    0.410940796    0.409354670
    5.368999998    0.410903653    0.409268599
    5.392968748    0.410866018    0.409179815
    5.416937498    0.410827967    0.409088226
    5.440906248    0.410789552    0.408993735
    5.464874998    0.410750796    0.408896239
    5.488843748    0.410711693    0.408795628
    5.512812498    0.410672201    0.408691785
    5.536781248    0.410632246    0.408584587
    5.560749998    0.410591719    0.408473907
    5.584718748    0.410550481    0.408359609
    5.608687498    0.410508360    0.408241557
    5.632656248    0.410465161    0.408119608
