# final state angular momentum:   1
# broadening parameter (in eV):   0.800000000000    
# absorbing atom type:   1
# Energy (eV)   sigmatot   sigmaup    sigmadown 
  -10.00000000    0.00001462    0.00000737    0.00000725
   -9.89966555    0.00001473    0.00000742    0.00000731
   -9.79933110    0.00001484    0.00000748    0.00000736
   -9.69899666    0.00001495    0.00000753    0.00000742
   -9.59866221    0.00001507    0.00000759    0.00000747
   -9.49832776    0.00001518    0.00000765    0.00000753
   -9.39799331    0.00001530    0.00000771    0.00000759
   -9.29765886    0.00001541    0.00000777    0.00000765
   -9.19732441    0.00001553    0.00000783    0.00000771
   -9.09698997    0.00001566    0.00000789    0.00000777
   -8.99665552    0.00001578    0.00000795    0.00000783
   -8.89632107    0.00001590    0.00000801    0.00000789
   -8.79598662    0.00001603    0.00000807    0.00000796
   -8.69565217    0.00001616    0.00000814    0.00000802
   -8.59531773    0.00001629    0.00000820    0.00000809
   -8.49498328    0.00001642    0.00000827    0.00000815
   -8.39464883    0.00001655    0.00000834    0.00000822
   -8.29431438    0.00001669    0.00000840    0.00000829
   -8.19397993    0.00001683    0.00000847    0.00000836
   -8.09364548    0.00001697    0.00000854    0.00000843
   -7.99331104    0.00001711    0.00000861    0.00000850
   -7.89297659    0.00001726    0.00000869    0.00000857
   -7.79264214    0.00001740    0.00000876    0.00000864
   -7.69230769    0.00001755    0.00000883    0.00000872
   -7.59197324    0.00001770    0.00000891    0.00000879
   -7.49163880    0.00001786    0.00000898    0.00000887
   -7.39130435    0.00001801    0.00000906    0.00000895
   -7.29096990    0.00001817    0.00000914    0.00000903
   -7.19063545    0.00001833    0.00000922    0.00000911
   -7.09030100    0.00001850    0.00000930    0.00000919
   -6.98996656    0.00001866    0.00000938    0.00000928
   -6.88963211    0.00001883    0.00000947    0.00000936
   -6.78929766    0.00001900    0.00000955    0.00000945
   -6.68896321    0.00001918    0.00000964    0.00000954
   -6.58862876    0.00001936    0.00000973    0.00000963
   -6.48829431    0.00001954    0.00000982    0.00000972
   -6.38795987    0.00001972    0.00000991    0.00000981
   -6.28762542    0.00001991    0.00001000    0.00000991
   -6.18729097    0.00002010    0.00001010    0.00001001
   -6.08695652    0.00002030    0.00001019    0.00001010
   -5.98662207    0.00002049    0.00001029    0.00001021
   -5.88628763    0.00002070    0.00001039    0.00001031
   -5.78595318    0.00002090    0.00001049    0.00001041
   -5.68561873    0.00002111    0.00001059    0.00001052
   -5.58528428    0.00002132    0.00001070    0.00001063
   -5.48494983    0.00002154    0.00001080    0.00001074
   -5.38461538    0.00002176    0.00001091    0.00001085
   -5.28428094    0.00002199    0.00001102    0.00001097
   -5.18394649    0.00002222    0.00001113    0.00001109
   -5.08361204    0.00002246    0.00001125    0.00001121
