# final state angular momentum:   1
# broadening parameter (in eV):    1.50000000000    
# absorbing atom type:   1
# Energy (eV)   sigmatot   sigmaup    sigmadown 
  -10.00000000    0.00002735    0.00001378    0.00001356
   -9.89966555    0.00002755    0.00001388    0.00001366
   -9.79933110    0.00002775    0.00001399    0.00001377
   -9.69899666    0.00002796    0.00001409    0.00001387
   -9.59866221    0.00002817    0.00001420    0.00001398
   -9.49832776    0.00002839    0.00001430    0.00001408
   -9.39799331    0.00002860    0.00001441    0.00001419
   -9.29765886    0.00002882    0.00001452    0.00001430
   -9.19732441    0.00002904    0.00001463    0.00001441
   -9.09698997    0.00002927    0.00001475    0.00001452
   -8.99665552    0.00002950    0.00001486    0.00001464
   -8.89632107    0.00002973    0.00001498    0.00001475
   -8.79598662    0.00002997    0.00001509    0.00001487
   -8.69565217    0.00003020    0.00001521    0.00001499
   -8.59531773    0.00003045    0.00001533    0.00001511
   -8.49498328    0.00003069    0.00001546    0.00001523
   -8.39464883    0.00003094    0.00001558    0.00001536
   -8.29431438    0.00003119    0.00001571    0.00001548
   -8.19397993    0.00003145    0.00001584    0.00001561
   -8.09364548    0.00003171    0.00001597    0.00001574
   -7.99331104    0.00003197    0.00001610    0.00001588
   -7.89297659    0.00003224    0.00001623    0.00001601
   -7.79264214    0.00003251    0.00001637    0.00001615
   -7.69230769    0.00003279    0.00001651    0.00001629
   -7.59197324    0.00003307    0.00001665    0.00001643
   -7.49163880    0.00003336    0.00001679    0.00001657
   -7.39130435    0.00003365    0.00001693    0.00001672
   -7.29096990    0.00003394    0.00001708    0.00001686
   -7.19063545    0.00003424    0.00001723    0.00001701
   -7.09030100    0.00003454    0.00001738    0.00001717
   -6.98996656    0.00003485    0.00001753    0.00001732
   -6.88963211    0.00003517    0.00001769    0.00001748
   -6.78929766    0.00003549    0.00001784    0.00001764
   -6.68896321    0.00003581    0.00001801    0.00001781
   -6.58862876    0.00003614    0.00001817    0.00001797
   -6.48829431    0.00003648    0.00001834    0.00001814
   -6.38795987    0.00003682    0.00001850    0.00001832
   -6.28762542    0.00003717    0.00001868    0.00001849
   -6.18729097    0.00003752    0.00001885    0.00001867
   -6.08695652    0.00003788    0.00001903    0.00001885
   -5.98662207    0.00003825    0.00001921    0.00001904
   -5.88628763    0.00003862    0.00001939    0.00001923
   -5.78595318    0.00003900    0.00001958    0.00001942
   -5.68561873    0.00003939    0.00001977    0.00001962
   -5.58528428    0.00003978    0.00001996    0.00001982
   -5.48494983    0.00004018    0.00002016    0.00002002
   -5.38461538    0.00004059    0.00002036    0.00002023
   -5.28428094    0.00004101    0.00002056    0.00002044
   -5.18394649    0.00004143    0.00002077    0.00002066
   -5.08361204    0.00004187    0.00002098    0.00002088
   -4.98327759    0.00004231    0.00002120    0.00002111
   -4.88294314    0.00004276    0.00002142    0.00002134
   -4.78260870    0.00004322    0.00002164    0.00002158
   -4.68227425    0.00004369    0.00002187    0.00002182
   -4.58193980    0.00004417    0.00002210    0.00002207
   -4.48160535    0.00004466    0.00002234    0.00002232
   -4.38127090    0.00004516    0.00002258    0.00002258
   -4.28093645    0.00004567    0.00002283    0.00002284
   -4.18060201    0.00004619    0.00002308    0.00002311
   -4.08026756    0.00004672    0.00002333    0.00002339
   -3.97993311    0.00004727    0.00002360    0.00002368
   -3.87959866    0.00004783    0.00002386    0.00002397
   -3.77926421    0.00004840    0.00002414    0.00002427
   -3.67892977    0.00004899    0.00002441    0.00002457
   -3.57859532    0.00004959    0.00002470    0.00002489
   -3.47826087    0.00005020    0.00002499    0.00002521
   -3.37792642    0.00005083    0.00002528    0.00002555
   -3.27759197    0.00005148    0.00002559    0.00002589
   -3.17725753    0.00005214    0.00002590    0.00002624
   -3.07692308    0.00005282    0.00002621    0.00002660
   -2.97658863    0.00005352    0.00002654    0.00002698
   -2.87625418    0.00005423    0.00002687    0.00002736
   -2.77591973    0.00005497    0.00002721    0.00002776
   -2.67558528    0.00005573    0.00002756    0.00002817
   -2.57525084    0.00005651    0.00002791    0.00002859
   -2.47491639    0.00005731    0.00002828    0.00002903
   -2.37458194    0.00005814    0.00002865    0.00002949
   -2.27424749    0.00005899    0.00002903    0.00002996
   -2.17391304    0.00005987    0.00002942    0.00003045
   -2.07357860    0.00006078    0.00002982    0.00003095
   -1.97324415    0.00006171    0.00003024    0.00003148
   -1.87290970    0.00006268    0.00003066    0.00003202
   -1.77257525    0.00006368    0.00003109    0.00003259
   -1.67224080    0.00006472    0.00003154    0.00003318
   -1.57190635    0.00006580    0.00003200    0.00003380
   -1.47157191    0.00006691    0.00003247    0.00003444
   -1.37123746    0.00006807    0.00003295    0.00003512
   -1.27090301    0.00006927    0.00003345    0.00003582
   -1.17056856    0.00007051    0.00003396    0.00003655
   -1.07023411    0.00007180    0.00003448    0.00003732
   -0.96989967    0.00007315    0.00003502    0.00003812
   -0.86956522    0.00007454    0.00003558    0.00003896
   -0.76923077    0.00007599    0.00003616    0.00003984
   -0.66889632    0.00007750    0.00003675    0.00004075
   -0.56856187    0.00007906    0.00003736    0.00004170
   -0.46822742    0.00008067    0.00003799    0.00004268
   -0.36789298    0.00008234    0.00003864    0.00004370
   -0.26755853    0.00008406    0.00003932    0.00004474
   -0.16722408    0.00008582    0.00004001    0.00004581
   -0.06688963    0.00008763    0.00004073    0.00004690
    0.03344482    0.00008947    0.00004147    0.00004800
    0.13377926    0.00009134    0.00004225    0.00004910
    0.23411371    0.00009323    0.00004304    0.00005019
    0.33444816    0.00009514    0.00004387    0.00005127
    0.43478261    0.00009705    0.00004473    0.00005232
    0.53511706    0.00009897    0.00004562    0.00005335
    0.63545151    0.00010089    0.00004655    0.00005434
    0.73578595    0.00010281    0.00004751    0.00005530
    0.83612040    0.00010473    0.00004851    0.00005622
    0.93645485    0.00010666    0.00004955    0.00005711
    1.03678930    0.00010861    0.00005064    0.00005797
    1.13712375    0.00011059    0.00005177    0.00005882
    1.23745819    0.00011261    0.00005295    0.00005966
    1.33779264    0.00011468    0.00005419    0.00006049
    1.43812709    0.00011683    0.00005548    0.00006134
