# final state angular momentum:   1
# broadening parameter (in eV):   0.800000000000    
# absorbing atom type:   1
# Energy (eV)   sigma
  -10.00000000    0.00007105
   -9.88988989    0.00007192
   -9.77977978    0.00007282
   -9.66966967    0.00007373
   -9.55955956    0.00007466
   -9.44944945    0.00007561
   -9.33933934    0.00007658
   -9.22922923    0.00007757
   -9.11911912    0.00007858
   -9.00900901    0.00007961
   -8.89889890    0.00008066
   -8.78878879    0.00008174
   -8.67867868    0.00008284
   -8.56856857    0.00008396
   -8.45845846    0.00008511
   -8.34834835    0.00008628
   -8.23823824    0.00008748
   -8.12812813    0.00008871
   -8.01801802    0.00008996
   -7.90790791    0.00009124
   -7.79779780    0.00009256
   -7.68768769    0.00009390
   -7.57757758    0.00009528
   -7.46746747    0.00009669
   -7.35735736    0.00009813
   -7.24724725    0.00009961
   -7.13713714    0.00010112
   -7.02702703    0.00010267
   -6.91691692    0.00010426
   -6.80680681    0.00010589
   -6.69669670    0.00010757
   -6.58658659    0.00010928
   -6.47647648    0.00011104
   -6.36636637    0.00011285
   -6.25625626    0.00011470
   -6.14614615    0.00011661
   -6.03603604    0.00011857
   -5.92592593    0.00012058
   -5.81581582    0.00012265
   -5.70570571    0.00012477
   -5.59559560    0.00012696
   -5.48548549    0.00012921
   -5.37537538    0.00013153
   -5.26526527    0.00013391
   -5.15515516    0.00013637
   -5.04504505    0.00013890
   -4.93493493    0.00014151
   -4.82482482    0.00014419
   -4.71471471    0.00014697
   -4.60460460    0.00014983
   -4.49449449    0.00015278
   -4.38438438    0.00015583
   -4.27427427    0.00015899
   -4.16416416    0.00016225
   -4.05405405    0.00016561
   -3.94394394    0.00016910
   -3.83383383    0.00017271
   -3.72372372    0.00017645
   -3.61361361    0.00018032
   -3.50350350    0.00018433
   -3.39339339    0.00018849
   -3.28328328    0.00019282
   -3.17317317    0.00019730
   -3.06306306    0.00020196
   -2.95295295    0.00020681
   -2.84284284    0.00021185
   -2.73273273    0.00021710
   -2.62262262    0.00022257
   -2.51251251    0.00022827
   -2.40240240    0.00023422
   -2.29229229    0.00024043
   -2.18218218    0.00024692
   -2.07207207    0.00025371
   -1.96196196    0.00026081
   -1.85185185    0.00026826
   -1.74174174    0.00027606
   -1.63163163    0.00028425
   -1.52152152    0.00029286
   -1.41141141    0.00030192
   -1.30130130    0.00031145
   -1.19119119    0.00032151
   -1.08108108    0.00033212
   -0.97097097    0.00034334
   -0.86086086    0.00035522
   -0.75075075    0.00036781
   -0.64064064    0.00038118
   -0.53053053    0.00039540
   -0.42042042    0.00041056
   -0.31031031    0.00042673
   -0.20020020    0.00044403
   -0.09009009    0.00046252
    0.02002002    0.00048217
    0.13013013    0.00050398
    0.24024024    0.00052715
    0.35035035    0.00055224
    0.46046046    0.00057948
    0.57057057    0.00060913
    0.68068068    0.00064147
    0.79079079    0.00067681
    0.90090090    0.00071549
    1.01101101    0.00075782
    1.12112112    0.00080412
    1.23123123    0.00085469
    1.34134134    0.00090986
    1.45145145    0.00097003
    1.56156156    0.00103573
    1.67167167    0.00110758
    1.78178178    0.00118639
    1.89189189    0.00127318
    2.00200200    0.00136912
    2.11211211    0.00147545
    2.22222222    0.00159337
    2.33233233    0.00172415
    2.44244244    0.00186960
    2.55255255    0.00203251
    2.66266266    0.00221686
    2.77277277    0.00242743
    2.88288288    0.00266891
    2.99299299    0.00294506
    3.10310310    0.00325788
    3.21321321    0.00360702
    3.32332332    0.00398942
    3.43343343    0.00439901
    3.54354354    0.00482664
    3.65365365    0.00526029
    3.76376376    0.00568617
    3.87387387    0.00609091
    3.98398398    0.00646466
    4.09409409    0.00680264
    4.20420420    0.00710337
    4.31431431    0.00736415
    4.42442442    0.00757743
    4.53453453    0.00773083
    4.64464464    0.00781091
    4.75475475    0.00780878
    4.86486486    0.00772499
    4.97497497    0.00757149
    5.08508509    0.00736950
    5.19519520    0.00714402
    5.30530531    0.00691729
    5.41541542    0.00670433
    5.52552553    0.00651203
    5.63563564    0.00634153
    5.74574575    0.00619180
    5.85585586    0.00606239
    5.96596597    0.00595418
    6.07607608    0.00586825
    6.18618619    0.00580415
    6.29629630    0.00575875
    6.40640641    0.00572644
    6.51651652    0.00570047
    6.62662663    0.00567404
    6.73673674    0.00564057
    6.84684685    0.00559404
    6.95695696    0.00553069
    7.06706707    0.00545122
    7.17717718    0.00536123
    7.28728729    0.00526913
    7.39739740    0.00518333
    7.50750751    0.00511079
    7.61761762    0.00505741
    7.72772773    0.00502886
    7.83783784    0.00503002
    7.94794795    0.00506300
    8.05805806    0.00512485
    8.16816817    0.00520669
    8.27827828    0.00529526
    8.38838839    0.00537625
    8.49849850    0.00543787
    8.60860861    0.00547294
    8.71871872    0.00547989
    8.82882883    0.00546307
    8.93893894    0.00543266
    9.04904905    0.00540283
    9.15915916    0.00538775
    9.26926927    0.00539652
    9.37937938    0.00542953
    9.48948949    0.00547794
    9.59959960    0.00552648
    9.70970971    0.00555780
    9.81981982    0.00555679
    9.92992993    0.00551373
   10.04004004    0.00542594
   10.15015015    0.00529804
   10.26026026    0.00514010
   10.37037037    0.00496419
   10.48048048    0.00478104
   10.59059059    0.00459818
   10.70070070    0.00441991
   10.81081081    0.00424848
   10.92092092    0.00408567
   11.03103103    0.00393392
   11.14114114    0.00379658
   11.25125125    0.00367745
   11.36136136    0.00357966
   11.47147147    0.00350475
   11.58158158    0.00345239
   11.69169169    0.00342096
   11.80180180    0.00340830
   11.91191191    0.00341194
   12.02202202    0.00342904
   12.13213213    0.00345596
   12.24224224    0.00348834
