# final state angular momentum:   1
# broadening parameter (in eV):   0.800000000000    
# absorbing atom type:   1
# Energy (eV)   sigma
  -10.00000000    0.00007225
   -9.88988989    0.00007315
   -9.77977978    0.00007407
   -9.66966967    0.00007500
   -9.55955956    0.00007596
   -9.44944945    0.00007693
   -9.33933934    0.00007793
   -9.22922923    0.00007894
   -9.11911912    0.00007998
   -9.00900901    0.00008104
   -8.89889890    0.00008212
   -8.78878879    0.00008323
   -8.67867868    0.00008436
   -8.56856857    0.00008552
   -8.45845846    0.00008670
   -8.34834835    0.00008790
   -8.23823824    0.00008914
   -8.12812813    0.00009040
   -8.01801802    0.00009169
   -7.90790791    0.00009301
   -7.79779780    0.00009437
   -7.68768769    0.00009575
   -7.57757758    0.00009717
   -7.46746747    0.00009862
   -7.35735736    0.00010011
   -7.24724725    0.00010163
   -7.13713714    0.00010319
   -7.02702703    0.00010479
   -6.91691692    0.00010644
   -6.80680681    0.00010812
   -6.69669670    0.00010985
   -6.58658659    0.00011162
   -6.47647648    0.00011344
   -6.36636637    0.00011531
   -6.25625626    0.00011723
   -6.14614615    0.00011920
   -6.03603604    0.00012122
   -5.92592593    0.00012330
   -5.81581582    0.00012544
   -5.70570571    0.00012764
   -5.59559560    0.00012991
   -5.48548549    0.00013224
   -5.37537538    0.00013464
   -5.26526527    0.00013711
   -5.15515516    0.00013966
   -5.04504505    0.00014228
   -4.93493493    0.00014499
   -4.82482482    0.00014778
   -4.71471471    0.00015066
   -4.60460460    0.00015364
   -4.49449449    0.00015671
   -4.38438438    0.00015988
   -4.27427427    0.00016316
   -4.16416416    0.00016655
   -4.05405405    0.00017006
   -3.94394394    0.00017369
   -3.83383383    0.00017745
   -3.72372372    0.00018134
   -3.61361361    0.00018538
   -3.50350350    0.00018957
   -3.39339339    0.00019391
   -3.28328328    0.00019842
   -3.17317317    0.00020311
   -3.06306306    0.00020799
   -2.95295295    0.00021305
   -2.84284284    0.00021833
   -2.73273273    0.00022383
   -2.62262262    0.00022956
   -2.51251251    0.00023553
   -2.40240240    0.00024177
   -2.29229229    0.00024829
   -2.18218218    0.00025510
   -2.07207207    0.00026223
   -1.96196196    0.00026970
   -1.85185185    0.00027753
   -1.74174174    0.00028575
   -1.63163163    0.00029438
   -1.52152152    0.00030345
   -1.41141141    0.00031300
   -1.30130130    0.00032307
   -1.19119119    0.00033369
   -1.08108108    0.00034490
   -0.97097097    0.00035677
   -0.86086086    0.00036934
   -0.75075075    0.00038268
   -0.64064064    0.00039685
   -0.53053053    0.00041194
