# final state angular momentum:   1
# broadening parameter (in eV):   0.800000000000    
# absorbing atom type:   1
# Energy (eV)   sigma
  -10.00000000    0.02260301
   -9.86622074    0.02293596
   -9.73244147    0.02308971
   -9.59866221    0.02307273
   -9.46488294    0.02302227
   -9.33110368    0.02313082
   -9.19732441    0.02356614
   -9.06354515    0.02443457
   -8.92976589    0.02577526
   -8.79598662    0.02755572
   -8.66220736    0.02966159
   -8.52842809    0.03190411
   -8.39464883    0.03408134
   -8.26086957    0.03608175
   -8.12709030    0.03793209
   -7.99331104    0.03971407
   -7.85953177    0.04142609
   -7.72575251    0.04293795
   -7.59197324    0.04408009
   -7.45819398    0.04477525
   -7.32441472    0.04511190
   -7.19063545    0.04533954
   -7.05685619    0.04579884
   -6.92307692    0.04680309
   -6.78929766    0.04851335
   -6.65551839    0.05084906
   -6.52173913    0.05345740
   -6.38795987    0.05578910
   -6.25418060    0.05731885
   -6.12040134    0.05781521
   -5.98662207    0.05744379
   -5.85284281    0.05663788
   -5.71906355    0.05589360
   -5.58528428    0.05561220
   -5.45150502    0.05599748
   -5.31772575    0.05701789
   -5.18394649    0.05846357
   -5.05016722    0.06008580
   -4.91638796    0.06173923
   -4.78260870    0.06342968
   -4.64882943    0.06522980
   -4.51505017    0.06710389
   -4.38127090    0.06876096
   -4.24749164    0.06968564
   -4.11371237    0.06939022
   -3.97993311    0.06772766
   -3.84615385    0.06499614
   -3.71237458    0.06173687
   -3.57859532    0.05844187
   -3.44481605    0.05543043
   -3.31103679    0.05289304
   -3.17725753    0.05093312
   -3.04347826    0.04954134
   -2.90969900    0.04858218
   -2.77591973    0.04785685
   -2.64214047    0.04719437
   -2.50836120    0.04649281
   -2.37458194    0.04570017
   -2.24080268    0.04476303
   -2.10702341    0.04357184
   -1.97324415    0.04196212
   -1.83946488    0.03981376
   -1.70568562    0.03717293
   -1.57190635    0.03427070
   -1.43812709    0.03141590
   -1.30434783    0.02886166
   -1.17056856    0.02673546
   -1.03678930    0.02503447
   -0.90301003    0.02364971
   -0.76923077    0.02240613
   -0.63545151    0.02112954
   -0.50167224    0.01972591
   -0.36789298    0.01821604
   -0.23411371    0.01669477
   -0.10033445    0.01526098
    0.03344482    0.01397663
    0.16722408    0.01286341
    0.30100334    0.01191663
    0.43478261    0.01111913
    0.56856187    0.01045017
    0.70234114    0.00988992
    0.83612040    0.00942110
    0.96989967    0.00902939
    1.10367893    0.00870318
    1.23745819    0.00843323
    1.37123746    0.00821218
    1.50501672    0.00803428
    1.63879599    0.00789503
    1.77257525    0.00779099
    1.90635452    0.00771959
    2.04013378    0.00767900
    2.17391304    0.00766806
    2.30769231    0.00768621
    2.44147157    0.00773346
    2.57525084    0.00781039
    2.70903010    0.00791818
    2.84280936    0.00805867
    2.97658863    0.00823444
    3.11036789    0.00844892
    3.24414716    0.00870656
    3.37792642    0.00901311
    3.51170569    0.00937584
    3.64548495    0.00980392
    3.77926421    0.01030890
    3.91304348    0.01090513
    4.04682274    0.01161017
    4.18060201    0.01244475
    4.31438127    0.01343193
    4.44816054    0.01459406
    4.58193980    0.01594625
    4.71571906    0.01748525
    4.84949833    0.01917576
    4.98327759    0.02094421
    5.11705686    0.02269547
    5.25083612    0.02435635
    5.38461538    0.02591801
