# final state angular momentum:   1
# broadening parameter (in eV):   0.800000000000    
# absorbing atom type:   1
# Energy (eV)   sigma
  -10.00000000    0.00058356
   -9.95995996    0.00058578
   -9.91991992    0.00058802
   -9.87987988    0.00059027
   -9.83983984    0.00059253
   -9.79979980    0.00059481
   -9.75975976    0.00059710
   -9.71971972    0.00059940
   -9.67967968    0.00060172
   -9.63963964    0.00060405
   -9.59959960    0.00060640
   -9.55955956    0.00060876
   -9.51951952    0.00061113
   -9.47947948    0.00061352
   -9.43943944    0.00061592
   -9.39939940    0.00061834
   -9.35935936    0.00062077
   -9.31931932    0.00062322
   -9.27927928    0.00062568
   -9.23923924    0.00062815
   -9.19919920    0.00063065
   -9.15915916    0.00063315
   -9.11911912    0.00063568
   -9.07907908    0.00063821
   -9.03903904    0.00064077
   -8.99899900    0.00064334
   -8.95895896    0.00064592
   -8.91891892    0.00064853
   -8.87887888    0.00065114
   -8.83883884    0.00065378
   -8.79879880    0.00065643
   -8.75875876    0.00065910
   -8.71871872    0.00066178
   -8.67867868    0.00066448
   -8.63863864    0.00066720
   -8.59859860    0.00066994
   -8.55855856    0.00067269
   -8.51851852    0.00067546
   -8.47847848    0.00067825
   -8.43843844    0.00068106
   -8.39839840    0.00068388
   -8.35835836    0.00068673
   -8.31831832    0.00068959
   -8.27827828    0.00069247
   -8.23823824    0.00069537
   -8.19819820    0.00069829
   -8.15815816    0.00070122
   -8.11811812    0.00070418
   -8.07807808    0.00070716
   -8.03803804    0.00071015
   -7.99799800    0.00071317
   -7.95795796    0.00071620
   -7.91791792    0.00071926
   -7.87787788    0.00072233
   -7.83783784    0.00072543
   -7.79779780    0.00072855
   -7.75775776    0.00073168
   -7.71771772    0.00073484
   -7.67767768    0.00073802
   -7.63763764    0.00074123
   -7.59759760    0.00074445
   -7.55755756    0.00074769
   -7.51751752    0.00075096
   -7.47747748    0.00075425
   -7.43743744    0.00075757
   -7.39739740    0.00076090
   -7.35735736    0.00076426
   -7.31731732    0.00076764
   -7.27727728    0.00077105
   -7.23723724    0.00077447
   -7.19719720    0.00077793
   -7.15715716    0.00078140
   -7.11711712    0.00078490
   -7.07707708    0.00078843
   -7.03703704    0.00079198
   -6.99699700    0.00079556
   -6.95695696    0.00079916
   -6.91691692    0.00080278
   -6.87687688    0.00080644
   -6.83683684    0.00081012
   -6.79679680    0.00081382
   -6.75675676    0.00081755
   -6.71671672    0.00082131
   -6.67667668    0.00082510
   -6.63663664    0.00082891
   -6.59659660    0.00083275
   -6.55655656    0.00083662
   -6.51651652    0.00084052
   -6.47647648    0.00084444
   -6.43643644    0.00084840
   -6.39639640    0.00085238
   -6.35635636    0.00085639
   -6.31631632    0.00086044
   -6.27627628    0.00086451
   -6.23623624    0.00086861
   -6.19619620    0.00087275
   -6.15615616    0.00087691
   -6.11611612    0.00088111
   -6.07607608    0.00088534
   -6.03603604    0.00088960
   -5.99599600    0.00089389
   -5.95595596    0.00089822
   -5.91591592    0.00090258
   -5.87587588    0.00090697
   -5.83583584    0.00091140
   -5.79579580    0.00091586
   -5.75575576    0.00092035
   -5.71571572    0.00092488
   -5.67567568    0.00092945
   -5.63563564    0.00093405
   -5.59559560    0.00093868
   -5.55555556    0.00094336
   -5.51551552    0.00094807
   -5.47547548    0.00095281
   -5.43543544    0.00095760
   -5.39539540    0.00096242
   -5.35535536    0.00096728
   -5.31531532    0.00097218
   -5.27527528    0.00097712
   -5.23523524    0.00098210
   -5.19519520    0.00098712
   -5.15515516    0.00099219
   -5.11511512    0.00099729
   -5.07507508    0.00100243
   -5.03503504    0.00100762
   -4.99499499    0.00101285
   -4.95495495    0.00101812
   -4.91491491    0.00102344
   -4.87487487    0.00102880
   -4.83483483    0.00103420
   -4.79479479    0.00103965
   -4.75475475    0.00104515
   -4.71471471    0.00105069
   -4.67467467    0.00105628
   -4.63463463    0.00106192
   -4.59459459    0.00106760
   -4.55455455    0.00107333
   -4.51451451    0.00107912
   -4.47447447    0.00108495
   -4.43443443    0.00109083
   -4.39439439    0.00109676
   -4.35435435    0.00110275
   -4.31431431    0.00110879
   -4.27427427    0.00111488
   -4.23423423    0.00112102
   -4.19419419    0.00112722
   -4.15415415    0.00113347
   -4.11411411    0.00113978
   -4.07407407    0.00114615
   -4.03403403    0.00115257
   -3.99399399    0.00115905
   -3.95395395    0.00116559
   -3.91391391    0.00117218
   -3.87387387    0.00117884
   -3.83383383    0.00118556
   -3.79379379    0.00119234
   -3.75375375    0.00119918
   -3.71371371    0.00120609
   -3.67367367    0.00121306
   -3.63363363    0.00122009
   -3.59359359    0.00122719
   -3.55355355    0.00123436
   -3.51351351    0.00124159
   -3.47347347    0.00124889
   -3.43343343    0.00125627
   -3.39339339    0.00126371
   -3.35335335    0.00127122
   -3.31331331    0.00127881
   -3.27327327    0.00128646
   -3.23323323    0.00129420
   -3.19319319    0.00130200
   -3.15315315    0.00130989
   -3.11311311    0.00131785
   -3.07307307    0.00132589
   -3.03303303    0.00133401
   -2.99299299    0.00134221
   -2.95295295    0.00135049
   -2.91291291    0.00135885
   -2.87287287    0.00136730
   -2.83283283    0.00137583
   -2.79279279    0.00138445
   -2.75275275    0.00139316
   -2.71271271    0.00140195
   -2.67267267    0.00141084
   -2.63263263    0.00141982
   -2.59259259    0.00142889
   -2.55255255    0.00143806
   -2.51251251    0.00144732
   -2.47247247    0.00145668
   -2.43243243    0.00146613
   -2.39239239    0.00147569
   -2.35235235    0.00148535
   -2.31231231    0.00149511
   -2.27227227    0.00150498
   -2.23223223    0.00151495
   -2.19219219    0.00152504
   -2.15215215    0.00153523
   -2.11211211    0.00154553
   -2.07207207    0.00155595
   -2.03203203    0.00156648
   -1.99199199    0.00157713
   -1.95195195    0.00158789
   -1.91191191    0.00159878
   -1.87187187    0.00160979
   -1.83183183    0.00162092
   -1.79179179    0.00163218
   -1.75175175    0.00164357
   -1.71171171    0.00165509
   -1.67167167    0.00166675
   -1.63163163    0.00167854
   -1.59159159    0.00169046
   -1.55155155    0.00170253
   -1.51151151    0.00171474
   -1.47147147    0.00172709
   -1.43143143    0.00173959
   -1.39139139    0.00175224
   -1.35135135    0.00176504
   -1.31131131    0.00177799
