# final state angular momentum:   1
# broadening parameter (in eV):   0.800000000000    
# absorbing atom type:   1
# Energy (eV)   sigma
  -10.00000000    0.00120003
   -9.95995996    0.00120430
   -9.91991992    0.00120860
   -9.87987988    0.00121293
   -9.83983984    0.00121728
   -9.79979980    0.00122166
   -9.75975976    0.00122607
   -9.71971972    0.00123050
   -9.67967968    0.00123496
   -9.63963964    0.00123945
   -9.59959960    0.00124397
   -9.55955956    0.00124851
   -9.51951952    0.00125308
   -9.47947948    0.00125769
   -9.43943944    0.00126232
   -9.39939940    0.00126698
   -9.35935936    0.00127167
   -9.31931932    0.00127639
   -9.27927928    0.00128114
   -9.23923924    0.00128592
   -9.19919920    0.00129073
   -9.15915916    0.00129557
   -9.11911912    0.00130044
   -9.07907908    0.00130535
   -9.03903904    0.00131029
   -8.99899900    0.00131525
   -8.95895896    0.00132025
   -8.91891892    0.00132529
   -8.87887888    0.00133035
   -8.83883884    0.00133545
   -8.79879880    0.00134059
   -8.75875876    0.00134575
   -8.71871872    0.00135095
   -8.67867868    0.00135619
   -8.63863864    0.00136146
   -8.59859860    0.00136676
   -8.55855856    0.00137210
   -8.51851852    0.00137748
   -8.47847848    0.00138289
   -8.43843844    0.00138834
   -8.39839840    0.00139383
   -8.35835836    0.00139935
   -8.31831832    0.00140491
   -8.27827828    0.00141051
   -8.23823824    0.00141615
   -8.19819820    0.00142183
   -8.15815816    0.00142754
   -8.11811812    0.00143330
   -8.07807808    0.00143909
   -8.03803804    0.00144493
   -7.99799800    0.00145080
   -7.95795796    0.00145672
   -7.91791792    0.00146267
   -7.87787788    0.00146867
   -7.83783784    0.00147472
   -7.79779780    0.00148080
   -7.75775776    0.00148693
   -7.71771772    0.00149310
   -7.67767768    0.00149931
   -7.63763764    0.00150557
   -7.59759760    0.00151188
   -7.55755756    0.00151823
   -7.51751752    0.00152462
   -7.47747748    0.00153107
   -7.43743744    0.00153755
   -7.39739740    0.00154409
   -7.35735736    0.00155067
   -7.31731732    0.00155730
   -7.27727728    0.00156399
   -7.23723724    0.00157071
   -7.19719720    0.00157749
   -7.15715716    0.00158432
   -7.11711712    0.00159120
   -7.07707708    0.00159814
   -7.03703704    0.00160512
   -6.99699700    0.00161216
   -6.95695696    0.00161925
   -6.91691692    0.00162639
   -6.87687688    0.00163358
   -6.83683684    0.00164084
   -6.79679680    0.00164814
   -6.75675676    0.00165551
   -6.71671672    0.00166292
   -6.67667668    0.00167040
   -6.63663664    0.00167794
   -6.59659660    0.00168553
   -6.55655656    0.00169318
   -6.51651652    0.00170089
   -6.47647648    0.00170866
   -6.43643644    0.00171649
   -6.39639640    0.00172439
   -6.35635636    0.00173235
   -6.31631632    0.00174036
   -6.27627628    0.00174845
   -6.23623624    0.00175660
   -6.19619620    0.00176481
   -6.15615616    0.00177309
   -6.11611612    0.00178143
   -6.07607608    0.00178985
   -6.03603604    0.00179833
   -5.99599600    0.00180688
   -5.95595596    0.00181550
   -5.91591592    0.00182419
   -5.87587588    0.00183296
   -5.83583584    0.00184179
   -5.79579580    0.00185070
   -5.75575576    0.00185968
   -5.71571572    0.00186874
   -5.67567568    0.00187787
   -5.63563564    0.00188708
   -5.59559560    0.00189637
   -5.55555556    0.00190574
   -5.51551552    0.00191518
   -5.47547548    0.00192471
   -5.43543544    0.00193432
   -5.39539540    0.00194401
   -5.35535536    0.00195378
   -5.31531532    0.00196364
   -5.27527528    0.00197358
   -5.23523524    0.00198361
   -5.19519520    0.00199373
   -5.15515516    0.00200393
   -5.11511512    0.00201423
   -5.07507508    0.00202462
   -5.03503504    0.00203510
   -4.99499499    0.00204567
   -4.95495495    0.00205633
   -4.91491491    0.00206710
